penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,primary_dedupe_status,primary_dedupe_group_size,primary_dedupe_group_max_distance_km,primary_dedupe_keep_id,primary_dedupe_merged_from_ids,primary_dedupe_note,primary_dedupe_group_status,primary_dedupe_drop
LODGE-00006,Desaku Indah Home-stay,vacation_rental,vacation_rental,-6.8002,107.0624,bandung_raya_other,,,302781.0,Rp 302.781,0,,Belum tersedia,missing_review_confidence,Papan setrika; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31669633/0/6355306d6278fec78c246dd4447e222c.jpg?ca=29&ce=0&s=312x,https://www.bluepillow.com/search/62de8c21de4e4eebed151a65?dest=ago&cat=Apartment&lat=-6.80023&lng=107.0624&language=en,0.8,high,needs_review_same_name_far_distance,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00014,Desaku Indah Home-stay,vacation_rental,vacation_rental,-6.8,107.0623,bandung_raya_other,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Bak air panas; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31669633/0/b125874824a51f84461f62300d9ca706.jpg?ca=29&ce=0,https://www.agoda.com/semi-queen-fit-3-or-more/hotel/puncak-id.html,0.65,medium,needs_review_same_name_far_distance,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00566,Desaku Indah Home-Stay,vacation_rental,vacation_rental,-6.8118,107.1451,kbb_tengah_barat,,,298686.0,Rp 298.686,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Papan setrika; Boleh bawa hewan peliharaan; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/13342511/0/e48ddb31a381c0dcda6940c834ccd311.jpg?ca=29&ce=0&s=312x,https://www.bluepillow.com/search/618288949e3163a56a251afd?dest=ago&cat=Apartment&lat=-6.81177&lng=107.14506&language=en,0.8,high,needs_review_same_name_far_distance,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00689,Desaku Indah Home-Stay,vacation_rental,vacation_rental,-6.8118,107.1454,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Bak air panas; Boleh bawa hewan peliharaan; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/13342511/0/d7eefe30861004fea16d42e6a2791e05.jpg?ce=0,https://www.agoda.com/beautiful-mountain-view/hotel/cianjur-id.html,0.65,medium,needs_review_same_name_far_distance,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00690,Desaku Indah Home-Stay,vacation_rental,vacation_rental,-6.8118,107.1454,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Bak air panas; Boleh bawa hewan peliharaan; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/13333086/0/de3cea162f14e82b25420a2aca21c6c3.jpg?ca=29&ce=0,https://www.agoda.com/great-home-stay-for-you-who-love-hills-mountain/hotel/cianjur-id.html,0.65,medium,needs_review_same_name_far_distance,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00624,Saung Arjuna Syandana Resort Ciwidey,vacation_rental,vacation_rental,-7.109,107.4847,kbb_tengah_barat,3.925,118.0,,,0,,Belum tersedia,missing_review_confidence,Parkir gratis,https://pix8.agoda.net/hotelImages/36834827/0/2e4f00fb436f93afad268f4c025a8494.jpg?ce=0,,0.75,high,needs_review_same_name_far_distance,3,21.5306,LODGE-00624,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00716,Saung Arjuna Syandana Resort Ciwidey,vacation_rental,vacation_rental,-7.1053,107.4852,kbb_tengah_barat,,,,,28,0.5456006107948898,Positif,high_review_confidence,Parkir gratis,https://pix8.agoda.net/hotelImages/45877896/0/2b30ccb5f82c5cedc3dedf809cb7d69e.jpg?ce=0,https://www.agoda.com/saung-arjuna-syandana-resort/hotel/bandung-id.html,0.65,medium,needs_review_same_name_far_distance,3,21.5306,LODGE-00624,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-01482,Saung Arjuna Syandana Resort Ciwidey,vacation_rental,vacation_rental,-6.9437,107.5863,kota_bandung,,,363396.0,Rp 363.396,0,,Belum tersedia,missing_review_confidence,Ber-AC; Parkir gratis,https://pix8.agoda.net/hotelImages/36830788/0/03c9e8e7de17a8358d8f7a414f6cf1c6.jpg?ce=0&s=312x,https://www.bluepillow.com/search/65e20e0993553be8f554f88f?dest=ago&cat=Vacation+rental+(other)&lat=-6.94367&lng=107.58632&language=en,0.8,high,needs_review_same_name_far_distance,3,21.5306,LODGE-00624,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00139,The Cluster Harris,hotel,hotel,-6.8948241,107.5397126,cimahi_baros_pasteur,4.5,57.0,293936.0,Rp 293.936,0,,Belum tersedia,missing_review_confidence,"Breakfast ($), Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Smoke-free property",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFd8t2l5_NBVLh2I_nnz0EH9fqNX1XAF8rYevQDgVX-zcWiLNnt4f0AdkLu_ICtbgC4KrDSQ3k9-9IXTiakM8myc0tqNeVhUJUSXSIWbsZdpFo5w3gJOEo2-iME9s6pzE468IDjKQ=s10000,http://bit.ly/TheClusterHarris,0.84,high,needs_review_same_name_far_distance,3,1.0722,LODGE-00139,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
LODGE-00176,The Cluster Harris,vacation_rental,vacation_rental,-6.8948,107.53,cimahi_baros_pasteur,,,269070.0,Rp 269.070,0,,Belum tersedia,missing_review_confidence,Ber-AC; Papan setrika; Bebas asap rokok; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/627453983.jpg?k=7e55adc279a02bbcbb7c4d4999ab632069974bbd1b00f255177a06e36e421f98&o=&s=312x,https://www.bluepillow.com/search/67a24365905c444f2d0cb9c4?dest=ago&cat=Vacation+rental+(other)&lat=-6.89479&lng=107.52999&language=en,0.8,high,needs_review_same_name_far_distance,3,1.0722,LODGE-00139,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,needs_review_same_name_far_distance,False
