penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,completion_score,completion_priority,completion_flags,recommended_completion_actions,completion_route,scrape_ready,manual_check_needed,completion_note,primary_exact_name_duplicate_count,primary_exact_name_duplicate_flag
LODGE-00349,Aira Glamping - Tent,vacation_rental,vacation_rental,-6.8035,107.5471,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Ranjang bayi; Bak air panas; Dapur; Bebas asap rokok; TV Kabel,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/q-xx.bstatic.com/xdata/images/hotel/1200x1200/639550169.jpg?k=a85d80e1767d897ff5829720f6754b00657a64d7c695a08cefdbd4857957af06&o=&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,,0.6,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00410,Nadhif House Syariah,vacation_rental,vacation_rental,-6.8698,107.456,cimahi_baros_pasteur,,,,,5,0.6211730669629846,Positif,low_review_confidence,Ber-AC; Dapur; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/55047245/0/7c3389021f59730cb1617da7782b7d47.jpg?ce=0,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00411,Pakuhaji Highland Eco-Resort,vacation_rental,vacation_rental,-6.8274,107.5405,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Jemputan bandara; Balkon; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Kolam renang luar; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/652300864.jpg?k=a30c9578655499745ebc89e1d7c1e99599a2c28ee70fcd3e9ea9128d1043c94b&o=&a=1538557,,0.55,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00800,Rumah Azka,vacation_rental,vacation_rental,-7.1217,107.4254,kbb_tengah_barat,,,,,59,0.6824258934903288,Positif,high_review_confidence,Balkon; Papan setrika; Dapur; Boleh bawa hewan peliharaan; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/geo/poi/32542/2_32542_02.jpg?ca=6&ce=1,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00414,Svarga Glamping,vacation_rental,vacation_rental,-6.8036,107.5482,cimahi_baros_pasteur,,,,,19,0.6815608687776055,Positif,high_review_confidence,Balkon; Bak air panas; Dapur; Pemanggang luar ruang; TV Kabel; Parkir gratis,https://pix8.agoda.net/hotelImages/62547870/0/5b3f22e597531d5c7c670640f0a5c8dc.jpg?ce=0,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00416,Vila Murah Di Lembang Vila malaika,vacation_rental,vacation_rental,-6.8465,107.5449,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Papan setrika; Dapur; Microwave; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/30868657/0/e2e0ae570127e765accd2781202928bf.png?ce=0,,0.55,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00406,Alayam villa,villa,villa,-6.8486,107.4718,cimahi_baros_pasteur,,,,,37,0.7332375852580307,Positif,high_review_confidence,Ber-AC; Balkon; Cocok untuk anak; Dapur; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://static.cupid.travel/hotels/701475627.jpg,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00413,Shida Village,villa,villa,-6.8155,107.5583,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Balkon; Dapur; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/64629717/0/3a28044d209cfc020bb51520fc4d2754.jpg?ce=0,,0.55,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00804,Villa Ravani Bandung,villa,villa,-6.9951,107.5191,kbb_tengah_barat,,,,,22,0.6880470328846848,Positif,high_review_confidence,Ber-AC; Balkon; Dapur; Microwave; Pemanggang luar ruang; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/37331163/0/77d4d26943bb9a8b87d74cdaa581ded3.jpg?ce=0,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00807,villa Camsal Boock H 10 No3,villa,villa,-6.813,107.1296,kbb_tengah_barat,,,,,9,0.6443889019834241,Positif,medium_review_confidence,Ber-AC; Balkon; Papan setrika; Dapur; Microwave; Pemanggang luar ruang; TV Kabel; Mesin cuci; Parkir gratis,https://pix8.agoda.net/hotelImages/35717236/0/76e42475a9894c4e2791741c75f58b7f.jpg?ce=0,,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_source_link,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|add_source_link,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
