searchString,penginapan_id,name_target,match_status,raw_review_rows,text_review_rows,unique_review_ids,title_candidates,country_codes,min_target_distance_km,max_title_similarity,google_maps_rating_candidate,google_maps_reviews_count_candidate
"ASOKA INN -6.8808,107.5808",LODGE-01215,ASOKA INN,accepted_exact_or_close,30,15,30,ASOKA INN,ID,0.005264913076549397,1.0,4.2,265.0
"Are You and I - Bed & Breakfast Bandung -6.8858,107.6496",LODGE-01341,Are You and I - Bed & Breakfast Bandung,accepted_exact_or_close,30,21,30,Are You and I - Bed & Breakfast Bandung,ID,0.0056850454472155325,1.0,4.6,1916.0
"Bantal Guling Guest House Alun-alun Bandung -6.932,107.6065",LODGE-00870,Bantal Guling Guest House Alun-alun Bandung,accepted_exact_or_close,30,19,30,Bantal Guling Guest House Alun-alun Bandung,ID,0.006398435928799741,1.0,4.1,820.0
"Bantal Guling Guesthouse Trans -6.9304,107.6393",LODGE-00871,Bantal Guling Guesthouse Trans,accepted_exact_or_close,30,21,30,Bantal Guling Guesthouse Trans,ID,0.007618354726368675,1.0,3.8,1160.0
"OYO 3463 Cimahi Guest House -6.8982,107.5613",LODGE-00194,CIMAHI GUEST HOUSE,accepted_exact_or_close,30,16,30,OYO 3463 Cimahi Guest House,ID,0.0011752953065938584,1.0,3.7,324.0
"CT 195 Bandung -6.8801,107.5904",LODGE-01232,CT 195 Bandung,accepted_exact_or_close,30,12,30,CT 195 Bandung,ID,0.005335811303066395,1.0,4.2,454.0
"Casa de Apple Dago Bandung by RedDoorz -6.8737,107.6292",LODGE-00883,Casa de Apple Dago Bandung by RedDoorz,accepted_exact_or_close,30,21,30,Casa de Apple Dago Bandung by RedDoorz,ID,0.0030506627642401755,1.0,4.3,324.0
"Cherry Homes Express II Hotel -6.883,107.5813",LODGE-01118,Cherry Homes Express II Hotel,accepted_exact_or_close,30,17,30,Cherry Homes Express II Hotel,ID,0.001355904649358235,1.0,4.4,381.0
"Cibogo 55 -6.8872943,107.5791675",LODGE-00345,Cibogo 55,accepted_exact_or_close,30,18,30,Cibogo 55,ID,0.0,1.0,4.1,78.0
"Cimindi Residence -6.8982606,107.5614139",LODGE-00140,Cimindi Residence,accepted_exact_or_close,30,16,30,Cimindi Residence,ID,0.0,1.0,3.8,386.0
"Cipaku Garden Hotel -6.8614,107.6012",LODGE-00887,Cipaku Garden Hotel,accepted_exact_or_close,30,20,30,Cipaku Garden Hotel,ID,0.0036282530847788117,1.0,4.4,2305.0
"Citarum Hotel -6.9044,107.623",LODGE-01346,Citarum Hotel,accepted_exact_or_close,30,14,30,Citarum Hotel,ID,0.006300021559898096,1.0,4.5,1701.0
"Collection O By Boboin Baros Near Stasiun Cimahi -6.8974705,107.5369262",LODGE-00436,Collection O By Boboin Baros Near Stasiun Cimahi,accepted_exact_or_close,2,2,2,Collection O By Boboin Baros Near Stasiun Cimahi,ID,0.0,1.0,4.0,2.0
"Cottage Syariah GS Rumah Kayu -6.8206,107.5954",LODGE-01609,Cottage Syariah GS Rumah Kayu,accepted_exact_or_close,30,23,30,Cottage Syariah GS Rumah Kayu,ID,0.004078275583319508,1.0,3.9,469.0
"Cottonwood Boutique Heritage Otten -6.9025,107.6003",LODGE-00893,Cottonwood Boutique Heritage Otten,accepted_exact_or_close,30,19,30,Cottonwood Boutique Heritage Otten,ID,0.005219621689344797,1.0,4.7,367.0
"Courtyard by Marriott Bandung Dago - CHSE Certified -6.9043,107.6106",LODGE-00894,Courtyard by Marriott Bandung Dago - CHSE Certified,accepted_exact_or_close,30,21,30,Courtyard by Marriott Bandung Dago - CHSE Certified,ID,0.0033973884304667286,1.0,4.6,6344.0
"Cozy Room @ Hallo Tidur by Tio -6.892,107.6053",LODGE-00896,Cozy Room @ Hallo Tidur by Tio,accepted_exact_or_close,11,9,11,Cozy Room @ Hallo Tidur by Tio,ID,0.004666922211836444,1.0,3.1,9.0
"Cozzy Residence Cipedes Bandung -6.8723,107.5905",LODGE-01441,Cozzy Residence Cipedes Bandung,accepted_exact_or_close,30,18,30,Cozzy Residence Cipedes Bandung,ID,0.0036583788068281775,1.0,4.1,810.0
"D'Lily Guest House Syariah -7.0877,107.4778",LODGE-00686,D'Lily Guest House Syariah,accepted_exact_or_close,22,18,22,D'Lily Guest House Syariah,ID,0.014114805384665363,1.0,4.4,22.0
"Daarul Jannah Cottage -6.8648,107.5895",LODGE-01242,Daarul Jannah Cottage,accepted_exact_or_close,30,23,30,Daarul Jannah Cottage,ID,0.004133769742236865,1.0,4.6,602.0
