review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,final_target_status,final_exclusion_group,final_exclusion_reason,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,audit_recommendation,audit_reason,decision_group,decision_status,decision_reason,review_group_for_claude,claude_decision,claude_evidence_url,claude_reason,final_decision,final_group,final_reason,final_decision_source
PHREV-20260605-1248,LODGE-00173,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room,apartment,,,,,,,,,,,,"Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room -6.8904,107.5658",https://www.google.com/maps/search/?api=1&query=Redliving%20Apartement%20gateway%20Pasteur-TN%20Hospitality%20Tower%20Topaz%20C%20Bs%2001%20-%20Deluxe%20Room%20-6.8904%2C107.5658,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00046,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01,apartment,0.0455,1.0,1.0,1.0,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-1364,LODGE-00127,The Edge By Orin - Deluxe Double Room,apartment,,,,,,,,,,,,"The Edge By Orin - Deluxe Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Deluxe%20Double%20Room%20-6.8987%2C107.537,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00246,The Edge By Orin,apartment,0.1319,1.0,1.0,0.95,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-1365,LODGE-00178,The Edge By Orin - Standard Double Room,apartment,,,,,,,,,,,,"The Edge By Orin - Standard Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Standard%20Double%20Room%20-6.8987%2C107.537,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00246,The Edge By Orin,apartment,0.1319,1.0,1.0,0.95,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-0589,LODGE-01112,Bantal Guling Trans - Double Room with Private Bathroom,vacation_rental,,,,,,,,,,,,"Bantal Guling Trans - Double Room with Private Bathroom -6.9302,107.6395",https://www.google.com/maps/search/?api=1&query=Bantal%20Guling%20Trans%20-%20Double%20Room%20with%20Private%20Bathroom%20-6.9302%2C107.6395,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,0.0313,0.7755,0.75,0.8115,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-0598,LODGE-00533,Farmstay Manangel - Double Room with Shared Bathroom,vacation_rental,,,,,,,,,,,,"Farmstay Manangel - Double Room with Shared Bathroom -6.7864,107.1331",https://www.google.com/maps/search/?api=1&query=Farmstay%20Manangel%20-%20Double%20Room%20with%20Shared%20Bathroom%20-6.7864%2C107.1331,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00793,Farmstay Manangel,vacation_rental,0.04,1.0,1.0,1.0,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-1086,LODGE-00693,"Glamping Ciwidey Argapuri - Panoramic Cabin, 1 Bedroom, Smoking, Mountain View",vacation_rental,,,,,,,,,,,,"Glamping Ciwidey Argapuri - Panoramic Cabin, 1 Bedroom, Smoking, Mountain View -7.1307,107.5138",https://www.google.com/maps/search/?api=1&query=Glamping%20Ciwidey%20Argapuri%20-%20Panoramic%20Cabin%2C%201%20Bedroom%2C%20Smoking%2C%20Mountain%20View%20-7.1307%2C107.5138,,review_villa_or_house_unit,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00794,Glamping Ciwidey Argapuri,vacation_rental,0.0,1.0,1.0,1.0,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-1131,LODGE-00110,Imah Seuri - Basic Double Room,vacation_rental,,,,,,,,,,,,"Imah Seuri - Basic Double Room -6.8178,107.5744",https://www.google.com/maps/search/?api=1&query=Imah%20Seuri%20-%20Basic%20Double%20Room%20-6.8178%2C107.5744,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00093,Imah Seuri,vacation_rental,0.0157,1.0,1.0,1.0,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-0531,LODGE-00595,Vila Kopi Ciwidey - Double Room with Terrace,vacation_rental,,,,,,,,,,,,"Vila Kopi Ciwidey - Double Room with Terrace -7.1202,107.4415",https://www.google.com/maps/search/?api=1&query=Vila%20Kopi%20Ciwidey%20-%20Double%20Room%20with%20Terrace%20-7.1202%2C107.4415,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00627,Vila Kopi Ciwidey,vacation_rental,0.0,1.0,1.0,1.0,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-1496,LODGE-01506,Wisma 812 Khusus Putra for Male Only - Budget Single Room,vacation_rental,,,,,,,,,,,,"Wisma 812 Khusus Putra for Male Only - Budget Single Room -6.8944,107.6392",https://www.google.com/maps/search/?api=1&query=Wisma%20812%20Khusus%20Putra%20for%20Male%20Only%20-%20Budget%20Single%20Room%20-6.8944%2C107.6392,,review_other_detail_name,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-01505,Wisma 812 Khusus Putra,vacation_rental,0.0111,0.7586,0.5714,0.7414,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
PHREV-20260605-0993,LODGE-00633,Buah sebelas homestay villa - Double or Twin Room,villa,,,,,,,,,,,,"Buah sebelas homestay villa - Double or Twin Room -7.1872,107.5555",https://www.google.com/maps/search/?api=1&query=Buah%20sebelas%20homestay%20villa%20-%20Double%20or%20Twin%20Room%20-7.1872%2C107.5555,,review_villa_or_house_unit,,,,,,,excluded,final_29_child_parent,"Keputusan final 29 data: masuk child-parent, bukan target parent.",LODGE-00751,Villa buah 11 homestay,villa,0.0351,0.7568,0.6667,0.7739,candidate_child_to_parent,,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.,accepted_by_rule_candidate,,,,accept_as_child,child_parent_relation,Diterima sebagai child/detail dari parent kandidat.,claude_review_plus_user_decision
