review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note
PHREV-20260605-0344,LODGE-00055,2 BR and Sofabed Max 5 Guest Pasteur Gateaway,apartment,-6.8901,107.566,5,1,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"2 BR and Sofabed Max 5 Guest Pasteur Gateaway -6.8901,107.566",https://www.google.com/maps/search/?api=1&query=2%20BR%20and%20Sofabed%20Max%205%20Guest%20Pasteur%20Gateaway%20-6.8901%2C107.566,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0480,LODGE-00220,Ayre House-A House for Nice Family @Bandung,hotel,-6.8633468,107.5778586,5,3,low_review_confidence,low_review_confidence,0.7,False,0,True,check_name_match_first,"Ayre House-A House for Nice Family @Bandung -6.8633468,107.5778586",https://www.google.com/maps/search/?api=1&query=Ayre%20House-A%20House%20for%20Nice%20Family%20%40Bandung%20-6.8633468%2C107.5778586,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0589,LODGE-01112,Bantal Guling Trans - Double Room with Private Bathroom,vacation_rental,-6.9302,107.6395,2.5,8,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"Bantal Guling Trans - Double Room with Private Bathroom -6.9302,107.6395",https://www.google.com/maps/search/?api=1&query=Bantal%20Guling%20Trans%20-%20Double%20Room%20with%20Private%20Bathroom%20-6.9302%2C107.6395,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0598,LODGE-00533,Farmstay Manangel - Double Room with Shared Bathroom,vacation_rental,-6.7864,107.1331,5,8,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Farmstay Manangel - Double Room with Shared Bathroom -6.7864,107.1331",https://www.google.com/maps/search/?api=1&query=Farmstay%20Manangel%20-%20Double%20Room%20with%20Shared%20Bathroom%20-6.7864%2C107.1331,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0627,LODGE-01254,Green Forest Plantation View 6BR with Infinity Pool,vacation_rental,-6.8632,107.6515,3.8222,9,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"Green Forest Plantation View 6BR with Infinity Pool -6.8632,107.6515",https://www.google.com/maps/search/?api=1&query=Green%20Forest%20Plantation%20View%206BR%20with%20Infinity%20Pool%20-6.8632%2C107.6515,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0451,LODGE-00538,Laksana Rasa Resort Ciwidey - Double Room,vacation_rental,-7.1336,107.4126,1.75,2,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Laksana Rasa Resort Ciwidey - Double Room -7.1336,107.4126",https://www.google.com/maps/search/?api=1&query=Laksana%20Rasa%20Resort%20Ciwidey%20-%20Double%20Room%20-7.1336%2C107.4126,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0608,LODGE-00965,No303 - Economy Double Room,vacation_rental,-6.9286,107.6379,4.75,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"No303 - Economy Double Room -6.9286,107.6379",https://www.google.com/maps/search/?api=1&query=No303%20-%20Economy%20Double%20Room%20-6.9286%2C107.6379,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0615,LODGE-01028,Rumah Lereng Bandung - Double Room with Garden View,vacation_rental,-6.8979,107.732,5,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Rumah Lereng Bandung - Double Room with Garden View -6.8979,107.732",https://www.google.com/maps/search/?api=1&query=Rumah%20Lereng%20Bandung%20-%20Double%20Room%20with%20Garden%20View%20-6.8979%2C107.732,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0682,LODGE-01313,Rumah Lereng Bandung - Double Room with Mountain View,vacation_rental,-6.8979,107.732,5,16,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"Rumah Lereng Bandung - Double Room with Mountain View -6.8979,107.732",https://www.google.com/maps/search/?api=1&query=Rumah%20Lereng%20Bandung%20-%20Double%20Room%20with%20Mountain%20View%20-6.8979%2C107.732,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0531,LODGE-00595,Vila Kopi Ciwidey - Double Room with Terrace,vacation_rental,-7.1202,107.4415,3.9,4,low_review_confidence,low_review_confidence,0.8,False,0,True,check_name_match_first,"Vila Kopi Ciwidey - Double Room with Terrace -7.1202,107.4415",https://www.google.com/maps/search/?api=1&query=Vila%20Kopi%20Ciwidey%20-%20Double%20Room%20with%20Terrace%20-7.1202%2C107.4415,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-0516,LODGE-00640,Indonesia Village - Double Room,villa,-6.8237,107.1305,5,4,low_review_confidence,low_review_confidence,0.7,False,0,True,check_name_match_first,"Indonesia Village - Double Room -6.8237,107.1305",https://www.google.com/maps/search/?api=1&query=Indonesia%20Village%20-%20Double%20Room%20-6.8237%2C107.1305,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1248,LODGE-00173,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room,apartment,-6.8904,107.5658,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room -6.8904,107.5658",https://www.google.com/maps/search/?api=1&query=Redliving%20Apartement%20gateway%20Pasteur-TN%20Hospitality%20Tower%20Topaz%20C%20Bs%2001%20-%20Deluxe%20Room%20-6.8904%2C107.5658,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1361,LODGE-00323,The Edge Baros 1 BR,apartment,-6.8974,107.5369,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"The Edge Baros 1 BR -6.8974,107.5369",https://www.google.com/maps/search/?api=1&query=The%20Edge%20Baros%201%20BR%20-6.8974%2C107.5369,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1364,LODGE-00127,The Edge By Orin - Deluxe Double Room,apartment,-6.8987,107.537,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"The Edge By Orin - Deluxe Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Deluxe%20Double%20Room%20-6.8987%2C107.537,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1365,LODGE-00178,The Edge By Orin - Standard Double Room,apartment,-6.8987,107.537,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"The Edge By Orin - Standard Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Standard%20Double%20Room%20-6.8987%2C107.537,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1078,LODGE-00472,Fanni tour komodo - Double Room,vacation_rental,-7.0909,107.6689,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Fanni tour komodo - Double Room -7.0909,107.6689",https://www.google.com/maps/search/?api=1&query=Fanni%20tour%20komodo%20-%20Double%20Room%20-7.0909%2C107.6689,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
PHREV-20260605-1131,LODGE-00110,Imah Seuri - Basic Double Room,vacation_rental,-6.8178,107.5744,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Imah Seuri - Basic Double Room -6.8178,107.5744",https://www.google.com/maps/search/?api=1&query=Imah%20Seuri%20-%20Basic%20Double%20Room%20-6.8178%2C107.5744,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,
