penginapan_id,name,property_type,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,refined_detail_listing_group,refined_detail_listing_action,refined_price_status,refined_price_action,refined_low_quality_status,refined_low_quality_action,attention_level,attention_reasons,same_name_count_in_dataset,listing_policy_status,listing_policy_action,listing_policy_reason,primary_ranking_allowed,secondary_ranking_allowed,manual_validation_needed,manual_validation_topic,validator_priority,validator_question,allowed_manual_decisions,suggested_default_decision,manual_decision,manual_note
LODGE-00005,Villa wanacosta - Three-Bedroom Villa,villa,-6.6463,107.5338,bandung_raya_other,,,2476294.0,Rp 2.476.294,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Perapian; Penghangat; Bak air panas; Kolam renang di dalam ruangan; Papan setrika; Dapur; Kompor; Bebas asap rokok; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://static.cupid.travel/hotels/590676084.jpg,https://www.bluepillow.com/search/68119d4a6178c7268f2b2987?dest=bkng&cat=Villa&lat=-6.64633&lng=107.53378&language=en,0.85,high,0,,Belum tersedia,missing_review_confidence,4,6,high_capacity_confidence,whole_house_or_large_unit,keep_secondary_or_review_parent_status,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,2,secondary_large_unit,secondary_for_group_or_villa_query,"rumah/villa besar relevan untuk rombongan, bukan default utama",False,True,False,,,,,,,
LODGE-00009,Villa wanacosta - Three-Bedroom Villa,villa,-6.6463,107.5338,bandung_raya_other,,,2250001.0,Rp 2.250.001,Ber-AC; Gym; Penghangat; Papan setrika; Dapur; Kompor; Boleh bawa hewan peliharaan; TV Kabel; Mesin cuci,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlYG65CxyC0DxfNwA8wBjniP_J-73mAP58dJEO70sEZal01dEetCqND78wQYBhCSvQg1xUtPTtVxgDic9rpn91GVOV1MqHt_WYUIa2LTELF9PVSAsXk2Qw==.jpg,https://www.booking.com/hotel/id/villa-wanacosta.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12674072&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12674072_grp-0_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,4,6,high_capacity_confidence,whole_house_or_large_unit,keep_secondary_or_review_parent_status,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,2,secondary_large_unit,secondary_for_group_or_villa_query,"rumah/villa besar relevan untuk rombongan, bukan default utama",False,True,False,,,,,,,
LODGE-00023,Porlak Jahe Giri Tirta Kahuripan - Standard Studio,apartment,-6.6343,107.5353,bandung_raya_other,,,,,Ber-AC; Cocok untuk anak; Bebas asap rokok,https://static.cupid.travel/hotels/583292719.jpg,https://www.bluepillow.com/search/68e3dcacf93025efadab8926?dest=nuit&cat=&lat=-6.63433&lng=107.53528&language=en,0.6,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_and_price|missing_any_sentiment|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00028,Artistic 1BR Apartment at Gateway Pasteur near Exit Toll Pasteur By Travelio,apartment,-6.8903,107.5664,cimahi_baros_pasteur,1.5,1.0,550267.0,Rp 550.267,Ber-AC; Elevator; Gym; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzMLjcA9vGBqZ3YX06flnUvesL-1AXimx30wHPp2NZfWSuF3vsC_itQwkzO-8cgMy_0J7RVfXCMc2c9wHB8Z1Nim7zHkEhUqx5-LiffFxng==.jpg,https://www.booking.com/hotel/id/artistic-1br-apartment-at-gateway-pasteur-near-exit-toll-pasteur-by-travelio.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-7171172&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-7171172_grp-0_gendate-20260524,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,low,looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00031,Clamitan House - Villa,villa,-6.8495,107.4728,cimahi_baros_pasteur,4.4,5.0,726358.0,Rp 726.358,Ber-AC; Jemputan bandara; Cocok untuk anak; Ranjang bayi; Elevator; Papan setrika; Dapur; Microwave; Kompor; Bebas asap rokok; TV Kabel; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis,https://static.cupid.travel/hotels/563279626.jpg,https://www.bluepillow.com/search/65ca110e671b07d23c6d22c6?dest=bkng&cat=apartment&lat=-6.84946&lng=107.47278&language=en,1.0,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,whole_house_or_large_unit,keep_secondary_or_review_parent_status,,,,,medium,looks_like_detail_or_unit_listing|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,2,secondary_large_unit,secondary_for_group_or_villa_query,"rumah/villa besar relevan untuk rombongan, bukan default utama",False,True,False,,,,,,,
LODGE-00033,Deluxe & Cozy 3BR at Gateway Pasteur Apartment By Travelio,apartment,-6.8903,107.5664,cimahi_baros_pasteur,3.5,1.0,1179419.0,Rp 1.179.419,Ber-AC; Elevator; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlYG65CxyC0DxWgCZFkBEom6IlPaQdbE9dWtwuI7BYgAw0EYnNinHRvoj10rzfwWWCzKFd78gg7feVl_JJWAswT_cNph4he-NFfXqHoH3rTBc07OejkeOg==.jpg,https://www.booking.com/hotel/id/deluxe-amp-cozy-3br-at-gateway-pasteur-apartment-by-travelio.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-7170988&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-7170988_grp-0_gendate-20260524,1.0,high,0,,Belum tersedia,missing_review_confidence,5,6,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,low,looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00034,High Livin Apartment Baros - One-Bedroom Apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,353706.0,Rp 353.706,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Kolam renang luar; Bebas asap rokok; TV Kabel; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/315976469.jpg?k=4d93bac3fcf3812ddd14d88dec006ac18ada9ad3b064c3458a4b16f66cf35091&o=&a=1538557,https://www.bluepillow.com/search/6398a52bc551970d3c7210ea/402864704?dest=bkng&cat=Apartment&lat=-6.89771&lng=107.53733&language=en,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,low,looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00035,High Livin Apartment Baros - Three-Bedroom Apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,857078.0,Rp 857.078,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Kolam renang luar; Bebas asap rokok; TV Kabel; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/315976469.jpg?k=4d93bac3fcf3812ddd14d88dec006ac18ada9ad3b064c3458a4b16f66cf35091&o=&a=1538557,https://www.bluepillow.com/search/6398a52bc551970d3c7210ea/402864702?dest=bkng&cat=Apartment&lat=-6.89771&lng=107.53733&language=en,1.0,high,0,,Belum tersedia,missing_review_confidence,5,6,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,low,looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00036,High Livin Apartment Baros - Two-Bedroom Apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,352697.0,Rp 352.697,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Kolam renang luar; Bebas asap rokok; TV Kabel; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/315976469.jpg?k=4d93bac3fcf3812ddd14d88dec006ac18ada9ad3b064c3458a4b16f66cf35091&o=&a=1538557,https://www.bluepillow.com/search/6398a52bc551970d3c7210ea?dest=bkng&cat=Apartment&lat=-6.89771&lng=107.53733&language=en,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,low,looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-00040,Luxury Living At The Edge,apartment,-6.8974,107.5369,cimahi_baros_pasteur,4.7,6.0,221039.0,Rp 221.039,Free Wi-Fi; Free parking; Outdoor pool; Restaurant; Kid-friendly,https://photos.hotelbeds.com/giata/original/85/854974/854974a_hb_a_004.jpg,https://luxurylivingattheedge-bke.zoombookdirect.com/web/en/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,1.0,high,2,0.5919133213022196,Positif,low_review_confidence,2,4,low_capacity_confidence,,,,,,,low,capacity_low_confidence_for_unit_property,2,secondary_apartment_property,secondary_only,"apartemen diposisikan sebagai opsi pendukung, bukan pilihan utama",False,True,False,,,,,,,
LODGE-00046,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01,apartment,-6.8905,107.5662,cimahi_baros_pasteur,4.7,20.0,269680.0,Rp 269.680,Air conditioning,https://cdn.worldota.net/t/1024x768/content/81/fb/81fbff0c188d083a20b76a08deb084dcb02aaf75.JPEG,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pasteur/pasteur/reddoorz-apartment-gateway-pasteur-2?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,1.0,high,18,0.6324634203553542,Positif,high_review_confidence,2,4,low_capacity_confidence,,,,,,,low,capacity_low_confidence_for_unit_property,1,secondary_apartment_property,secondary_only,"apartemen diposisikan sebagai opsi pendukung, bukan pilihan utama",False,True,False,,,,,,,
