penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-00005,Villa wanacosta - Three-Bedroom Villa,villa,villa,-6.6463,107.5338,bandung_raya_other,,,2476294.0,Rp 2.476.294,0.85,high,0,,Belum tersedia,missing_review_confidence,4,6,high_capacity_confidence,secondary_large_unit,secondary_for_group_or_villa_query,,,secondary_large_unit,False,True,False,False,
LODGE-00009,Villa wanacosta - Three-Bedroom Villa,villa,villa,-6.6463,107.5338,bandung_raya_other,,,2250001.0,Rp 2.250.001,0.8,high,0,,Belum tersedia,missing_review_confidence,4,6,high_capacity_confidence,secondary_large_unit,secondary_for_group_or_villa_query,,,secondary_large_unit,False,True,False,False,
LODGE-00023,Porlak Jahe Giri Tirta Kahuripan - Standard Studio,apartment,apartment,-6.6343,107.5353,bandung_raya_other,,,,,0.6,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00028,Artistic 1BR Apartment at Gateway Pasteur near Exit Toll Pasteur By Travelio,apartment,apartment,-6.8903,107.5664,cimahi_baros_pasteur,1.5,1.0,550267.0,Rp 550.267,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,high_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00031,Clamitan House - Villa,villa,villa,-6.8495,107.4728,cimahi_baros_pasteur,4.4,5.0,726358.0,Rp 726.358,1.0,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,secondary_large_unit,secondary_for_group_or_villa_query,,,secondary_large_unit,False,True,False,False,
LODGE-00033,Deluxe & Cozy 3BR at Gateway Pasteur Apartment By Travelio,apartment,apartment,-6.8903,107.5664,cimahi_baros_pasteur,3.5,1.0,1179419.0,Rp 1.179.419,1.0,high,0,,Belum tersedia,missing_review_confidence,5,6,high_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00034,High Livin Apartment Baros - One-Bedroom Apartment,apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,353706.0,Rp 353.706,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,high_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00035,High Livin Apartment Baros - Three-Bedroom Apartment,apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,857078.0,Rp 857.078,1.0,high,0,,Belum tersedia,missing_review_confidence,5,6,high_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00036,High Livin Apartment Baros - Two-Bedroom Apartment,apartment,apartment,-6.8977,107.5373,cimahi_baros_pasteur,2.5,2.0,352697.0,Rp 352.697,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,high_capacity_confidence,secondary_apartment_unit,secondary_only,,,secondary_apartment_unit,False,True,False,False,
LODGE-00040,Luxury Living At The Edge,apartment,apartment,-6.8974,107.5369,cimahi_baros_pasteur,4.7,6.0,221039.0,Rp 221.039,1.0,high,2,0.5919133213022196,Positif,low_review_confidence,2,4,low_capacity_confidence,secondary_apartment_property,secondary_only,,,secondary_apartment_property,False,True,False,False,
