penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95
LODGE-00053,16,0.26216444856083065,0.8505871850690273,10,1,5,1,0.5407444850689144,Positif,Positif,0.8801872138612941,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00096,19,0.8836391317161896,0.9278795450388028,19,0,0,1,0.699763019422937,Positif,Positif,0.9306765580733931,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00098,12,0.35317742303030636,0.8366834668416551,8,2,2,1,0.5763328050635279,Positif,Positif,0.7968463205835412,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00100,21,0.6115582346975239,0.8797916925874967,18,0,3,1,0.624467996707367,Positif,Positif,0.9602863302391856,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00102,15,0.41621909022712683,0.851406427749623,10,1,4,1,0.5805814029381839,Positif,Positif,0.8613531161467861,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00103,18,-0.15962263353030456,0.8327867196804196,8,0,10,1,0.42090143285337606,Netral,Positif,0.9147414002175752,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00138,17,0.1358251740989277,0.8439199050828625,10,0,7,1,0.5045303402575645,Netral,Positif,0.8979444735226818,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00140,16,0.05937822740321415,0.7850526399185072,8,0,8,1,0.4915841890307042,Netral,Positif,0.8801872138612941,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00194,16,0.13461439250020849,0.7695811884095226,11,0,5,1,0.5098232593572484,Netral,Positif,0.8801872138612941,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00195,15,0.7032857175771325,0.9068758885741595,13,0,2,1,0.6468275477112622,Positif,Positif,0.8613531161467861,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
LODGE-00200,13,0.40425546052470346,0.8211204854422898,10,0,3,1,0.5833305686412095,Positif,Positif,0.8198692565977803,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-13_completion_accepted,0.6298900967515011,24.0
