review_target_id,hotel_id,name,property_segment,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,rating_available,price_available,amenities_available,image_available,data_quality_score,review_scrape_priority,google_maps_search_query,google_maps_search_url,source_dataset
HREV-0001,HOTEL-167,Apartmen 2BR Daymentroom R0620,apartment,-6.8894267,107.5664978,,,missing_review_confidence,False,True,True,True,0.54,P0_missing_rating_review,"Apartmen 2BR Daymentroom R0620 -6.889426708,107.5664978",https://www.google.com/maps/search/?api=1&query=Apartmen%202BR%20Daymentroom%20R0620%20-6.889426708%2C107.5664978,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0002,HOTEL-077,Apartment 2Bedroom Gateway Pasteur By Kevin,apartment,-6.8900185,107.5661774,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Apartment 2Bedroom Gateway Pasteur By Kevin -6.890018463,107.5661774",https://www.google.com/maps/search/?api=1&query=Apartment%202Bedroom%20Gateway%20Pasteur%20By%20Kevin%20-6.890018463%2C107.5661774,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0003,HOTEL-154,Bobo inn Baros The Edge,apartment,-6.8974099,107.5371323,,,missing_review_confidence,False,True,True,True,0.54,P0_missing_rating_review,"Bobo inn Baros The Edge -6.897409916,107.5371323",https://www.google.com/maps/search/?api=1&query=Bobo%20inn%20Baros%20The%20Edge%20-6.897409916%2C107.5371323,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0004,HOTEL-175,Brand New 1BR at Apt Gateway Pasteur By Travelio,apartment,-6.889533,107.5661316,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Brand New 1BR at Apt Gateway Pasteur By Travelio -6.889533043,107.5661316",https://www.google.com/maps/search/?api=1&query=Brand%20New%201BR%20at%20Apt%20Gateway%20Pasteur%20By%20Travelio%20-6.889533043%2C107.5661316,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0005,HOTEL-111,Collection O 93344 Gateway Pasteur Apartement By Maestro,apartment,-6.88985,107.566288,,,missing_review_confidence,False,False,False,True,0.26,P0_missing_rating_review,"Collection O 93344 Gateway Pasteur Apartement By Maestro -6.88985,107.566288",https://www.google.com/maps/search/?api=1&query=Collection%20O%2093344%20Gateway%20Pasteur%20Apartement%20By%20Maestro%20-6.88985%2C107.566288,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0006,HOTEL-158,Cozy & Trendy Studio at Gateway Pasteur Apartment By Travelio,apartment,-6.8895321,107.5662918,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Cozy & Trendy Studio at Gateway Pasteur Apartment By Travelio -6.889532089,107.5662918",https://www.google.com/maps/search/?api=1&query=Cozy%20%26%20Trendy%20Studio%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-6.889532089%2C107.5662918,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0007,HOTEL-176,Cozy and Strategic 1BR at Gateway Pasteur Apartment By Travelio,apartment,-6.891149,107.5665665,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Cozy and Strategic 1BR at Gateway Pasteur Apartment By Travelio -6.891149044,107.5665665",https://www.google.com/maps/search/?api=1&query=Cozy%20and%20Strategic%201BR%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-6.891149044%2C107.5665665,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0008,HOTEL-165,Cozy Living Studio at Gateway Pasteur Apartment By Travelio,apartment,-6.8903308,107.5656509,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Cozy Living Studio at Gateway Pasteur Apartment By Travelio -6.890330791,107.5656509",https://www.google.com/maps/search/?api=1&query=Cozy%20Living%20Studio%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-6.890330791%2C107.5656509,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0009,HOTEL-145,Cozy Studio Gateway Pasteur Bandung By Travelio,apartment,-6.88939,107.567482,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Cozy Studio Gateway Pasteur Bandung By Travelio -6.889389992,107.567482",https://www.google.com/maps/search/?api=1&query=Cozy%20Studio%20Gateway%20Pasteur%20Bandung%20By%20Travelio%20-6.889389992%2C107.567482,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0010,HOTEL-114,Cozy Trendy Studio at Gateway Pasteur Apartment By Travelio - Studio Apartment,apartment,-6.8895302,107.5662918,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Cozy Trendy Studio at Gateway Pasteur Apartment By Travelio - Studio Apartment -6.889530182,107.5662918",https://www.google.com/maps/search/?api=1&query=Cozy%20Trendy%20Studio%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-%20Studio%20Apartment%20-6.889530182%2C107.5662918,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0011,HOTEL-164,Elegant & Stylish Studio At Gateway Pasteur Apartment,apartment,-6.8892679,107.5678482,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Elegant & Stylish Studio At Gateway Pasteur Apartment -6.889267921,107.5678482",https://www.google.com/maps/search/?api=1&query=Elegant%20%26%20Stylish%20Studio%20At%20Gateway%20Pasteur%20Apartment%20-6.889267921%2C107.5678482,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0012,HOTEL-156,Good Choice Studio at Gateway Pasteur Apartment By Travelio,apartment,-6.8910699,107.5656433,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Good Choice Studio at Gateway Pasteur Apartment By Travelio -6.891069889,107.5656433",https://www.google.com/maps/search/?api=1&query=Good%20Choice%20Studio%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-6.891069889%2C107.5656433,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0013,HOTEL-148,"High Livin Apartment Pasteur - Apartment, 3 Bedrooms",apartment,-6.8891802,107.5668716,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"High Livin Apartment Pasteur - Apartment, 3 Bedrooms -6.889180183,107.5668716",https://www.google.com/maps/search/?api=1&query=High%20Livin%20Apartment%20Pasteur%20-%20Apartment%2C%203%20Bedrooms%20-6.889180183%2C107.5668716,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0014,HOTEL-160,Homey 1BR Apartment @ The Edge Bandung By Travelio,apartment,-6.8971162,107.5372543,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Homey 1BR Apartment @ The Edge Bandung By Travelio -6.897116184,107.5372543",https://www.google.com/maps/search/?api=1&query=Homey%201BR%20Apartment%20%40%20The%20Edge%20Bandung%20By%20Travelio%20-6.897116184%2C107.5372543,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
