review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,audit_recommendation,audit_reason,decision_group,decision_status,decision_reason
PHREV-20260605-1248,LODGE-00173,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room,apartment,-6.8904,107.5658,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room -6.8904,107.5658",https://www.google.com/maps/search/?api=1&query=Redliving%20Apartement%20gateway%20Pasteur-TN%20Hospitality%20Tower%20Topaz%20C%20Bs%2001%20-%20Deluxe%20Room%20-6.8904%2C107.5658,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00046,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01,apartment,0.0455,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-0598,LODGE-00533,Farmstay Manangel - Double Room with Shared Bathroom,vacation_rental,-6.7864,107.1331,5,8,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Farmstay Manangel - Double Room with Shared Bathroom -6.7864,107.1331",https://www.google.com/maps/search/?api=1&query=Farmstay%20Manangel%20-%20Double%20Room%20with%20Shared%20Bathroom%20-6.7864%2C107.1331,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00793,Farmstay Manangel,vacation_rental,0.04,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1086,LODGE-00693,"Glamping Ciwidey Argapuri - Panoramic Cabin, 1 Bedroom, Smoking, Mountain View",vacation_rental,-7.1307,107.5138,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"Glamping Ciwidey Argapuri - Panoramic Cabin, 1 Bedroom, Smoking, Mountain View -7.1307,107.5138",https://www.google.com/maps/search/?api=1&query=Glamping%20Ciwidey%20Argapuri%20-%20Panoramic%20Cabin%2C%201%20Bedroom%2C%20Smoking%2C%20Mountain%20View%20-7.1307%2C107.5138,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00794,Glamping Ciwidey Argapuri,vacation_rental,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1131,LODGE-00110,Imah Seuri - Basic Double Room,vacation_rental,-6.8178,107.5744,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Imah Seuri - Basic Double Room -6.8178,107.5744",https://www.google.com/maps/search/?api=1&query=Imah%20Seuri%20-%20Basic%20Double%20Room%20-6.8178%2C107.5744,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00093,Imah Seuri,vacation_rental,0.0157,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-0531,LODGE-00595,Vila Kopi Ciwidey - Double Room with Terrace,vacation_rental,-7.1202,107.4415,3.9,4,low_review_confidence,low_review_confidence,0.8,False,0,True,check_name_match_first,"Vila Kopi Ciwidey - Double Room with Terrace -7.1202,107.4415",https://www.google.com/maps/search/?api=1&query=Vila%20Kopi%20Ciwidey%20-%20Double%20Room%20with%20Terrace%20-7.1202%2C107.4415,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1216,LODGE-00412,Pakuhaji Highland Eco-Resort - Standard Villa,villa,-6.8274,107.5405,,,missing_review_confidence,missing_rating_or_review,0.55,False,0,True,check_name_match_first,"Pakuhaji Highland Eco-Resort - Standard Villa -6.8274,107.5405",https://www.google.com/maps/search/?api=1&query=Pakuhaji%20Highland%20Eco-Resort%20-%20Standard%20Villa%20-6.8274%2C107.5405,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00170,Pakuhaji Highland Eco-Resort,hotel,0.011,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1234,LODGE-00539,Princess Villa - Villa,villa,-7.0791,107.4549,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Princess Villa - Villa -7.0791,107.4549",https://www.google.com/maps/search/?api=1&query=Princess%20Villa%20-%20Villa%20-7.0791%2C107.4549,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00511,Princess Villa,villa,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1356,LODGE-00479,Taman Wisata Bougenville by Kozystay - Forest House Villa,villa,-7.1108,107.602,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Taman Wisata Bougenville by Kozystay - Forest House Villa -7.1108,107.602",https://www.google.com/maps/search/?api=1&query=Taman%20Wisata%20Bougenville%20by%20Kozystay%20-%20Forest%20House%20Villa%20-7.1108%2C107.602,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00477,Taman Wisata Bougenville by Kozystay,vacation_rental,0.0248,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1426,LODGE-00652,Villa Haposan - Villa,villa,-7.1229,107.4329,,,missing_review_confidence,missing_rating_or_review,0.7,False,0,True,check_name_match_first,"Villa Haposan - Villa -7.1229,107.4329",https://www.google.com/maps/search/?api=1&query=Villa%20Haposan%20-%20Villa%20-7.1229%2C107.4329,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00601,Villa Haposan,villa,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
PHREV-20260605-1456,LODGE-00552,Villa Sakinah Ciwidey - Villa,villa,-7.1143,107.4458,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Villa Sakinah Ciwidey - Villa -7.1143,107.4458",https://www.google.com/maps/search/?api=1&query=Villa%20Sakinah%20Ciwidey%20-%20Villa%20-7.1143%2C107.4458,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00605,Villa Sakinah Ciwidey,villa,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.,child_parent_candidate,prepare_child_parent_relation,Kandidat parent cukup kuat dari nama dan koordinat.
