scope,penginapan_id,name,property_type,priority,latitude,longitude,search_query
priority_27,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,"BUMI LOKA residence -6.86690,107.45760"
priority_27,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,"RedDoorz Resort at Hajeka Pangalengan Bandung -7.19740,107.54470"
priority_27,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,"Easton Park Residence Naffi Rooms by Mustika -6.93610,107.76530"
priority_27,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,"RedDoorz near Situ Cileunca Pangalengan -7.18720,107.55550"
priority_27,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,"Artana 2 Chipsari by OYO -7.19330,107.54500"
priority_27,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,"RedDoorz @ ADDA Cabin Pengalengan -7.20000,107.54380"
priority_27,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,"Baraya Homestay -7.18420,107.56170"
priority_27,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,"Ciwidey Homestay 6 Bedroom -7.12290,107.42400"
priority_27,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,"Homestay Bumina EENK Bandung Pangalengan -7.23290,107.52150"
priority_27,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,"Lavin Soka Homestay - Tent -6.72040,107.38090"
priority_27,LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,"Mila's Homestay -6.79790,107.16740"
priority_27,LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,"Pangalengan Homestay By Lunam -7.17930,107.57030"
priority_27,LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,"Salsabilla Guest House Syariah by Oyo -6.88710,107.52250"
priority_27,LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,"Danapati Homestay -6.85580,107.48090"
priority_27,LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,"OYO 90892 My Guest House Syariah -6.90040,107.52250"
priority_27,LODGE-01543,OYO 944 Doorman Residence,hotel,P1_rating_reviews_missing,-6.918,107.5996,"OYO 944 Doorman Residence -6.91800,107.59960"
priority_27,LODGE-00143,ADS House Padalarang - Guesthouse Aesthetic,guest_house,P1_rating_reviews_missing,-6.8495,107.4725,"ADS House Padalarang - Guesthouse Aesthetic -6.84950,107.47250"
priority_27,LODGE-00568,Homestay VV&V,guest_house,P1_rating_reviews_missing,-7.1353,107.4067,"Homestay VV&V -7.13530,107.40670"
priority_27,LODGE-00569,Homestay murah ciwidey,guest_house,P1_rating_reviews_missing,-7.1195,107.4319,"Homestay murah ciwidey -7.11950,107.43190"
priority_27,LODGE-00836,Syariah Maribaya Family Guest House,guest_house,P1_rating_reviews_missing,-6.8167,107.6273,"Syariah Maribaya Family Guest House -6.81670,107.62730"
priority_27,LODGE-00591,Tiara Guest House,guest_house,P1_rating_reviews_missing,-6.7975,107.1724,"Tiara Guest House -6.79750,107.17240"
priority_27,LODGE-00010,Wildan Guesthouse,guest_house,P1_rating_reviews_missing,-6.8017,107.0619,"Wildan Guesthouse -6.80170,107.06190"
priority_27,LODGE-00631,Alma Strawberry ( Home stay ),guest_house,P1_rating_reviews_missing,-7.1323,107.4169,"Alma Strawberry ( Home stay ) -7.13230,107.41690"
priority_27,LODGE-01575,Kost harian/penginapan peri,guest_house,P1_rating_reviews_missing,-6.9446,107.5953,"Kost harian/penginapan peri -6.94460,107.59530"
priority_27,LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,P1_rating_reviews_missing,-7.1327,107.4215,"Ciwidey Homestay 4 Bedroom -7.13270,107.42150"
priority_27,LODGE-00730,VV&V HomeStay,guest_house,P1_rating_reviews_missing,-7.131,107.4208,"VV&V HomeStay -7.13100,107.42080"
priority_27,LODGE-01621,OYO 94030 Ar Guest House Syariah,guest_house,P1_rating_reviews_missing,-7.0344,107.5457,"OYO 94030 Ar Guest House Syariah -7.03440,107.54570"
all_237,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,"BUMI LOKA residence -6.86690,107.45760"
all_237,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,"RedDoorz Resort at Hajeka Pangalengan Bandung -7.19740,107.54470"
all_237,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,"Easton Park Residence Naffi Rooms by Mustika -6.93610,107.76530"
all_237,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,"RedDoorz near Situ Cileunca Pangalengan -7.18720,107.55550"
all_237,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,"Artana 2 Chipsari by OYO -7.19330,107.54500"
all_237,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,"RedDoorz @ ADDA Cabin Pengalengan -7.20000,107.54380"
all_237,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,"Baraya Homestay -7.18420,107.56170"
all_237,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,"Ciwidey Homestay 6 Bedroom -7.12290,107.42400"
all_237,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,"Homestay Bumina EENK Bandung Pangalengan -7.23290,107.52150"
all_237,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,"Lavin Soka Homestay - Tent -6.72040,107.38090"
all_237,LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,"Mila's Homestay -6.79790,107.16740"
all_237,LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,"Pangalengan Homestay By Lunam -7.17930,107.57030"
all_237,LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,"Salsabilla Guest House Syariah by Oyo -6.88710,107.52250"
all_237,LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,"Danapati Homestay -6.85580,107.48090"
all_237,LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,"OYO 90892 My Guest House Syariah -6.90040,107.52250"
all_237,LODGE-00841,Villa Aman Adem,villa,P1_core_rating_price_missing,-6.7904,107.5362,"Villa Aman Adem -6.79040,107.53620"
all_237,LODGE-00674,Aubrey Villa Ciwidey - Tent,villa,P1_core_rating_price_missing,-7.124,107.5054,"Aubrey Villa Ciwidey - Tent -7.12400,107.50540"
all_237,LODGE-00294,Fanara Villa,villa,P1_core_rating_price_missing,-6.8449,107.5297,"Fanara Villa -6.84490,107.52970"
