scope,penginapan_id,name,property_type,priority,latitude,longitude,fixed_search_query
priority_27,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,BUMI LOKA residence Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,RedDoorz Resort at Hajeka Pangalengan Bandung Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,Easton Park Residence Naffi Rooms by Mustika Bandung Jawa Barat Indonesia
priority_27,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,RedDoorz @ ADDA Cabin Pengalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,Ciwidey Homestay 6 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,Lavin Soka Homestay - Tent Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,Mila's Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,Pangalengan Homestay By Lunam Pangalengan Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,Salsabilla Guest House Syariah by Oyo Cimahi Jawa Barat Indonesia
priority_27,LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,Danapati Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,OYO 90892 My Guest House Syariah Cimahi Jawa Barat Indonesia
priority_27,LODGE-01543,OYO 944 Doorman Residence,hotel,P1_rating_reviews_missing,-6.918,107.5996,OYO 944 Doorman Residence Bandung Jawa Barat Indonesia
priority_27,LODGE-00143,ADS House Padalarang - Guesthouse Aesthetic,guest_house,P1_rating_reviews_missing,-6.8495,107.4725,ADS House Padalarang - Guesthouse Aesthetic Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00568,Homestay VV&V,guest_house,P1_rating_reviews_missing,-7.1353,107.4067,Homestay VV&V Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00569,Homestay murah ciwidey,guest_house,P1_rating_reviews_missing,-7.1195,107.4319,Homestay murah ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00836,Syariah Maribaya Family Guest House,guest_house,P1_rating_reviews_missing,-6.8167,107.6273,Syariah Maribaya Family Guest House Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00591,Tiara Guest House,guest_house,P1_rating_reviews_missing,-6.7975,107.1724,Tiara Guest House Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00010,Wildan Guesthouse,guest_house,P1_rating_reviews_missing,-6.8017,107.0619,Wildan Guesthouse Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
priority_27,LODGE-00631,Alma Strawberry ( Home stay ),guest_house,P1_rating_reviews_missing,-7.1323,107.4169,Alma Strawberry ( Home stay ) Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-01575,Kost harian/penginapan peri,guest_house,P1_rating_reviews_missing,-6.9446,107.5953,Kost harian/penginapan peri Bandung Jawa Barat Indonesia
priority_27,LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,P1_rating_reviews_missing,-7.1327,107.4215,Ciwidey Homestay 4 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-00730,VV&V HomeStay,guest_house,P1_rating_reviews_missing,-7.131,107.4208,VV&V HomeStay Ciwidey Kabupaten Bandung Jawa Barat Indonesia
priority_27,LODGE-01621,OYO 94030 Ar Guest House Syariah,guest_house,P1_rating_reviews_missing,-7.0344,107.5457,OYO 94030 Ar Guest House Syariah Bandung Jawa Barat Indonesia
all_237,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,BUMI LOKA residence Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,RedDoorz Resort at Hajeka Pangalengan Bandung Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,Easton Park Residence Naffi Rooms by Mustika Bandung Jawa Barat Indonesia
all_237,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,RedDoorz @ ADDA Cabin Pengalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,Ciwidey Homestay 6 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
