penginapan_id,name,property_type_final_after_p3,overall_rating,reviews,hotel_adjusted_sentiment_score,data_quality_score,latitude,longitude,jalur2_area_bucket
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,4.3,349.0,,0.76,-6.8953136,107.538659,cimahi
LODGE-01540,Hotel Sepuluh Candrawulan @ Guest House,guest_house,4.2,75.0,0.6560958418355545,0.75,-6.9446,107.6346,guest_house_bandung
LODGE-01594,Zatarana Guest House Syariah,guest_house,4.1,76.0,0.5088774631293486,0.7,-6.8956,107.6198,guest_house_bandung
LODGE-01582,Rumah Nenekoe Guest House,guest_house,4.6,68.0,0.6694373088086286,0.7,-6.9345,107.6213,guest_house_bandung
LODGE-01567,Guest House Panyawangan,guest_house,4.2,43.0,0.5216832578789768,0.7,-6.9312,107.6244,guest_house_bandung
LODGE-01568,Guest House Rumah Tawa 2,guest_house,4.5,34.0,0.6644478327691097,0.7,-6.9304,107.6219,guest_house_bandung
LODGE-00343,The Cordyline Guesthouse,guest_house,4.3,149.0,0.5809986297799359,0.64,-6.8629441,107.563801,cimahi
LODGE-00341,Sukaraja Guest House Bandung,guest_house,4.4,68.0,0.614392454224134,0.64,-6.8917943,107.5694466,cimahi
LODGE-00346,Salsabila Guest House,guest_house,4.5,51.0,0.5619374412361974,0.62,-6.8871632,107.5223337,bandung_barat
LODGE-00400,Padasuka Kost & Homestay,guest_house,4.3,106.0,0.6230549948776898,0.58,-6.8759999,107.5251134,bandung_barat
LODGE-00394,Guest House Jabu Rosmina,guest_house,4.1,40.0,0.5591927281640686,0.58,-6.8658788,107.5383544,cimahi
LODGE-00397,Light Home Kost,guest_house,4.5,28.0,0.656067244478423,0.58,-6.8892346,107.5798251,cimahi
LODGE-01634,My Family Guest House,guest_house,4.4,7.0,,0.55,-6.9021,107.6133,guest_house_bandung
LODGE-01632,Kost Flores,guest_house,5.0,6.0,,0.55,-6.9082,107.618,guest_house_bandung
LODGE-01633,Kost Sakgan48,guest_house,4.8,4.0,0.6014091126765337,0.55,-6.9262,107.61,guest_house_bandung
LODGE-01646,Javaretro kost 31,guest_house,4.0,5.0,,0.48,-6.8887677,107.5800253,guest_house_bandung
LODGE-00442,Kost Gerlong Hilir,guest_house,4.4,68.0,0.6230068843268317,0.44,-6.8676139,107.5795974,cimahi
LODGE-00437,Guest House TERAS WARUGA SYARIAH,guest_house,4.8,5.0,0.5974597920924052,0.44,-6.8614987,107.5765378,cimahi
LODGE-00447,Regina's Home Guesthouse,guest_house,5.0,5.0,0.596285743871576,0.44,-6.8864523,107.5699031,cimahi
LODGE-00433,ALONICA guesthouse,guest_house,3.0,2.0,,0.44,-6.8569713,107.5745009,cimahi
LODGE-00439,Homestay,guest_house,5.0,1.0,0.6024622361871446,0.44,-6.8560156,107.5669553,cimahi
LODGE-01532,D'Sovia Hotel Bandung,hotel,4.2,1229.0,,0.75,-6.9172,107.598,hotel_bandung
LODGE-00200,Geowisata Inn,hotel,4.4,976.0,0.583331,0.75,-6.9175,107.5786,cimahi
LODGE-01537,Hotel Flores Gallery,hotel,4.1,574.0,0.6308552608496429,0.75,-6.9081,107.618,hotel_bandung
LODGE-01541,Kampioen Bed and Breakfast,hotel,4.3,525.0,0.5153818384139184,0.75,-6.9043,107.6017,hotel_bandung
LODGE-01519,Ardellia Hotel,hotel,4.2,466.0,0.5952850112801863,0.75,-6.925,107.6189,hotel_bandung
LODGE-01558,Wisma Dharma Bakti,hotel,4.4,428.0,0.6444999432175338,0.75,-6.9153,107.6172,hotel_bandung
LODGE-01534,Emia Hotel,hotel,3.9,403.0,,0.75,-6.9241,107.6249,hotel_bandung
LODGE-01521,Bantal Guling Asia Afrika,hotel,3.9,307.0,,0.75,-6.926,107.6056,hotel_bandung
