batch_no,json_file,penginapan_id,name,property_type_final_after_p3,completion_priority_data_focus,latitude,longitude,current_price_lowest,current_overall_rating,current_reviews,q,max_pages,vacation_rentals,note
1,001_LODGE-00282_bumi-loka-residence.json,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,,,,"BUMI LOKA residence, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
2,002_LODGE-00781_reddoorz-resort-at-hajeka-pangalengan-bandung.json,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,,,,"RedDoorz Resort at Hajeka Pangalengan Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
3,003_LODGE-01640_easton-park-residence-naffi-rooms-by-mustika.json,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,,,,"Easton Park Residence Naffi Rooms by Mustika, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
4,004_LODGE-00810_reddoorz-near-situ-cileunca-pangalengan.json,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,,,,"RedDoorz near Situ Cileunca Pangalengan, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
5,005_LODGE-00814_artana-2-chipsari-by-oyo.json,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,,,,"Artana 2 Chipsari by OYO, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
6,006_LODGE-00815_reddoorz-adda-cabin-pengalengan.json,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,,,,"RedDoorz @ ADDA Cabin Pengalengan, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
7,007_LODGE-00491_baraya-homestay.json,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,,,,"Baraya Homestay, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
8,008_LODGE-00685_ciwidey-homestay-6-bedroom.json,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,,,,"Ciwidey Homestay 6 Bedroom, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
9,009_LODGE-00492_homestay-bumina-eenk-bandung-pangalengan.json,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,,,,"Homestay Bumina EENK Bandung Pangalengan, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
10,010_LODGE-00015_lavin-soka-homestay-tent.json,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,,,,"Lavin Soka Homestay - Tent, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
