batch_no,json_file,penginapan_id,name,property_type_final_after_p3,completion_priority_data_focus,latitude,longitude,current_price_lowest,current_overall_rating,current_reviews,q,max_pages,vacation_rentals,note
33,033_LODGE-01368_hotel-setiabudhi-indah.json,LODGE-01368,Hotel Setiabudhi Indah,hotel,P1_price_missing,-6.8616,107.5957,,4.3,433.0,"Hotel Setiabudhi Indah, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
34,034_LODGE-01342_bandung-city-center.json,LODGE-01342,Bandung City Center,hotel,P1_price_missing,-6.9129,107.6048,,4.3,196.0,"Bandung City Center, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
35,035_LODGE-01388_penginapan-rio-anakku-syariah-banjaran-mitra-reddoorz.json,LODGE-01388,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz,hotel,P1_price_missing,-7.0136,107.6085,,3.7,126.0,"Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
36,036_LODGE-01392_reddoorz-plus-point-phila-cihampelas.json,LODGE-01392,RedDoorz Plus @ Point Phila Cihampelas,hotel,P1_price_missing,-6.9061,107.6047,,4.3,80.0,"RedDoorz Plus @ Point Phila Cihampelas, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
37,037_LODGE-01336_airy-cicendo-otten-6-bandung.json,LODGE-01336,Airy Cicendo Otten 6 Bandung,hotel,P1_price_missing,-6.9029,107.6008,,4.5,50.0,"Airy Cicendo Otten 6 Bandung, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
38,038_LODGE-01385_oyo-1444-patradissa-stasiun-bandung-hotel.json,LODGE-01385,OYO 1444 Patradissa Stasiun Bandung Hotel,hotel,P1_price_missing,-6.9113,107.6018,,3.1,48.0,"OYO 1444 Patradissa Stasiun Bandung Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
39,039_LODGE-00140_cimindi-residence.json,LODGE-00140,Cimindi Residence,hotel,P1_price_missing,-6.8982606,107.5614139,,3.8,387.0,"Cimindi Residence, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
40,040_LODGE-01445_gasblock-braga.json,LODGE-01445,GASBLOCK BRAGA,hotel,P1_price_missing,-6.9182,107.6096,,4.4,595.0,"GASBLOCK BRAGA, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
41,041_LODGE-01467_oyo-life-3143-blessing-bed-and-breakfast.json,LODGE-01467,OYO Life 3143 Blessing Bed And Breakfast,hotel,P1_price_missing,-6.8931,107.6046,,4.0,184.0,"OYO Life 3143 Blessing Bed And Breakfast, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
42,042_LODGE-01508_wisma-wanita.json,LODGE-01508,Wisma Wanita,hotel,P1_price_missing,-6.9072,107.6226,,4.1,155.0,"Wisma Wanita, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
43,043_LODGE-01507_wisma-gasibu.json,LODGE-01507,Wisma Gasibu,hotel,P1_price_missing,-6.8975,107.6209,,4.3,140.0,"Wisma Gasibu, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
44,044_LODGE-00577_reddoorz-syariah-near-tugu-pandanwangi-cianjur.json,LODGE-00577,RedDoorz Syariah near Tugu Pandanwangi Cianjur,hotel,P1_price_missing,-6.8288,107.1163,,3.55,128.0,"RedDoorz Syariah near Tugu Pandanwangi Cianjur, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
45,045_LODGE-01471_reddoorz-lombok.json,LODGE-01471,RedDoorz @ Lombok,hotel,P1_price_missing,-6.9098,107.6186,,3.8,94.0,"RedDoorz @ Lombok, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
46,046_LODGE-01465_mr-a-hotel.json,LODGE-01465,Mr A Hotel,hotel,P1_price_missing,-6.896,107.6159,,4.5,86.0,"Mr A Hotel, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
47,047_LODGE-01413_airy-eco-cicendo.json,LODGE-01413,Airy Eco Cicendo,hotel,P1_price_missing,-6.9051,107.5986,,3.3,85.0,"Airy Eco Cicendo, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
48,048_LODGE-01473_reddoorz-paskal-hyper-square.json,LODGE-01473,RedDoorz @ Paskal Hyper Square,hotel,P1_price_missing,-6.9145,107.5941,,3.8,64.0,"RedDoorz @ Paskal Hyper Square, Jawa Barat, Indonesia",3,False,Targeted exact-name Google Hotels scrape; validate by name and coordinate before apply.
