target_no,json_file,penginapan_id,name,property_type_final_after_p3,latitude,longitude,overall_rating,reviews,data_quality_score,q,vacation_rentals,max_pages,note
1,001_LODGE-01532_d-sovia-hotel-bandung.json,LODGE-01532,D'Sovia Hotel Bandung,hotel,-6.9172,107.598,4.2,1229.0,0.75,D'Sovia Hotel Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
2,002_LODGE-00200_geowisata-inn.json,LODGE-00200,Geowisata Inn,hotel,-6.9175,107.5786,4.4,976.0,0.75,Geowisata Inn Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
3,003_LODGE-01537_hotel-flores-gallery.json,LODGE-01537,Hotel Flores Gallery,hotel,-6.9081,107.618,4.1,574.0,0.75,Hotel Flores Gallery Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
4,004_LODGE-01541_kampioen-bed-and-breakfast.json,LODGE-01541,Kampioen Bed and Breakfast,hotel,-6.9043,107.6017,4.3,525.0,0.75,Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
5,005_LODGE-01519_ardellia-hotel.json,LODGE-01519,Ardellia Hotel,hotel,-6.925,107.6189,4.2,466.0,0.75,Ardellia Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
6,006_LODGE-01558_wisma-dharma-bakti.json,LODGE-01558,Wisma Dharma Bakti,hotel,-6.9153,107.6172,4.4,428.0,0.75,Wisma Dharma Bakti Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
7,007_LODGE-01534_emia-hotel.json,LODGE-01534,Emia Hotel,hotel,-6.9241,107.6249,3.9,403.0,0.75,Emia Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
8,008_LODGE-01521_bantal-guling-asia-afrika.json,LODGE-01521,Bantal Guling Asia Afrika,hotel,-6.926,107.6056,3.9,307.0,0.75,Bantal Guling Asia Afrika Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
9,009_LODGE-01520_arsallya-hotel.json,LODGE-01520,Arsallya Hotel,hotel,-6.9279,107.6212,4.1,285.0,0.75,Arsallya Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
10,010_LODGE-01515_airy-gasibu-aria-jipang-6-bandung.json,LODGE-01515,Airy Gasibu Aria Jipang 6 Bandung,hotel,-6.9001,107.6159,4.4,163.0,0.75,Airy Gasibu Aria Jipang 6 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
11,011_LODGE-01542_naraya-house.json,LODGE-01542,Naraya house,hotel,-6.9315,107.6193,4.1,160.0,0.75,Naraya house Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
12,012_LODGE-01547_reddoorz-plus-near-bip.json,LODGE-01547,RedDoorz Plus Near BIP,hotel,-6.9077,107.613,4.6,133.0,0.75,RedDoorz Plus Near BIP Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
13,013_LODGE-01538_hotel-mitra-mutiara-inn.json,LODGE-01538,Hotel Mitra Mutiara Inn,hotel,-6.9354,107.6241,4.1,125.0,0.75,Hotel Mitra Mutiara Inn Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
14,014_LODGE-01551_rhapsodic-stay-bed-and-breakfast-bandung.json,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,hotel,-6.8966,107.6213,4.3,65.0,0.75,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
15,015_LODGE-01539_hotel-reddoorz-malabar-39.json,LODGE-01539,Hotel RedDoorz Malabar 39,hotel,-6.9241,107.6249,4.4,63.0,0.75,Hotel RedDoorz Malabar 39 Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
16,016_LODGE-01517_airy-regol-lengkong-besar-145-bandung.json,LODGE-01517,Airy Regol Lengkong Besar 145 Bandung,hotel,-6.9312,107.6129,3.5,41.0,0.75,Airy Regol Lengkong Besar 145 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
17,017_LODGE-01514_airy-braga-lembong-21-bandung.json,LODGE-01514,Airy Braga Lembong 21 Bandung,hotel,-6.9177,107.6125,3.5,28.0,0.75,Airy Braga Lembong 21 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
18,018_LODGE-01516_airy-lengkong-buah-batu-152-bandung.json,LODGE-01516,Airy Lengkong Buah Batu 152 Bandung,hotel,-6.9378,107.6233,3.6,8.0,0.75,Airy Lengkong Buah Batu 152 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
19,019_LODGE-00214_airy-eco-budi-cimahi.json,LODGE-00214,Airy Eco Budi Cimahi,hotel,-6.8905806,107.5587424,4.0,200.0,0.74,Airy Eco Budi Cimahi Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
20,020_LODGE-01574_karang-setra-hotel-cottages.json,LODGE-01574,Karang Setra Hotel & Cottages,hotel,-6.8833,107.5956,4.3,2619.0,0.7,Karang Setra Hotel & Cottages Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
21,021_LODGE-01586_the-bougenvile-hotel.json,LODGE-01586,The Bougenvile Hotel,hotel,-6.9295,107.6268,4.2,512.0,0.7,The Bougenvile Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
22,022_LODGE-01579_reddoorz-talaga-bodas.json,LODGE-01579,RedDoorz @ Talaga Bodas,hotel,-6.9282,107.6202,4.2,221.0,0.7,RedDoorz @ Talaga Bodas Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
23,023_LODGE-01564_airy-veteran-30-bandung.json,LODGE-01564,Airy Veteran 30 Bandung,hotel,-6.9192,107.615,4.3,127.0,0.7,Airy Veteran 30 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
24,024_LODGE-01559_airy-asia-afrika-pangarang-24-bandung.json,LODGE-01559,Airy Asia Afrika Pangarang 24 Bandung,hotel,-6.9242,107.61,4.4,59.0,0.7,Airy Asia Afrika Pangarang 24 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
25,025_LODGE-01561_airy-malabar-gatot-subroto-62-bandung.json,LODGE-01561,Airy Malabar Gatot Subroto 62 Bandung,hotel,-6.9241,107.6249,3.7,25.0,0.7,Airy Malabar Gatot Subroto 62 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
26,026_LODGE-01560_airy-cicendo-pasirkaliki-53-bandung.json,LODGE-01560,Airy Cicendo Pasirkaliki 53 Bandung,hotel,-6.9111,107.5976,4.1,17.0,0.7,Airy Cicendo Pasirkaliki 53 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
27,027_LODGE-01563_airy-supratman-23-bandung.json,LODGE-01563,Airy Supratman 23 Bandung,hotel,-6.9065,107.6294,3.9,14.0,0.7,Airy Supratman 23 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
28,028_LODGE-01572_hotel-at-lekong-besar-62.json,LODGE-01572,Hotel at Lekong Besar 62,hotel,-6.928,107.6128,3.9,8.0,0.7,Hotel at Lekong Besar 62 Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
29,029_LODGE-01580_reddoorz-near-asia-afrika-2.json,LODGE-01580,RedDoorz near Asia Afrika 2,hotel,-6.9316,107.6193,4.6,5.0,0.7,RedDoorz near Asia Afrika 2 Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
30,030_LODGE-01562_airy-sudirman-ence-aziz-32-bandung.json,LODGE-01562,Airy Sudirman Ence Aziz 32 Bandung,hotel,-6.9187,107.5999,3.0,2.0,0.7,Airy Sudirman Ence Aziz 32 Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
31,031_LODGE-00255_hotel-candra.json,LODGE-00255,Hotel Candra,hotel,-6.8775542,107.5482844,3.9,425.0,0.68,Hotel Candra Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
32,032_LODGE-00252_bantal-guling-pasteur-bandung.json,LODGE-00252,Bantal Guling Pasteur Bandung,hotel,-6.8808067,107.5792086,3.8,36.0,0.68,Bantal Guling Pasteur Bandung Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
33,033_LODGE-00263_hotel-tjimahi.json,LODGE-00263,Hotel Tjimahi,hotel,-6.877839,107.5485273,3.9,761.0,0.66,Hotel Tjimahi Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
34,034_LODGE-00264_karizma-residence.json,LODGE-00264,KARIZMA RESIDENCE,hotel,-6.8896251,107.5791915,4.3,270.0,0.66,KARIZMA RESIDENCE Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
35,035_LODGE-00342_the-brick-house.json,LODGE-00342,The Brick House,hotel,-6.8801513,107.5619077,4.4,57.0,0.64,The Brick House Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
36,036_LODGE-00345_cibogo-55.json,LODGE-00345,Cibogo 55,hotel,-6.8872943,107.5791675,4.1,77.0,0.62,Cibogo 55 Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
37,037_LODGE-00403_rumah-bagus-bandung.json,LODGE-00403,Rumah Bagus Bandung,hotel,-6.8808909,107.5727895,4.7,76.0,0.58,Rumah Bagus Bandung Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
38,038_LODGE-00399_oyo-2759-jend-sudirman-cibeureum.json,LODGE-00399,OYO 2759 - Jend. Sudirman Cibeureum,hotel,-6.9104534,107.5688898,3.9,69.0,0.58,OYO 2759 - Jend. Sudirman Cibeureum Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
39,039_LODGE-00405_evano-house.json,LODGE-00405,evano house,hotel,-6.8575216,107.5730259,4.7,35.0,0.58,evano house Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
40,040_LODGE-00398_nida-rooms-sukajadi-bandung-railway-cass.json,LODGE-00398,Nida Rooms Sukajadi Bandung Railway Cass,hotel,-6.8897002,107.5783523,3.0,1.0,0.58,Nida Rooms Sukajadi Bandung Railway Cass Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
41,041_LODGE-01637_rumah-the-priangan.json,LODGE-01637,Rumah The Priangan,hotel,-6.926,107.6097,4.7,35.0,0.55,Rumah The Priangan Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
42,042_LODGE-01638_the-wastoekentjana.json,LODGE-01638,The Wastoekentjana,hotel,-6.9088,107.6083,4.9,34.0,0.55,The Wastoekentjana Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
43,043_LODGE-01636_reddoorz-near-tegalega-park.json,LODGE-01636,RedDoorz near Tegalega Park,hotel,-6.9395,107.6049,4.5,16.0,0.55,RedDoorz near Tegalega Park Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
44,044_LODGE-00454_wisma-komando2.json,LODGE-00454,WISMA KOMANDO2,hotel,-6.8738017,107.5612968,4.7,83.0,0.44,WISMA KOMANDO2 Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
45,045_LODGE-00440_imah-incu-inn.json,LODGE-00440,Imah Incu Inn,hotel,-6.8565362,107.5689391,4.4,64.0,0.44,Imah Incu Inn Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
46,046_LODGE-00441_jk-house-bandung.json,LODGE-00441,JK House Bandung,hotel,-6.8604893,107.5701401,4.7,23.0,0.44,JK House Bandung Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
47,047_LODGE-00450_tepas-paviliun.json,LODGE-00450,Tepas Paviliun,hotel,-6.8679485,107.5796872,5.0,16.0,0.44,Tepas Paviliun Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
48,048_LODGE-00445_oyo.json,LODGE-00445,Oyo,hotel,-6.8982107,107.561465,2.3,3.0,0.44,Oyo Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
49,049_LODGE-00448_sentra-duta.json,LODGE-00448,Sentra Duta,hotel,-6.8794165,107.5714681,5.0,3.0,0.44,Sentra Duta Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
50,050_LODGE-00436_collection-o-by-boboin-baros-near-stasiun-cimahi.json,LODGE-00436,Collection O By Boboin Baros Near Stasiun Cimahi,hotel,-6.8974705,107.5369262,4.0,2.0,0.44,Collection O By Boboin Baros Near Stasiun Cimahi Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
51,051_LODGE-00443_mega-raya.json,LODGE-00443,Mega raya,hotel,-6.8937041,107.5701445,5.0,2.0,0.44,Mega raya Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
52,052_LODGE-00455_hotel-tirtasari.json,LODGE-00455,hotel tirtasari,hotel,-6.8753955,107.5749747,4.0,2.0,0.44,hotel tirtasari Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
53,053_LODGE-00199_cluster-harris-home-stay-kos.json,LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,-6.8953136,107.538659,4.3,349.0,0.76,Cluster Harris Home Stay & Kos Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
54,054_LODGE-01540_hotel-sepuluh-candrawulan-guest-house.json,LODGE-01540,Hotel Sepuluh Candrawulan @ Guest House,guest_house,-6.9446,107.6346,4.2,75.0,0.75,Hotel Sepuluh Candrawulan @ Guest House Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
55,055_LODGE-01594_zatarana-guest-house-syariah.json,LODGE-01594,Zatarana Guest House Syariah,guest_house,-6.8956,107.6198,4.1,76.0,0.7,Zatarana Guest House Syariah Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
56,056_LODGE-01582_rumah-nenekoe-guest-house.json,LODGE-01582,Rumah Nenekoe Guest House,guest_house,-6.9345,107.6213,4.6,68.0,0.7,Rumah Nenekoe Guest House Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
57,057_LODGE-01567_guest-house-panyawangan.json,LODGE-01567,Guest House Panyawangan,guest_house,-6.9312,107.6244,4.2,43.0,0.7,Guest House Panyawangan Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
58,058_LODGE-01568_guest-house-rumah-tawa-2.json,LODGE-01568,Guest House Rumah Tawa 2,guest_house,-6.9304,107.6219,4.5,34.0,0.7,Guest House Rumah Tawa 2 Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
