target_no,json_file,penginapan_id,name,property_type_final_after_p3,latitude,longitude,overall_rating,reviews,data_quality_score,q,vacation_rentals,max_pages,note
6,006_LODGE-01558_wisma-dharma-bakti.json,LODGE-01558,Wisma Dharma Bakti,hotel,-6.9153,107.6172,4.4,428.0,0.75,Wisma Dharma Bakti Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
7,007_LODGE-01534_emia-hotel.json,LODGE-01534,Emia Hotel,hotel,-6.9241,107.6249,3.9,403.0,0.75,Emia Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
8,008_LODGE-01521_bantal-guling-asia-afrika.json,LODGE-01521,Bantal Guling Asia Afrika,hotel,-6.926,107.6056,3.9,307.0,0.75,Bantal Guling Asia Afrika Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
11,011_LODGE-01542_naraya-house.json,LODGE-01542,Naraya house,hotel,-6.9315,107.6193,4.1,160.0,0.75,Naraya house Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
12,012_LODGE-01547_reddoorz-plus-near-bip.json,LODGE-01547,RedDoorz Plus Near BIP,hotel,-6.9077,107.613,4.6,133.0,0.75,RedDoorz Plus Near BIP Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
13,013_LODGE-01538_hotel-mitra-mutiara-inn.json,LODGE-01538,Hotel Mitra Mutiara Inn,hotel,-6.9354,107.6241,4.1,125.0,0.75,Hotel Mitra Mutiara Inn Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
14,014_LODGE-01551_rhapsodic-stay-bed-and-breakfast-bandung.json,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,hotel,-6.8966,107.6213,4.3,65.0,0.75,Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
15,015_LODGE-01539_hotel-reddoorz-malabar-39.json,LODGE-01539,Hotel RedDoorz Malabar 39,hotel,-6.9241,107.6249,4.4,63.0,0.75,Hotel RedDoorz Malabar 39 Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
20,020_LODGE-01574_karang-setra-hotel-cottages.json,LODGE-01574,Karang Setra Hotel & Cottages,hotel,-6.8833,107.5956,4.3,2619.0,0.7,Karang Setra Hotel & Cottages Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
21,021_LODGE-01586_the-bougenvile-hotel.json,LODGE-01586,The Bougenvile Hotel,hotel,-6.9295,107.6268,4.2,512.0,0.7,The Bougenvile Hotel Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
22,022_LODGE-01579_reddoorz-talaga-bodas.json,LODGE-01579,RedDoorz @ Talaga Bodas,hotel,-6.9282,107.6202,4.2,221.0,0.7,RedDoorz @ Talaga Bodas Kota Bandung Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
31,031_LODGE-00255_hotel-candra.json,LODGE-00255,Hotel Candra,hotel,-6.8775542,107.5482844,3.9,425.0,0.68,Hotel Candra Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
33,033_LODGE-00263_hotel-tjimahi.json,LODGE-00263,Hotel Tjimahi,hotel,-6.877839,107.5485273,3.9,761.0,0.66,Hotel Tjimahi Cimahi Jawa Barat Indonesia,False,3,Targeted one-by-one Google Hotels query; validate name and coordinate before apply.
