batch_name,batch_number,target_rows,max_reviews_per_target,estimated_max_review_rows,json_file,index_file
compass_penginapan_reviews_all_1140_batch_001,1,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_001.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_001_index.csv
compass_penginapan_reviews_all_1140_batch_002,2,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_002.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_002_index.csv
compass_penginapan_reviews_all_1140_batch_003,3,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_003.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_003_index.csv
compass_penginapan_reviews_all_1140_batch_004,4,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_004.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_004_index.csv
compass_penginapan_reviews_all_1140_batch_005,5,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_005.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_005_index.csv
compass_penginapan_reviews_all_1140_batch_006,6,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_006.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_006_index.csv
compass_penginapan_reviews_all_1140_batch_007,7,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_007.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_007_index.csv
compass_penginapan_reviews_all_1140_batch_008,8,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_008.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_008_index.csv
compass_penginapan_reviews_all_1140_batch_009,9,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_009.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_009_index.csv
compass_penginapan_reviews_all_1140_batch_010,10,100,30,3000,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_010.json,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\05_Apify_Review_Batches\Hotel_Review_Batches_Final_Ready\Compass_Full_Ready_Batches_2026-06-06\all_1140\compass_penginapan_reviews_all_1140_batch_010_index.csv
