review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-0197,LODGE-00235,Lazuardy Syariah Park and Villa,villa,high_review_confidence,high_review_confidence,"Lazuardy Syariah Park and Villa -6.8161,107.5517",https://www.google.com/maps/search/?api=1&query=Lazuardy%20Syariah%20Park%20and%20Villa%20-6.8161%2C107.5517
PHREV-20260605-0669,LODGE-00112,Lazuardy Syariah Park and Villa,villa,low_review_confidence,low_review_confidence,"Lazuardy Syariah Park and Villa -6.8162,107.5525",https://www.google.com/maps/search/?api=1&query=Lazuardy%20Syariah%20Park%20and%20Villa%20-6.8162%2C107.5525
PHREV-20260605-1158,LODGE-00237,Lioravilla21 Kota Baru Parahyangan - Villa with Private Pool,villa,,,"Lioravilla21 Kota Baru Parahyangan - Villa with Private Pool -6.8743,107.4722",https://www.google.com/maps/search/?api=1&query=Lioravilla21%20Kota%20Baru%20Parahyangan%20-%20Villa%20with%20Private%20Pool%20-6.8743%2C107.4722
PHREV-20260605-1159,LODGE-00364,Lioravilla21 Kota Baru Parahyangan - Villa with Private Pool,villa,,,"Lioravilla21 Kota Baru Parahyangan - Villa with Private Pool -6.8743,107.4721",https://www.google.com/maps/search/?api=1&query=Lioravilla21%20Kota%20Baru%20Parahyangan%20-%20Villa%20with%20Private%20Pool%20-6.8743%2C107.4721
PHREV-20260605-0865,LODGE-01599,Little Duck Villa,villa,medium_review_confidence,medium_review_confidence,"Little Duck Villa -6.8216,107.5889",https://www.google.com/maps/search/?api=1&query=Little%20Duck%20Villa%20-6.8216%2C107.5889
PHREV-20260605-0019,LODGE-01375,Mahitala Villa,villa,high_review_confidence,high_review_confidence,"Mahitala Villa -6.8629,107.5961",https://www.google.com/maps/search/?api=1&query=Mahitala%20Villa%20-6.8629%2C107.5961
PHREV-20260605-0640,LODGE-01378,Mentari Hill View Villa 8 Bedrooms With a Private Heated Swimming Pool and a Movie Room and a Billiard Table - Villa with Private Pool,villa,,,"Mentari Hill View Villa 8 Bedrooms With a Private Heated Swimming Pool and a Movie Room and a Billiard Table - Villa with Private Pool -6.8662,107.6356",https://www.google.com/maps/search/?api=1&query=Mentari%20Hill%20View%20Villa%208%20Bedrooms%20With%20a%20Private%20Heated%20Swimming%20Pool%20and%20a%20Movie%20Room%20and%20a%20Billiard%20Table%20-%20Villa%20with%20Private%20Pool%20-6.8662%2C107.6356
PHREV-20260605-0641,LODGE-01154,Morning Glory Mountain View Villa 4 Bedrooms With a Private Heated Swimming Pool,villa,low_review_confidence,low_review_confidence,"Morning Glory Mountain View Villa 4 Bedrooms With a Private Heated Swimming Pool -6.8622,107.651",https://www.google.com/maps/search/?api=1&query=Morning%20Glory%20Mountain%20View%20Villa%204%20Bedrooms%20With%20a%20Private%20Heated%20Swimming%20Pool%20-6.8622%2C107.651
PHREV-20260605-0758,LODGE-00420,Namdur Villa Sariwangi,villa,medium_review_confidence,medium_review_confidence,"Namdur Villa Sariwangi -6.8689497,107.5642848",https://www.google.com/maps/search/?api=1&query=Namdur%20Villa%20Sariwangi%20-6.8689497%2C107.5642848
PHREV-20260605-0564,LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,villa,low_review_confidence,low_review_confidence,"Naomi Home Villa Bandung near Wahoo & Whoosh -6.8695,107.4571",https://www.google.com/maps/search/?api=1&query=Naomi%20Home%20Villa%20Bandung%20near%20Wahoo%20%26%20Whoosh%20-6.8695%2C107.4571
PHREV-20260605-1189,LODGE-00311,Naomi Jati Villa Bandung,villa,missing_rating_or_review,missing_review_confidence,"Naomi Jati Villa Bandung -6.8648,107.4566",https://www.google.com/maps/search/?api=1&query=Naomi%20Jati%20Villa%20Bandung%20-6.8648%2C107.4566
PHREV-20260605-0377,LODGE-00168,Naomi Nala Villa Bandung,villa,low_review_confidence,low_review_confidence,"Naomi Nala Villa Bandung -6.8639,107.4572",https://www.google.com/maps/search/?api=1&query=Naomi%20Nala%20Villa%20Bandung%20-6.8639%2C107.4572
