location_name,review_text,rating,review_date
Taman Kartini,Bagus untuk sarana pembelajaran,5,2026-04-27
Taman Kartini,Tempat santai,3,2026-04-09
Taman Kartini,Taman dgn udara sejuk,4,2026-04-07
Taman Kartini,Tempatnya luas utk bermain anak-anak,5,2026-03-23
Taman Kartini,"Tamannya asri dan sejuk dgn beragam mainan anak2 yg murah. Namun sayang kurang terawat, tempanta kotor dan banyak rumput liat serta tanaman besar yg tdk dirawat, membuat kesan gelap dan seram. Kalau dirawat pasti bagus sekali. Mainannya juga banyak yg rusak dan agak bahaya karna dibuat dari besi yg tajam.",4,2026-03-22
Taman Kartini,"Sekarang dipake dangdutan, maaf ya itu kan lingkungan anak sekolah, yg nyanyi ibu ibu pakaian seksi gual geol sambil merokok apakah bukan sa jadi contoh yg baik buat anak anak.. saya heran kok diizinkan kaya gitu ..",1,2026-03-20
Taman Kartini,Jagalah selalu kebersihan dan ketertiban,5,2026-02-26
Taman Kartini,"Kalau malam banyak tukang jajanan di depan taman, harga merakyat n rasa enak enak",5,2026-02-12
Taman Kartini,Sekarang sudah banyak pedagang kuliner,3,2026-02-08
Taman Kartini,"Perlu dilakukan perawatan dan penanganan Sampah juga penataan pedagang disekitar Taman Kartini.sehingga Taman Kartini akan terlihat asri, juga  bermanfaat sebagai tempat rekreasi Gratis bagi Masyarakat yang tinggal di Cimahi maupun luar Cimahi yang datang berkunjung ke Cimahi,",3,2026-02-06
Taman Kartini,Tempat bermain anak sekaligus tempat kuliner malam hari,5,2025-12-20
Taman Kartini,Awalnya bagus. Lama kelamaan jadi kotor. Kurang nyaman,3,2025-12-16
Taman Kartini,"Padahal enak ngadem disini, ada tempat main anak” juga tapi sayang sekali berisik sama yg karoke jadi kurang nyaman",1,2025-12-06
Taman Kartini,Berisik banget ada yg buka lapak karaoke. Mana yg nyanyi nenek nenek semua,1,2025-12-06
Taman Kartini,Kiw kiw,5,2025-10-16
Taman Kartini,"Sudah terlalu Banyak pedagang ,sudah tidak sesuai peruntukannya, seharusnya diganti dari taman Kartini jadi taman UMKM, pedagangnya berani ngusir pengunjung ,sudah sangat tidak disarankan untuk hanya sekedar berjalan² ditempat ini, banyak oknum yang memanfaatkan tempat ini untuk mencari keuntungan pribadi",1,2025-09-22
Taman Kartini,Tempat nungguin jemputan zaman sd disini,4,2025-09-19
Taman Kartini,"Tempatnya kumuh, kotor dan banyak sampah.. area bermain rusak dan ternyata bayar guysss",3,2025-09-03
Taman Kartini,Ok,3,2025-08-21
Taman Kartini,"taman nya kotor, area bermain  rusak, pdhl klo d perbaiki snagat bermanfaat bagi warga sekitat",2,2025-07-10
Taman Kartini,Beautifull..,5,2025-06-28
Taman Kartini,Tempat sejuk,5,2025-06-25
Taman Kartini,Taman yg cocok utk menikmati sore hari yg teduh,4,2025-06-21
Taman Kartini,Kumuh,3,2025-05-25
Taman Kartini,"Bagus pokonya,,buat ajak jalan jalan anak,,,gratis",5,2025-05-21
Taman Kartini,Taman bermain budget afordable bgt untuk ngajak anak di akhir bulan,5,2025-05-20
Taman Kartini,Taman bwrmain anak ada juga wahana ada,5,2025-05-18
Taman Kartini,"Tempat sejuk, jajanan murah, permainan juga termasuk murah, ada wifi gratis juga

Kalo bisa tempat Di tata lebih baik lagi agar lebih bagus",4,2025-05-17
Taman Kartini,"Beberapa wahana bermain anak tidak terawat dengan baik, kebersihan lingkungan terhadap sampah perlu ditingkatkan",2,2025-05-15
Taman Kartini,Ramai kuliner dan permainan anak2,4,2025-05-15
Taman Kartini,Bagus,4,2025-04-30
Taman Kartini,Lumayan buang penat.. tempat sejuk ditengah kota..,5,2025-04-20
Taman Kartini,Sederhana lumayan untuk tempat istirahat,4,2025-04-17
Taman Kartini,"Masih kayak dulu, dengan sedikit penataan namun hasilnya masih kurang mewakili unt disebut taman kota. Tak lebih hanya seperti tempat parkir saja.",3,2025-04-16
Taman Kartini,"Perlu banyak perbaikan terutama area skateboard karena tidak terawat. Namun, cukup oke buat sekadar melepas penat, ada mainan anak-anak, persewaan mainan, karaoke jalanan, dan jajanan.",3,2025-04-15
Taman Kartini,Taman yg bagus,5,2025-03-25
Taman Kartini,Bisa buat nyantai bareng keluarga dan ada banyak makanan.,5,2025-03-08
Taman Kartini,nyaman,5,2025-02-16
Taman Kartini,"Sering liwat dan belum sempat eksplore, hanya liwat aja",5,2025-02-15
Taman Kartini,"Semakin waktu taman Kartini berproses menjadi lebih baik, lebih nyaman,",5,2025-01-27
Taman Kartini,Beli kebab falah enak,5,2025-01-21
Taman Kartini,"Tempatnya
banyak sampah ,coba ada petugas kebersihannya",3,2025-01-19
Taman Kartini,adem bangett enak dipake nongki cantik,5,2025-01-16
Taman Kartini,Salah satu spot kuliner dan nongkrong yang lumayan nyaman di Kota Cimahi,5,2025-01-15
Taman Kartini,"Lumayan nyamann sekarng.. Udah ada rumput sintetis.. Dan jajanan enak"" Dan worth it",5,2025-01-14
Taman Alun-Alun Kota Cimahi,Indah enak untuk ambil foto,5,2026-04-21
Taman Alun-Alun Kota Cimahi,Mantap☕.,5,2026-04-21
Taman Alun-Alun Kota Cimahi,rumah deket alun tapi jarang k sini paling klo ad sesuatu penting klo ga ya cuman idul fitri buat solat id,5,2026-04-20
Taman Alun-Alun Kota Cimahi,"Saya pernah berada disini untuk istirahat sejenak saat saya menikmati suasana Kota Cimahi, Jawa Barat. Suasananya cukup ramai, dan tempatnya cukup bersih saat saya berada disana. Lokasi strategis, berada di jantung Kota Cimahi. Cukup banyak warga yang berkunjung disini, untuk menikmati suasana. Mantap 😁👍",5,2026-04-19
Taman Alun-Alun Kota Cimahi,Jual makanan beku dan prozen food,5,2026-04-16
Taman Alun-Alun Kota Cimahi,butuh pemantauan kebersihan dan pemeliharaan,3,2026-04-10
Taman Alun-Alun Kota Cimahi,Tempat nongkrong anak2,5,2026-04-09
Taman Kartini,mantul,5,2025-01-04
Taman Kartini,Cocok buat pacaran,5,2024-12-24
Taman Kartini,mantaplp,5,2024-12-16
Taman Kartini,"Adem, banyak yg jualan dan tempat anak bermain",4,2024-12-04
Taman Kartini,Taman Kartini adalah sebuah good I love you😘 so I can I have been trying to make sure your friends and the first🥇 day😊 and the first day😊 and the other side,5,2024-11-28
Taman Kartini,Tempat bermain,5,2024-11-23
Taman Kartini,"huhuu sedih banget smlm kesini baru kali ini ilang helm biasanya g pernh bilang tiap main kesini tp smlm lg apes kali ya jd hlm ku ilangg, buat tmn tmn yg mau kesini hlm hrap di bawa tkt ada yg ngmbil ky ak🥲🥲",3,2024-11-17
Taman Kartini,"Tempat ok buat santai banyak kuliner, sayangnya malam semuanya tutup",5,2024-11-16
Taman Kartini,"Sekarang kalo mau pilih2 jajanan malem sekitar Cimahi ksini aja . Dari mulai es coklat yg enak , dimsum mentai yg enak dan murah , pecel lele enak , persambal Bakaran yg pedesnya jos gandosss , jagung bakar serut pedas manis yg aku sukaaa , wedang ronde yg enak murah dan fillingnya pullll banget .. ahh suka pokoknya .  Mainan2 anak kecil juga banyak , siapin tissue basah aja supaya tangannya ga kotor . Siapin recehan juga Krn  pengamennya pas kita lagi makan jumlah nya nyaingin tent yg jualan hehe",5,2024-11-09
Taman Kartini,Cukup bikin anak seneng👍,4,2024-11-08
Taman Kartini,banyak tmpt jajan yg enak,5,2024-11-05
Taman Kartini,Masih byk yg harus diperbaiki,4,2024-11-02
Taman Alun-Alun Kota Cimahi,bagus banget sekarang alun alun cimohai wkkwkw,5,2026-03-31
Taman Alun-Alun Kota Cimahi,Tempat ini selalu saya jadikan patokan untuk cod hp. Aman dan nyaman.,5,2026-03-30
Taman Alun-Alun Kota Cimahi,Nganter anak beli jaket cenah.....  😎,5,2026-03-26
Taman Alun-Alun Kota Cimahi,"Nyamn Cocok buat anak ,,smoga bisa kebali kesini,,,",5,2026-03-26
Taman Alun-Alun Kota Cimahi,"Sering ke sini dari tahun 2005an sampe skrg. Jujur lebih suka alun2 sebelum dirombak seperti sekarang. Memang lebih modern dan dilengkapi playground juga utk anak2. Tapi sayang sekali beberapa pohon besar ditebang, apalagi yg area sekitar toko perlengkapan pramuka itu padahal banyak pohon2 dan sejuk buat nongkrong dan menenangkan pikiran. Kadang masih ada pengamen dan peminta2 yang agak mengganggu. Pengunjung rata2 masih blm sadar kebersihan sehingga kadang terkesan kurang bersih. Suka ada yg tidur2 di kursi juga jadi kagok mau duduk2 di sekitar sini.",4,2026-03-26
Taman Alun-Alun Kota Cimahi,Tempat nya bagus bisa di pakai buat istirahat,4,2026-03-23
Taman Alun-Alun Kota Cimahi,luas,5,2026-03-23
Taman Alun-Alun Kota Cimahi,"Rame banget sekarang
Banyak makanan",4,2026-03-20
Taman Kartini,"Suasana tempat sangat sejuk dan nyaman untuk keluarga untuk nongkrong sama teman,  ngopi bareng melamun 😁",5,2024-10-20
Taman Kartini,"Tempat luas, bersih, pelayanan ramah",5,2024-10-16
Taman Kartini,"Bagus, untuk wahana bermain anak2",5,2024-10-13
Taman Kartini,"Pelayanannya ramah, tempatnya nyaman, prosesnya mudah dan cepat",5,2024-10-08
Taman Kartini,Taman nya udah mulai oke sih sekarang,5,2024-10-07
Taman Kartini,Cocok bawa anak,5,2024-10-06
Taman Kartini,enak yaa batagor bandung tuh,4,2024-10-03
Taman Kartini,Tempat nya nyaman,5,2024-10-01
Taman Kartini,"Malem2 nyobain makanan di pinggir jalan taman kartini , aku nyobain stik ayam bbq harganya 20 rb luamyan ya tapi saos bbq nya asem kaya bolognise rasanya dan suami ku pesan paket ayam bakar hargnya 25rb rasanya B saja (balik lagi ke selera masing2 ya ) tapi masih ok lah . Terima kasih",4,2024-09-29
Taman Kartini,"Mushola dan kamar mandinya juga ada, mantap",5,2024-09-27
Taman Kartini,"Taman sudah jauh lebih bersih, nyaman dan tempat nongrong murmer",5,2024-09-24
Alam Wisata Cimahi,Tempatnya adem banget,5,2026-04-21
Alam Wisata Cimahi,Good,5,2026-04-16
Alam Wisata Cimahi,Lumayan juga untuk nikahan alamnya luas.... Hits ok. 👍,5,2026-04-12
Alam Wisata Cimahi,"Adem, fasilitas lengkap, harga bersahabat",5,2026-04-09
Alam Wisata Cimahi,Indaj dan seru,5,2026-04-08
Alam Wisata Cimahi,"Wisatanya sedikit ya lebih ke kafe dan tidak begitu luas.
Tolong fasilitas anak"" di perbaiki dan di bikin bagus lgh.
Kolam renang pemandangan oke banget
Rusa nya cuma 2, februari 2026",4,2026-04-08
Alam Wisata Cimahi,Bagus,5,2026-04-06
Alam Wisata Cimahi,Good place,5,2026-03-26
Taman Kartini,"Dateng kesini jam 8:30 malam. Kondisi masih ramai. Ada area bermain anak, lapangan skateboard, wc umum dll. Banyak juga yg jualan.",5,2024-09-17
Taman Kartini,Sekarang udah ga kumuh lagi banyak permainan dan kuliner,5,2024-09-16
Taman Kartini,Banyak tenda makan dengan nyaman tapi tetap hemat,5,2024-09-14
Taman Kartini,Rapih dan ramai,5,2024-08-28
Taman Kartini,tempatnya sejuk,5,2024-08-27
Taman Kartini,"Sy dulu waktu sekolah d STM PEMBANGUNAN leuwigajah sering nongkrong d taman kartini..sekitar tahun 89 dan cukup bagus..apalagi sekrang tambah bagus nyaman cocok untuk semua kalangan dan tdk lp kuliner nya ok banget..pesen jaga kebersihan dan kerapihan nya, buang sampah pd tempat nya.",5,2024-08-20
Taman Alun-Alun Kota Cimahi,bangkrut loh,1,2026-03-18
Taman Alun-Alun Kota Cimahi,Lumayan tempatnya sayang banyak.pengamen ngak jelas lagu nya hanya modus saja,5,2026-03-16
Taman Alun-Alun Kota Cimahi,"korupsi harga parkir yang harusnya 2k dicoret jadi 4k, ada gila gilanya",1,2026-03-16
Taman Alun-Alun Kota Cimahi,"Makin sini lumayan terawat, kalau bisa disediakan parkiran khusus yang mudah diakses dari jalan raya, karena masih banyak parkir liar",5,2026-03-15
Taman Alun-Alun Kota Cimahi,"Udh ada basement tapi parkir masih di nggir jalan raya, hal spele gak bisa dibenerin? Sangat mengganggu estetika perkotaan apa lg yg pinggir jln raya🤣  selebihnya good sih.",4,2026-03-12
