location_name,review_text,rating,review_date
Curug Gorobog,Tempat nya enakk Tapi masa baru masuk 30 mnt uda disuruh pulang mau tutup alesan nya cuaca.. kenapa ga dari sebelum masuk aja bilanya.. kan jadinya rugi bayar.. foto blm punya gada dokumentasi bangett,1.0,2026-04-28
Curug Gorobog,"Bagus, seru bersih",3.0,2026-04-28
Curug Gorobog,"Pemandangan yang bagus, asri, udara segar. Cocok untuk liburan keluarga dekat dengan tempat wisata yang lain nya",5.0,2026-04-21
Curug Gorobog,seruu tempat nya baguss banegtt,5.0,2026-04-19
Curug Gorobog,bagus,5.0,2026-04-12
Curug Gorobog,Mantap air terjunnya,5.0,2026-04-04
Curug Gorobog,Jangan lupa datang ke play ground sama keluarga ya..ajak anak2 main di sini pokoknya mantap,5.0,2026-04-03
Curug Gorobog,"Tempat nya enak adem, curug nya deket banget ta cape jalan, cuma banyak bangettt orangg nyaa, bisa manjat manjat jugaa, aga sedikit bete karna pakaian ga sesuai tempat karna di ajak dadakan, tapi sangat happy🫶",4.0,2026-03-30
Curug Gorobog,"Pemandangan yg bagus, air yg bersih dan sejuk",5.0,2026-03-27
Curug Gorobog,"Kesini Januari 2026, akses jalannya sekarang udah bagus. Dari parkiran harus jalan kaki dulu dikit buat masuk ke curugnya.

Ada 3 tingkatan curug, dan yg bisa diakses hanya 2 tingkat aja. yang ke 2 atas view-nya lebih bagus sih. Udah disediain tangga ke atas, but you need to be careful karena agak licin, tp ada pegangan tangganya kok. The view from the top is really nice.

Tiketnya affordable, lupa exact price nya. Ada warung juga, jadi aman kalau nggak bawa makanan dari luar.

Sepanjang jalan viewnya sawah, bagus bangettt. Tempatnya juga masih satu kawasan wisata, jadi sebelum sampai ke curug ini ada banyak spot wisata alam lainnya",5.0,2026-03-23
Curug Gorobog,"Wisata air terjun dengan suasana yang enak,  apalagi sore hari adem.",4.0,2026-03-22
Curug Gorobog,"Tempatnya enak, tiket 10rb, yg bawa anak2 harus di perhatikan krn air terjun na lumayan tinggi, cm jam tutup nya sd jam 3an, dan parkir mobil agak jauh dari perhatian petugas tiket",5.0,2026-03-04
Curug Gorobog,"Cukup tenang dan enak untuk bersantai menikmati suasana alam..
Well lah..",5.0,2026-02-19
Curug Gorobog,terimakasih untuk kenangannya,5.0,2026-02-06
Curug Gorobog,Sejuk tapi kayak ada serem serem nyaa,3.0,2026-02-01
Curug Gorobog,Awesome !,5.0,2026-01-21
Curug Gorobog,Mantap buat botram,5.0,2026-01-20
Curug Gorobog,"Walaupun jaraknya lumayan jauh tapi bener² worth it karena Curugnya baguss🤩 tiketnya murah, tempatnya juga bersih, waktu itu kita kesana pagi² jadi masih sepi padahal waktu itu pas lagi akhir tahun🙂‍↕️. Pokoknya recommended deh buat jadi option kalo mau liburan ke alam tapi gak mau yang terlalu jauh dari pusat kota Sumedang😆😆",5.0,2026-01-17
Curug Gorobog,"Hidden Gems, di sumedang 😀",5.0,2026-01-13
Curug Gorobog,cukup bersih suasana sangat alami air jernih udara sejuk.,5.0,2026-01-06
Curug Gorobog,Rekomen untuk tempat wisata air terjun murah meriah ditengah suasana pegunungan yang masih asri.,5.0,2026-01-02
Curug Gorobog,"Bintang 4,9",5.0,2025-12-17
Curug Gorobog,"Curug gorobog,, curug terbersih yg pernah saya datangi,, krn ke toilet pun harus buka sepatu☺, dan klo datang kesini harus sesudah jam 8,,karena saya kesini jam 7 kepagian belum dibuka😟.",5.0,2025-12-02
Curug Gorobog,Asik bisa bikin ibu ibu happy,5.0,2025-11-18
Curug Gorobog,"Perjalanan cukup nyaman sampai lokasi. Tiket masuk per orang Rp. 10.000,- dan parkir motor Rp. 5.000,-. Fasilitas juga cukup lengkap, ada gazebo, musola, dan toilet.
Mungkin yang perlu diperbaiki beberapa jalur jalan yang sulit dilewati.",5.0,2025-11-18
Curug Gorobog,"Tempatnya bagus, tapi g ada parkir mobil, jalannya jelek dn sempit, jadi d rekomendasikan utk liburan keluarga, klo kesini harus pake motor sj",1.0,2025-10-20
Curug Gorobog,"Enak buat niis sepi pengunjung, bersih parkir motor bisa smpe ke deket Curug, masuk 10 parkir 5k, cuma gak ada tiket atau tanda masuk minim pengelola dan  gak ada warung nya, mau makan minum harus bawa dari rumah/ siapin di jalan.",5.0,2025-10-04
Curug Gorobog,Tempat healing. Nyaman bgt masih asri,5.0,2025-09-17
Curug Gorobog,"Curug Gorobog terletak di kawasan Kecamatan Cimalaka, Sumedang, sekitar 20–30 menit perjalanan dari pusat kota. Air terjun ini memiliki ketinggian sekitar 40 meter dengan aliran air yang cukup deras, dikelilingi tebing hijau dan pepohonan rindang.
Suasananya sejuk dan alami, cocok buat yang ingin healing atau sekadar melepas penat. Akses menuju lokasi cukup menantang karena harus melewati jalan setapak",4.0,2025-09-07
Curug Gorobog,Natural dan alami banget,5.0,2025-09-07
Curug Gorobog,"Salah satu wisata air terjun di Sumedang, air terjun yang memiliki 2 tingkat walau air terjunnya tidak terlalu tinggi mungkin sekitar 20 meteran. Tapi pemandangan di sekitar area air terjun sangat indah.

Fasilitasnya lengkap, ada beberapa gazebo untuk istirahat dan menikmati area air terjun, tempatnya nyaman dan rapi. Ada warung juga bila ingin sambil makan cemilan.

Untuk tiket masuk 10K/orang, parkir motor 2K. Terhitung cukup murah. Di hari weekend cukup ramai pengunjung ketika sudah siang.",5.0,2025-09-07
Curug Gorobog,Sejuk dan nyaman,5.0,2025-09-02
Curug Gorobog,"curugnya sejuk, cocok buat healing dari penat",5.0,2025-09-02
Curug Gorobog,"Tempatnya sayang blm bs di kelola dgn baik,tangganya kurang baik dan kurang aman,buat org tua gak di sarankan,gorenganya agak asam,wc poek gak ada lampunya,di saung2nya kurang fasilitas kaya colokan listrik
Smg depanya pengelolaanya lbh baik lagi,dan yg paling utama adalah fasilitas keselamatan tangga dan pegangnya
Agar usia anak2,remaja dan ortu bs menikmati air terjun lbh dkt
Tks salam bahagia🙏",2.0,2025-08-25
Curug Gorobog,"Curug yg indah dengan Fasilitas saung,toilet dan mushola.
Tiket masuk 10rb
Parkir 10rb",5.0,2025-08-10
Curug Gorobog,Budget 15rb sudah cukup. Tiket masuk 10rb/orang parkir motor 5rb/motor,5.0,2025-07-13
Curug Gorobog,"Gerrrrr... seger bianget!! Ini curug indah banget di Sumedang. Asri dan bersih, sangat dijaga oleh petugas. Cocok buat refreshing buat kita2..",5.0,2025-07-06
Curug Gorobog,"Tiket masuk Rp. 7.500/orang,parkir motor 2rb , penggunaan toilet umum (bayar sukarela) . Jalanan menuju kesini sudah aspal. Air terjunnya masih bersih, alami, dingin, bikin relax. Air terjunnya ada 3 tingkat, melewati tangga dari tingkat satu ke tingkat lainnya cukup melelahkan",5.0,2025-06-30
Curug Gorobog,"Htm : 10k/org
Parkir motor: 5k/motor

Curug bertingkat. Airnya jernih adem, area duduk2nya banyak, bersih dan nyaman.

Tempat healing sumedang",5.0,2025-06-13
Curug Gorobog,indah nyaman buat meniiskan otak terus enak bnget pkonmh,5.0,2025-06-10
Curug Gorobog,"Bagus,bersih,tangga untuk ke Curug atas nya lebih diperkuat lagi,takut ada yg licin jatuh",5.0,2025-06-02
Curug Gorobog,Mantaaap sumedang ok,5.0,2025-05-31
Curug Gorobog,"Tempatnya bersih dan bagus, wajib datang kesini bila sedang ke Sumedang.
Dari lokasi ticket ke curug dapat ditempuh -/+ 15 menit berjalan kaki, jalannya sudah bagus dan sangat terawat dengan baik, apalagi curugnya bagus banget.
Sayangnya untuk parkir mobilnya tidak ada yang jaga dan hanya cukup -/+ 5 mobil saja.",5.0,2025-05-30
Curug Gorobog,"Curugnya bagus tinggi, dan deras airnya. Hawa juga dingin. Cuma kalo untuk parkiran mobil, cuma sedikit. Dari parkiran jalan ke tempat beli tiket paling 300meteran. Terus jalan sampai curug juga sekitar 300meteran lagi. Kemarin pas ke sana hujan, jadi agak licin juga, walau sebagian besar sudah disemen dan dipasang ubin batu. HTM 10rb/orang. Untk parkir mobil juga 10rb/mobil.",5.0,2025-05-19
Curug Gorobog,adem bersih murah,5.0,2025-05-14
Curug Gorobog,"Tempat cocok ajak keluarga, adem dan lumayan ga begitu dingin airnya tapi enak buat santai-santai.

Aksesnya 1 km menuju parkir curugnya jalannya mulai jelek sama cukup 1 mobil.

Kalau mobil parkirnya lumayan jauh ke tempat ticket masuknya, kalau motor lebih enak bisa di deket tempat ticket. Ticket bayar 10rb + parkir motor 5rb.

Dari tempat ticket ke curug cuma 250 meter-an
Ada warung juga jadi bisa jajan + makan mie di sana",5.0,2025-05-06
Curug Gorobog,Hidden gem di sumedang! Gak sangka sebersih dan seindah ini 😍,5.0,2025-05-05
Curug Gorobog,"Salah satu tempat wisata air di sumedang, yang paling bagus berkunjung kesini saat musim hujan air curugnya besar, airnya bening melimpah.",4.0,2025-05-03
Curug Gorobog,Curug nya terawat. Bersih sekali.. Ada toilet. Warung.gazebo.Airnya bening.naik ke curug tingkat 2..bagus buat foto2. Rekomen.,5.0,2025-04-24
Curug Gorobog,"Udara sejuk..pemandangan alam yg sangat indah..destinasi 4 air terjun secara berundak...tersedia tempat makan keluarga ..
Pokonya mantap banget dch...
👍👍👌👌👌",5.0,2025-04-01
Curug Gorobog,"Wisata dengan akses yang nyaman, tempat parkir yg aman, petugas yang selalu standby untuk pengunjung serta tiket masuk yg terjangkau dan yg paling utama curugnya keren dengan beberapa undakan yg membuat curugnya terlihat semakin indah👍👍",5.0,2025-03-27
Curug Gorobog,Bagus dan bersih,5.0,2025-02-26
Curug Gorobog,"Curug nya seger, treknya mudah, tempatnya nyaman bersih, so fun pokoknya.",5.0,2025-02-06
Curug Gorobog,Saya kesini beberapa minggu lalu kebetulan masih musim penghujan airnya jernih dan curugnya masyaAllah,5.0,2025-02-05
Curug Gorobog,👍,5.0,2025-02-01
Curug Gorobog,"Curug Gorobog adalah sebuah air terjun yang terletak di Kabupaten Sumedang, Jawa Barat, Indonesia. Air terjun ini terkenal dengan keindahan alamnya yang asri dan suasana yang tenang, menjadikannya sebagai tempat yang populer bagi para pecinta alam dan wisatawan. Curug Gorobog dikelilingi oleh pepohonan hijau yang rimbun, memberikan kesan alami yang menenangkan. Untuk mencapai lokasi ini, pengunjung biasanya perlu melakukan pendakian melalui jalur yang cukup menantang, namun pemandangan yang bisa dinikmati sepanjang perjalanan sangat memuaskan. Jika Anda berkunjung, tempat ini sangat cocok untuk bersantai dan menikmati keindahan alam Indonesia.",4.0,2025-01-12
Curug Gorobog,"Bisa di akses dengan mobil.
Mobil parkir diluar jadi harus jalan ke dalam tapi gak jauh . Tiket masuk 10.000
Area nya bersih, air terjun nya bagus ada 3 tingkat, ada warung jual popmie, minuman,dll.",5.0,2024-12-26
