location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,coordinate_status,coordinate_source
LOC-002,Alam Wisata Cimahi,,,,,,Rekreasi Keluarga,Kawasan rekreasi keluarga,Not Found,Nominatim OSM
LOC-005,Amazing Artgames,,,,,,Rekreasi Keluarga,Wahana foto interaktif,Not Found,Nominatim OSM
LOC-011,Bukit Jamur Rancabolang Pasirjambu,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-013,Bukit Senyum,,,,,,Wisata Alam,Daya tarik alam,Out of Bounds (Suspicious),Nominatim OSM
LOC-014,Bumi Perkemahan Ranca Upas Bandung,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-019,Cimahi Techno Park,,,,,,Tempat Belajar,Pusat edukasi teknologi,Not Found,Nominatim OSM
LOC-020,Ciwidey Valley Resort,,,,,,Penginapan Wisata,Resort wisata,Not Found,Nominatim OSM
LOC-021,Curug Cipanas,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-022,Curug Gorobog,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-026,Curug Tilu Leuwi Opat,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-028,Danau Biru Situ Cilembang,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-030,Farm House Susu Lembang,,,,,,Rekreasi Keluarga,Taman rekreasi tematik,Not Found,Nominatim OSM
LOC-035,"Gereja Katedral Bandung, Santo Petrus",,,,,,Tempat Ibadah,Gereja,Not Found,Nominatim OSM
LOC-036,Glamping Lakeside Rancabali,,,,,,Tempat Camping,Glamping,Not Found,Nominatim OSM
LOC-038,Gn. Tangkuban Parahu,,,,,,Rekreasi Keluarga,Kawasan rekreasi,Not Found,Nominatim OSM
LOC-039,Guha Pawon,,,,,,Wisata Alam,Gua,Not Found,Nominatim OSM
LOC-043,Happyfarm Ciwidey,,,,,,Wisata Satwa,Wisata farm,Not Found,Nominatim OSM
LOC-044,Jans Park (Jatinangor National Park),,,,,,Rekreasi Keluarga,Taman rekreasi tematik,Not Found,Nominatim OSM
LOC-045,Jendela Alam,,,,,,Tempat Belajar,Edukasi alam,Not Found,Nominatim OSM
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,,,,,,Desa Wisata,Kampung wisata,Not Found,Nominatim OSM
LOC-047,Kampung Cireundeu,,,,,,Desa Wisata,Kampung adat,Out of Bounds (Suspicious),Nominatim OSM
LOC-048,Kampung Karuhun Eco Green Park Sumedang,,,,,,Rekreasi Keluarga,Eco park,Not Found,Nominatim OSM
LOC-049,Kampung Toga Villa & Resto,,,,,,Tempat Kuliner,Restoran wisata,Not Found,Nominatim OSM
LOC-051,Kebun Begonia Lembang,,,,,,Wisata Alam,Taman bunga,Not Found,Nominatim OSM
LOC-054,Lembang Wonderland,,,,,,Rekreasi Keluarga,Taman rekreasi tematik,Not Found,Nominatim OSM
LOC-055,Maribaya Natural Hotspring Resort,,,,,,Wisata Alam,Air panas alami,Not Found,Nominatim OSM
LOC-058,Masjid Jami' Al Baakhirah,,,,,,Tempat Ibadah,Tempat ibadah,Not Found,Nominatim OSM
LOC-064,Nimo Highland,,,,,,Rekreasi Keluarga,Wisata panorama buatan,Not Found,Nominatim OSM
LOC-066,Pandiga Educreation Sports,,,,,,Rekreasi Keluarga,Olahraga rekreasi,Not Found,Nominatim OSM
LOC-067,Paris Van Java Resort Lifestyle Place,,,,,,Tempat Belanja,Mall,Not Found,Nominatim OSM
LOC-069,Pemandian Cipanas Cileungsing,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-070,Penangkaran Rusa Ranca Upas,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-071,Puncak Bukit Kujang Gunung Bohong,,,,,,Wisata Alam,Puncak bukit,Not Found,Nominatim OSM
LOC-072,Puncak Eurad,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-073,Ranca Upas Ciwidey,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,,,,,,Tempat Kuliner,Rumah makan,Not Found,Nominatim OSM
LOC-079,Situ Cileunca Pangalengan Bandung,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-081,Situ Ciseupan Cibeber,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-082,Situ Patenggang Ciwidey Bandung,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-083,Stone Garden Citatah,,,,,,Wisata Alam,Taman batu,Not Found,Nominatim OSM
LOC-085,Tahura Gunung Kunci,,,,,,Wisata Alam,Hutan raya,Not Found,Nominatim OSM
LOC-086,Taman Alun-Alun Kota Cimahi,,,,,,Taman Kota,Ruang publik kota,Not Found,Nominatim OSM
LOC-087,Taman Ecowisata Cimenteng,,,,,,Wisata Alam,Ekowisata,Not Found,Nominatim OSM
LOC-091,Taman Hutan Raya Ir. H. Djuanda,,,,,,Taman Kota,Ruang publik kota,Not Found,Nominatim OSM
LOC-094,Taman Lalu Lintas Ade Irma Suryani Nasution,,,,,,Tempat Belajar,Edukasi lalu lintas,Not Found,Nominatim OSM
LOC-095,Taman Langit Pangalengan (Sunrise Point & Camping Ground),,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-100,Tebing Karaton,,,,,,Wisata Alam,Tebing panorama,Not Found,Nominatim OSM
LOC-101,Teras Cikapundung Bbws,,,,,,Taman Kota,Ruang publik sungai,Not Found,Nominatim OSM
LOC-103,The Great Asia Africa,,,,,,Tempat Budaya,Taman budaya tematik,Not Found,Nominatim OSM
LOC-104,The Kings Shopping Centre,,,,,,Tempat Belanja,Pusat belanja,Not Found,Nominatim OSM
LOC-106,The Nice Park Bandung,,,,,,Rekreasi Keluarga,Taman rekreasi keluarga,Not Found,Nominatim OSM
LOC-107,Toga Hill,,,,,,Wisata Alam,Bukit panorama,Not Found,Nominatim OSM
