id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama,alamat,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,SAGA RENTAL TOUR N TRAVEL,"JL. SAPTA MARGA - CAMPAKA - KEC. ANDIR - KOTA BANDUNG - JAWA
  BARAT 40184",2024
2,32,JAWA BARAT,3273,KOTA BANDUNG,ULTIMA VACATION,"JL. JEND. SUDIRMAN NO.344 - CIROYOM - KEC. ANDIR - KOTA
  BANDUNG - JAWA BARAT 40241",2024
3,32,JAWA BARAT,3273,KOTA BANDUNG,ADVENTURE TOUR & TRAVEL,"JL. JEND. SUDIRMAN NO.346 - CIROYOM - KEC. ANDIR - KOTA
  BANDUNG - JAWA BARAT 40182",2024
4,32,JAWA BARAT,3273,KOTA BANDUNG,JAPANTRIPS.ID,"JL. JEND. SUDIRMAN NO.346 - CIROYOM - KEC. ANDIR - KOTA
  BANDUNG - JAWA BARAT 40182",2024
5,32,JAWA BARAT,3273,KOTA BANDUNG,INDY TOUR ORGANIZER,"JL. RAJAWALI TIMUR NO.235 - DUNGUS CARIANG - KEC. ANDIR - KOTA
  BANDUNG - JAWA BARAT 40161",2024
6,32,JAWA BARAT,3273,KOTA BANDUNG,KALLEBOS,"JL. ANDIR NO.34 - DUNGUS CARIANG - KEC. ANDIR - KOTA BANDUNG -
  JAWA BARAT 40182",2024
7,32,JAWA BARAT,3273,KOTA BANDUNG,DG TOUR AND TRAVEL,"JL. GARUDA NO.57 - GARUDA - KEC. ANDIR - KOTA BANDUNG - JAWA
  BARAT 40184",2024
8,32,JAWA BARAT,3273,KOTA BANDUNG,MABRUK TOUR,"JL. GARUDA NO.88 B - GARUDA - KEC. ANDIR - KOTA BANDUNG - JAWA
  BARAT 40184",2024
9,32,JAWA BARAT,3273,KOTA BANDUNG,DWIDAYATOUR BANDUNG,"RUKO PASKAL HYPER SQUARE BLOK F.7 - JL. PASIR KALIKI NO.25-27
  - KB. JERUK - KEC. ANDIR - KOTA BANDUNG - JAWA BARAT 40181",2024
10,32,JAWA BARAT,3273,KOTA BANDUNG,PT. JASA BELITUNG UTAMA,"JL. PRATISTA RAYA NO.38 - ANTAPANI KIDUL - KEC. ANTAPANI -
  KOTA BANDUNG - JAWA BARAT 40291",2024
11,32,JAWA BARAT,3273,KOTA BANDUNG,INSIDE TOURS & TRAVEL,"JL. KARANG ASEM NO.18 - ANTAPANI KIDUL - KEC. ANTAPANI - KOTA
  BANDUNG - JAWA BARAT 40291",2024
12,32,JAWA BARAT,3273,KOTA BANDUNG,INA HOLIDAY,"BELLEZA RESIDENCE B/14 - CICALENGKA RAYA ANTAPANI - ANTAPANI
  KIDUL - ANTAPANI - BANDUNG CITY - WEST JAVA 40291",2024
13,32,JAWA BARAT,3273,KOTA BANDUNG,MY JOURNEY INDONESIA,"BELLEZA RESIDENCE KAV B NO. 14 - ANTAPANI KIDUL - KEC.
  ANTAPANI - KOTA BANDUNG - JAWA BARAT 40291",2024
14,32,JAWA BARAT,3273,KOTA BANDUNG,HIDAYATUR TRAVEL UMROH & WISATA ISLAMI,"JL. PAMANUKAN NO.12 - ANTAPANI KULON - KEC. ANTAPANI - KOTA
  BANDUNG - JAWA BARAT 40291",2024
15,32,JAWA BARAT,3273,KOTA BANDUNG,BIRO WISATA | BRILLIANT TOURS BANDUNG | SEWA MOBIL BANDUNG,"JL. TERUSAN JAKARTA BLK. A NO.175 - RT.001/RW.006 - ANTAPANI
  KULON - KEC. ANTAPANI - KOTA BANDUNG - JAWA BARAT 40291",2024
16,32,JAWA BARAT,3273,KOTA BANDUNG,MYTRAVELINK TOUR & TRAVEL,"JL. PAMANUKAN NO.12 - ANTAPANI KULON - KEC. ANTAPANI - KOTA
  BANDUNG - JAWA BARAT 40291",2024
17,32,JAWA BARAT,3273,KOTA BANDUNG,WIPA TOUR BANDUNG,"NO 54 A - JL. TERUSAN JAKARTA - ANTAPANI TENGAH - KEC.
  ANTAPANI - KOTA BANDUNG - JAWA BARAT 40291",2024
