id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_kawasan,daya_tarik_wisata_primer,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN EKOWISATA ALAM DAGO UTARA,TAMAN HUTAN RAYA DJUANDA,2016
2,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN EKOWISATA ALAM DAGO UTARA,DAGO PAKAR,2016
3,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN EKOWISATA ALAM DAGO UTARA,CURUG DAGO,2016
4,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN EKOWISATA ALAM DAGO UTARA,PUNCLUT,2016
5,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,KAMPUS INSTITUT TEKNOLOGI BANDUNG,2016
6,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,KEBUN BINATANG BANDUNG,2016
7,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,BABAKAN SILIWANGI,2016
8,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,GEDUNG SATE,2016
9,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,KAMPUS UNIVERSITAS PADJAJARAN DIPATIUKUR,2016
10,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,MUSEUM GEOLOGI,2016
11,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,MUSEUM POS INDONESIA,2016
12,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,SASANA BUDAYA GANESHA,2016
13,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,KAMPUS UNIVERSITAS KOMPUTER INDONESIA,2016
14,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,KAWASAN PUSEUR BUDAYA JAWA BARAT,2016
15,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,MONUMEN PERJUANGAN RAKYAT JAWA BARAT,2016
16,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,LAPANGAN GASIBU,2016
17,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN SEJARAH GANESHAÂ  GEDUNG SATE,PUSAT DAKWAH ISLAM JAWA BARAT,2016
18,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN KULINER KREATIF JALAN L.L.R.E. MARTADINATA,"TOKO PAKAIAN, SEPATU, TAS LUARAN PABRIK DAN WISATA KULINER DI JALAN
  L.L.R.E. MARTADINATA YANG DIBATASI OLEH JALAN MERDEKAÃJALAN IR. H. DJUANDA DI
  SEBELAH BARAT DAN JALAN AHMAD YANI DI SEBELAH TIMUR",2016
19,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,BANGUNAN CAGAR BUDAYA DI SEPANJANG JALAN BRAGA,2016
20,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,GEDUNG MERDEKA,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,"SITUS SUMUR BANDUNG DI KANTOR PERSEROAN TERBATAS PERUSAHAAN LISTRIK
  NEGARA JALAN ASIA AFRIKA",2016
22,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,KANTOR POS BESAR BANDUNG,2016
23,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,MESJID RAYA,2016
24,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA WARISAN BUDAYA ALUN-ALUN BRAGA,ALUN-ALUN BANDUNG,2016
