"title","name","reviewerId","stars","text","publishedAtDate","originalLanguage","isLocalGuide","likesCount","reviewerNumberOfReviews","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","responseFromOwnerText","location/lat","location/lng"
"Nu Art Studio","Yulia Dwi Putri","114918088007037616480","5",,"2026-05-19T10:42:03.618Z",,"true","0","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Afifah rahmani","106521810502610402296","4",,"2026-05-18T15:41:48.096Z",,"false","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Siswanto Teguh","100252368439459993071","5","Nahdlatul Ulama Art","2026-05-18T11:44:28.936Z","id","true","0","304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","tris","108936828254484830098","5",,"2026-05-17T07:55:23.401Z",,"true","0","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Hersigit Suroto","113608409087765493398","5","sayang, datang nya kepagian.

Jd blm buka...tp msh bs lihat yg d area parkir ..","2026-05-17T04:43:03.204Z","id","true","0","41","https://lh3.googleusercontent.com/grass-cs/ANxoTn0EIW_hXfEbNTVqsnrJAVGYSCz4YXIQmkaagDPELESva5gVxRc_aaB3CjfwDqZqug8RMVlDOmf_PmQVQ2vpfJ2StvPX5DCgWAIs3Gt83kFgtR7H_lKpLApiB9bUBSUszhEZVW28mQGqPBJX=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","dirto hayyu Jasa angkut barang","115426579369788426805","5",,"2026-05-15T06:50:03.724Z",,"true","0","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Affandi Mufc","117572276795089725092","5",,"2026-05-15T06:47:42.634Z",,"true","0","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Gilang Prattama Putra (Gilang)","117727756881702287690","5",,"2026-05-14T12:06:56.221Z",,"false","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Rijal Maulana","101741305203216034479","5",,"2026-05-12T02:37:07.984Z",,"false","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Hayfaza Nayottama","100019090920571630933","5","Witnessing miniatures of Indonesia's legendary sculpture at a park designed by Nyoman Nuarta himself. Cool experience.","2026-05-11T00:37:24.954Z","en","true","0","265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","ryana amelia","110285595556302552372","5",,"2026-05-10T09:52:11.817Z",,"false","0","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Salma Fauziah Sauzan","106021416835315594668","5","Tempatnya lumayan luas, area belakang bisa dipake banyak event. Estetik pula. Dan disini bisa liat ciri khas karya Pak Nyoman. Yang suka ngadem di art gallery wajib dateng🤍","2026-05-10T07:03:55.187Z","id","false","0","4","https://lh3.googleusercontent.com/grass-cs/ANxoTn1dVE8ioeuGCwjulEosqkAp3LsHpfB-asOCmM_OV-3KaMPDX1Dyn-9eUnXD05ZUlWjfPydf6zVZ9KdkBv10ibYq1aWMeyBLLkbgwGF4doImq8F8yFVyVAqI2a_9VzYuada1A_PoAXn_Ejx-=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn20Y_7xTOTZy94SxCmouJVbJoCh22sojVValhwOUcgnSzGNvO4QrwC9aBwlMfaqoCLC24Xch11JC_e-xMh7hf7ZlHJUh_CtHFLRFkvfHfRCL9Ze4qUA96bqMhmqtAynrEV18E9crS63HYd_=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0r4qTw1PSHx4IHa5k4VlkMKilzhQ9ajrjvT5BPAMqE98iDPHn4UHJWpPWoSWi-DYYcWKNKCyIdsX2o6u69DKo_v9yhfHn7zk9A16Gqboic__iuJuEt2RQh0npruCpAoX9Uvwd25IDoq1mR=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3zIhaYlChZjDMOGMz1H2mR5clI_vYUqiKwvcO3EvY2Brr82fXo7EgTgNCRH46ObbFTSeXfyf37KMhcCx1D-5I0XPL1FJY7X6tbWEwiDMTNAgdlZ1DGYpuy5w8vAMTHspzgrz8HM2IbYzFf=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1-vpV99PMnPAdjY82xsXJ7aUNUhMroDdTCcRahjMokGBvfm5hN4fA_IbhhiBt2_aproSB67PoBFFE03h7gK2aR71-HVfIEPkizRf1ELwQPyKb1TrUhC2FgHy53O14p_nAer1QTgK_7BXFt=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Boy Hasan","113116561389882963342","5",,"2026-05-10T02:10:38.484Z",,"false","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
