location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory
LOC-001,23 Paskal Shopping Center,-6.9153879,107.5943024,0,0,Gratis,Tempat Belanja,Mall
LOC-002,Alam Wisata Cimahi,-6.8408401,107.5512452,0,0,Gratis,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-003,Alun-Alun Kota Bandung,-6.92156,107.607105,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-004,Alun-Alun Sumedang,-6.8601203,107.9207044,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-005,Amazing Artgames,-6.8515827,107.5952858,35000,90000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif
LOC-006,Bandung Carnival Land,-6.8783006,107.5951986,35000,45000,Per Orang,Rekreasi Keluarga,Taman hiburan
LOC-007,Bandung Indah Plaza,-6.908338,107.6112548,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-008,Bandung Science Center,-6.8773023,107.5947081,45000,45000,Per Orang,Tempat Belajar,Science center
LOC-009,Bendungan Jatigede,-6.85639,108.09472,10000,10000,Per Orang,Wisata Alam,Bendungan
LOC-010,Braga Citywalk,-6.917113,107.6084023,0,0,Gratis,Tempat Belanja,Citywalk
LOC-011,Bukit Jamur Rancabolang Pasirjambu,-7.194647,107.4322046,20000,20000,Per Orang,Wisata Alam,Daya tarik alam
LOC-012,Bukit Moko Bandung,-6.8580436,107.7113868,15000,30000,Per Orang,Wisata Alam,Daya tarik alam
LOC-013,Bukit Senyum,-6.7623484,107.5097621,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-014,Bumi Perkemahan Ranca Upas Bandung,-7.1397,107.3922,28000,44000,Per Orang,Tempat Camping,Camping ground
LOC-015,Cadas Pangeran Sumedang,-6.8827445,107.8585067,0,0,Gratis,Tempat Sejarah,Situs sejarah
LOC-016,Chinatown Bandung,-6.91723,107.5927742,10000,30000,Per Orang,Tempat Budaya,Kawasan budaya tematik
LOC-017,Cihampelas Walk,-6.8938202,107.6055658,0,0,Gratis,Tempat Belanja,Mall
LOC-018,Cimahi Mall,-6.8784801,107.5395452,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-019,Cimahi Techno Park,-6.9013502,107.5367378,30000,30000,Per Orang,Tempat Belajar,Pusat edukasi teknologi
LOC-020,Ciwidey Valley Resort,-7.1009092,107.4537886,70000,70000,Per Orang,Penginapan Wisata,Resort wisata
LOC-021,Curug Cipanas,-6.8018806,107.5915295,30000,35000,Per Orang,Wisata Alam,Daya tarik alam
LOC-022,Curug Gorobog,-7.1076,107.4492,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-023,Curug Malela,-7.0115741,107.2056616,10000,12000,Per Orang,Wisata Alam,Daya tarik alam
LOC-024,Curug Maribaya,-6.8343728,107.6580337,35000,45000,Per Orang,Wisata Alam,Daya tarik alam
LOC-025,Curug Pelangi,-6.7991735,107.5781113,20000,20000,Per Orang,Wisata Alam,Daya tarik alam
LOC-026,Curug Tilu Leuwi Opat,-6.7908,107.582,25000,25000,Per Orang,Wisata Alam,Daya tarik alam
LOC-027,Dago Dreampark,-6.8476037,107.6254233,30000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-028,Danau Biru Situ Cilembang,-7.21111,107.67333,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-029,Dusun Bambu,-6.7899841,107.5786457,25000,40000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-030,Farm House Susu Lembang,-6.833,107.6056,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-031,Floating Market Lembang,-6.8188283,107.6180313,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-032,Gantolle Paralayang Singajaya Cihampelas,-6.9589027,107.471356,15000,15000,Per Orang,Wisata Petualangan,Aktivitas petualangan
LOC-033,Gedung Merdeka,-6.9210059,107.6092288,0,0,Gratis,Tempat Sejarah,Gedung bersejarah
LOC-034,Gedung Sate,-6.9019107,107.6173031,5000,5000,Per Orang,Tempat Sejarah,Gedung bersejarah
LOC-035,"Gereja Katedral Bandung, Santo Petrus",-6.91479,107.610453,0,0,Gratis,Tempat Ibadah,Gereja
LOC-036,Glamping Lakeside Rancabali,-7.1670549,107.3540784,25000,50000,Per Orang,Tempat Camping,Glamping
LOC-037,Gn. Tampomas,-6.8817995,107.5683276,5000,5000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi
LOC-038,Gn. Tangkuban Parahu,-7.17444,107.73583,110000,110000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi
LOC-039,Guha Pawon,-6.8231833,107.4371655,5000,5000,Per Orang,Wisata Alam,Gua
LOC-040,Gunung Bohong,-6.876389,107.519722,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-041,Gunung Puntang,-7.1213917,107.6212909,25000,35000,Per Orang,Wisata Alam,Daya tarik alam
LOC-042,Gunung Putri Lembang,-6.795833,107.6338052,10000,25000,Per Orang,Wisata Alam,Daya tarik alam
LOC-043,Happyfarm Ciwidey,-7.1154888,107.4380458,10000,20000,Per Orang,Wisata Satwa,Wisata farm
LOC-044,Jans Park (Jatinangor National Park),-6.918795,107.769342,30000,100000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-045,Jendela Alam,-6.819371,107.596634,20000,20000,Per Orang,Tempat Belajar,Edukasi alam
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,-6.8480317,107.5487982,10000,10000,Per Orang,Desa Wisata,Kampung wisata
LOC-047,Kampung Cireundeu,-6.9142798,107.523423,0,0,Gratis,Desa Wisata,Kampung adat
LOC-048,Kampung Karuhun Eco Green Park Sumedang,-6.892019,107.954774,15000,30000,Per Orang,Rekreasi Keluarga,Eco park
LOC-049,Kampung Toga Villa & Resto,-6.8722,107.9119,10000,10000,Per Orang,Tempat Kuliner,Restoran wisata
LOC-050,Kawah Putih,-7.1661181,107.4022669,31000,31000,Per Orang,Wisata Alam,Daya tarik alam
LOC-051,Kebun Begonia Lembang,-6.8257237,107.6377442,30000,30000,Per Orang,Wisata Alam,Taman bunga
LOC-052,Kebun Binatang Bandung,-6.8911349,107.6069218,50000,50000,Per Orang,Wisata Satwa,Wisata satwa
LOC-053,Lembang Park & Zoo,-6.8054528,107.5913571,65000,85000,Per Orang,Wisata Satwa,Wisata satwa
LOC-054,Lembang Wonderland,-6.8172979,107.6121455,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-055,Maribaya Natural Hotspring Resort,-6.8309841,107.6552157,45000,45000,Per Orang,Wisata Alam,Air panas alami
LOC-056,Masjid Agung Bandung,-6.9218,107.6062,0,0,Gratis,Tempat Ibadah,Tempat ibadah
LOC-057,Masjid Agung Sumedang,-6.907497,107.647137,0,0,Gratis,Tempat Ibadah,Tempat ibadah
LOC-058,Masjid Jami' Al Baakhirah,-6.8901807,107.5373351,0,0,Gratis,Tempat Ibadah,Tempat ibadah
LOC-059,Mata Air Cikandung,-6.7911008,107.9241417,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-060,Museum Geologi Bandung,-6.9003424,107.620961,5000,5000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-061,Museum Konferensi Asia Afrika,-6.9210729,107.6096452,0,0,Gratis,Tempat Belajar,Tempat edukasi
LOC-062,Museum Pos Indonesia,-6.9020925,107.6198013,0,0,Gratis,Tempat Belajar,Tempat edukasi
LOC-063,Museum Sri Baduga,-6.9377186,107.6035761,5000,5000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-064,Nimo Highland,-7.2203,107.5781,30000,60000,Per Orang,Rekreasi Keluarga,Wisata panorama buatan
LOC-065,Orchid Forest Cikole,-6.7801991,107.6379318,40000,40000,Per Orang,Wisata Alam,Hutan wisata
LOC-066,Pandiga Educreation Sports,-6.8755807,107.5554364,30000,35000,Per Orang,Rekreasi Keluarga,Olahraga rekreasi
LOC-067,Paris Van Java Resort Lifestyle Place,-6.9231445,107.6822858,0,0,Gratis,Tempat Belanja,Mall
LOC-068,Pasar Cimindi,-6.8971851,107.5585651,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-069,Pemandian Cipanas Cileungsing,-7.00583,107.51944,10000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-070,Penangkaran Rusa Ranca Upas,-7.1227905,107.424115,28000,44000,Per Orang,Tempat Camping,Camping ground
LOC-071,Puncak Bukit Kujang Gunung Bohong,-6.8766,107.5199,0,0,Gratis,Wisata Alam,Puncak bukit
LOC-072,Puncak Eurad,-6.7903231,107.68087,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-073,Ranca Upas Ciwidey,-7.1384888,107.3917416,28000,28000,Per Orang,Tempat Camping,Camping ground
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,-7.0728751,107.4894089,0,0,Gratis,Tempat Kuliner,Rumah makan
LOC-075,Sanghyang Heuleut,-6.8764679,107.341682,20000,20000,Per Orang,Wisata Alam,Danau alami
LOC-076,Sanghyang Kenit,-6.8598247,107.3478097,5000,10000,Per Orang,Wisata Alam,Sungai dan tebing
LOC-077,Saung Angklung Udjo,-6.8982695,107.6552971,85000,85000,Per Orang,Tempat Seni,Seni pertunjukan
LOC-078,Selasar Sunaryo Art Space,-6.8586315,107.6365204,25000,45000,Per Orang,Tempat Seni,Galeri seni
LOC-079,Situ Cileunca Pangalengan Bandung,-7.1962036,107.5514079,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-080,Situ Cisanti,-7.2093913,107.6574773,10000,20000,Per Orang,Wisata Alam,Daya tarik alam
LOC-081,Situ Ciseupan Cibeber,-6.8932952,107.5160775,5000,5000,Per Orang,Wisata Alam,Daya tarik alam
LOC-082,Situ Patenggang Ciwidey Bandung,-7.1672928,107.3576729,25000,25000,Per Orang,Wisata Alam,Daya tarik alam
LOC-083,Stone Garden Citatah,-6.8250977,107.4375517,15000,20000,Per Orang,Wisata Alam,Taman batu
LOC-084,Sunrise Point Cukul,-7.2337053,107.5342649,10000,10000,Per Orang,Wisata Alam,Titik panorama
LOC-085,Tahura Gunung Kunci,-7.2145,107.3579,10000,10000,Per Orang,Wisata Alam,Hutan raya
LOC-086,Taman Alun-Alun Kota Cimahi,-6.8732,107.5423,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-087,Taman Ecowisata Cimenteng,-6.8422004,107.5467493,0,0,Gratis,Wisata Alam,Ekowisata
LOC-088,Taman Endog,-6.8474026,107.9240642,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-089,Taman Film,-6.8985088,107.6077767,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-090,Taman Foto Bandung,-6.9134767,107.6271878,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-091,Taman Hutan Raya Ir. H. Djuanda,-6.8566957,107.6334977,17000,17000,Per Orang,Taman Kota,Ruang publik kota
LOC-092,Taman Jomblo,-6.8981221,107.6092198,5000,10000,Per Orang,Taman Kota,Ruang publik kota
LOC-093,Taman Kartini,-6.8886533,107.536768,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-094,Taman Lalu Lintas Ade Irma Suryani Nasution,-6.91193,107.613624,10000,15000,Per Orang,Tempat Belajar,Edukasi lalu lintas
LOC-095,Taman Langit Pangalengan (Sunrise Point & Camping Ground),-7.218568,107.575971,5000,15000,Per Orang,Tempat Camping,Camping ground
LOC-096,Taman Lansia,-6.8975989,107.6312048,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-097,Taman Lembah Dewata,-6.8115695,107.6428718,20000,25000,Per Orang,Rekreasi Keluarga,Taman rekreasi alam
LOC-098,Taman Musik,-6.9119444,107.6159987,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-099,Taman Superhero,-6.9107448,107.6306343,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-100,Tebing Karaton,-6.8348771,107.6637416,17000,17000,Per Orang,Wisata Alam,Tebing panorama
LOC-101,Teras Cikapundung Bbws,-6.8843,107.6069,0,0,Gratis,Taman Kota,Ruang publik sungai
LOC-102,Terminal Wisata Grafika Cikole,-6.7850486,107.6516285,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-103,The Great Asia Africa,-6.8326049,107.6047628,50000,65000,Per Orang,Tempat Budaya,Taman budaya tematik
LOC-104,The Kings Shopping Centre,-6.9228656,107.6049577,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-105,The Lodge Maribaya,-6.8288811,107.688434,50000,65000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi alam
LOC-106,The Nice Park Bandung,-6.8235133,107.5555715,30000,60000,Per Orang,Rekreasi Keluarga,Taman rekreasi keluarga
LOC-107,Toga Hill,-6.8769363,107.9091747,10000,10000,Per Orang,Wisata Alam,Bukit panorama
LOC-108,Trans Studio Bandung,-6.9247021,107.6360969,100000,100000,Per Orang,Rekreasi Keluarga,Taman hiburan indoor
LOC-109,Trans Studio Mall Bandung,-6.9256414,107.6367469,0,0,Gratis,Tempat Belanja,Pusat belanja
LOC-110,Upside Down World Bandung,-6.8963,107.617,80000,100000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif
LOC-111,Venus Cimahi,-6.8770592,107.5399984,15000,25000,Per Orang,Rekreasi Keluarga,Tempat hiburan
LOC-112,Vihara Satya Budhi,-6.9179615,107.5926411,0,0,Gratis,Tempat Ibadah,Vihara
LOC-113,Wayang Windu Panenjoan,-7.2041999,107.6264991,20000,20000,Per Orang,Wisata Alam,Titik panorama
LOC-114,Wisata Air Gajah Depa,-6.8193829,107.9446083,30000,35000,Per Orang,Wahana Air,Wahana air buatan
LOC-115,Wisata Hutan Pinus Pal 16 Cikole Lembang,-6.7798046,107.6454692,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-116,Wisata Kampoeng Ciherang,-6.8293636,107.7978925,20000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-117,Kiara Artha Park,-6.916458,107.6422474,10000,10000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-118,Forest Walk Babakan Siliwangi,-6.8870113,107.6109441,0,0,Gratis,Wisata Alam,Hutan kota
LOC-119,Taman Dewi Sartika,-6.9133997,107.6095152,0,0,Gratis,Taman Kota,Ruang publik kota
LOC-120,Rumah Guguk,-6.8469616,107.5955585,70000,90000,Per Orang,Wisata Satwa,Wisata hewan peliharaan
LOC-121,NuArt Sculpture Park,-6.8772419,107.5724908,50000,50000,Per Orang,Tempat Seni,Taman patung
LOC-122,Peta Park,-6.9317342,107.5883194,10000,15000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-123,Museum Pendidikan Nasional UPI,-6.8597725,107.5941677,5000,15000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-124,Museum Barli,-6.8783934,107.5875219,25000,25000,Per Orang,Tempat Belajar,Tempat edukasi
LOC-125,Wot Batu,-6.8585391,107.6366148,50000,50000,Per Orang,Tempat Seni,Instalasi seni
LOC-126,Lawangwangi Creative Space,-6.8476429,107.6275129,25000,200000,Per Orang,Tempat Seni,Ruang kreatif
LOC-127,Sarae Hills,-6.8436646,107.6242395,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
LOC-128,Observatorium Bosscha,-6.8244765,107.61602,50000,50000,Per Orang,Tempat Belajar,Observatorium
LOC-129,Curug Dago,-6.8654924,107.6181817,15000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-130,Fairy Garden by The Lodge,-6.8233175,107.6886132,25000,25000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik
