location_name,user_id,reviewer_name,rating,review_text,review_date,likes,reviewer_total_reviews,is_local_guide,source_file
Ranca Upas Ciwidey,106842092508595466835,faisal jennie,2,"camping di area campervan di akhir pekan kondisi minggu pertama puasa jadi sangat sepi. dengan harga tiket 300 ribuan, agak disayangkan area tempat wisata tidak steril. contohnya ketika sore hari banyak warga akamsi kebut2an di dalam area wisata. kemudian adanya warga yang memancing dan menyalakan petasan di area camp. tidak ada petugas yg bisa dimintai tolong, WA customer service econique pun tidak ada respon. toilet area campervan tidak terlalu bersih. onsen cukup nyaman banyak kucing dan anjing unyu imut2 diarea camp untuk pengelola, bisa ditingkatkan pelayanannya.",2026-02-22,1,101,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,115444873198186045507,liz sunarya,4,"Kesini pas sabtu pagi, jadi belum terlalu rame. Jam 7an uda disana. Liat rusa yang banyak tapi tidak ke dalam nya karena masih becek, kalo siangan uda bisa masuk ke penangkaran nya. Rusaknya ada yang agresif juga liat wortel nya. Beli Q wortel 22rb / ember. Seru banget karena si kecil berani ngasih makan rusa dengan tangannya sendiri. Membuat pengalaman yang baru. Lanjut itu berenang di sekitar penangkaran rusa, bayarnya 25rb/org. Airnya bersih dan masih sepi karena masih pagi. Airnya tidak hangat ya.",2025-11-30,0,125,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,117368247663370517756,Arif Kiyokuni KOMPENI,5,"Tempat wisata yang sangat keren, kami datang kesini camping di rasamala pada liburan nataru 2025, disini udara sejuk, pemandangan pegunungan yg indah, terdapat camping ground, kolam renang air panas, penangkaran rusa, flying fox, petik strawberry, warung oleh 2 dan makanan, dll. Cerita pengalaman kami waktu petik strawberry di warung paling pojok kanan dekat parkiran, harga strawberry per kilo 70rb, Gas portable yg katanya baru padahal isi ulang yg setelah saya desak akhirnya mengaku kalau itu isi ulang yg harganya terlalu mahal yaitu 35rb, dan charger dua buah powerbank, satu terisi separuh, satunya lagi belum terisi padahal kami isi dari malam dan di ambil pagi. semoga hal seperti ini bisa bisa segera di perbaiki demi nama baik tempat ini agar tempat ini semakin ramai. Secara keseluruhan tempat ini sangat bagus dan wajib di coba, saya pun ada rencana kesana lagi lain waktu. Demikian review ini semoga bermanfaat.",2026-01-04,0,191,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,105322266649340220838,AR,5,"Tempat nyaman untuk camping keluarga Banyak toilet di dekat camping area Tempat sejuk, bersih, Parkir luas unyuk motor dan mobil Bisa beli tiket via online di aplikasi traveloka atau tiket com Ada penangkaran rusa juga",2026-01-22,0,391,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,100325127544731521270,Restu Anjar S,5,"Bisa foto dengan rusa, hehe tapi untuk foto harus abil antrian dulu ya.. Sudah ada fotografer yg moteretin tapi atau mau pake hp bisa di bantu sama fotografer juga, eh jangan lupa bawa tips buat pawang rusa...heheh",2026-01-15,0,262,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,109532692138903428032,INR The Local Guide,5,"Info 05/11/25 Tiket masuk 2 orang 1 motor sudah termasuk parkir 66rb. Beli makanan untuk rusa, wortel 2 keranjang + 2 iket (dibonusin 1iket) dgn harga 66rb. Berkunjung di waktu weekdays lumayan cukup ramai. Banyak kunjungan rombongan. Dengan kondisi track untuk melihat rusa yang cukup pendek dan pengunjung yang cukup ramai agaknya kurang efektif ya. Tersedia tempat untuk cuci tangan atau cuci kaki juga peruntukannya di akhir pintu keluar, lengkap beserta sabunnya. Sangat disayangkan pada waktu berkunjung, di kamar mandinya yang dekat parkir motor itu airnya sangat kotor sekali. Bener bener kotor hitam air yang keluar dari kerannya. Semoga pihak pengelola bisa memperhatikan isu ini ya dan segera memperbaikinya.",2025-11-06,0,698,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,102047068594436040452,anong nong,5,Camo di savana emang mantaap. Nyampe pas hujan gede. Tapi ga becek tempatnya karna udah ada tembok tembok gitu. Parkiran luas cuman aga jauh aja si dadi parkiran motor ke savana. Htm per orang buat camp 50rb parkir motor 10rb bayar helm per satunya 3rb. Murah lah menurut ssaya mah. Di warung cas 5rb gorengan 2kan. Masih masuk akal lah sekelas tempat wisata yang ada di hutan mah.,2026-01-06,0,67,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,112496719840793371494,Zahra Maulida,5,"Tempat worth it, sejuk, sunyi,berkabut, fasilitas ok, tempat parkir luas ada penangkaran Rusa, kolam renang, kabin, ada mesjid, bersih, warung jajan , jm 3 sore sdh mulai terasa dinginnya, petugasnya ramah. tiket masuk 29 Rb / orang, parkir mobil 18 Rb tuk kunjungan. Menginap beda hrg. Pokoknya recommended, Nex tuk liburan berikutnya camping bersama keluarga",2025-12-25,0,5,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,103909137005103763451,Dadang darmawan,5,"sangat cocok untuk bersantai dan tinggal di tenda sambil kemping ceria, suasanya sangat dingin sekali, pemandangannya sangat indah, banyak warung warung dan ada kolamnya juga, luas banget dan gunungnya indah sekali",2026-02-01,0,346,True,dataset_cleaned_kabbandung.csv
Ranca Upas Ciwidey,103022231789765524192,Merlin ^_^,5,"Viewnya cakep banget.. Buat yg bawa anak pasti seneng krn bisa kasih makan rusa. Tiket masuk di gerbang masuk utk bertiga + mobil cuma 70 rb an sekian.. Tiket jgn hilang, krn utk keluar kendaraan perlu scan tiket lagi. Yg agak mahal utk fotonya 150 rb. Sesudah foto, diminta lagi seikhlasnya sama tim fotonya 😅",2026-01-13,0,15,True,dataset_cleaned_kabbandung.csv
