location_id,location_name,category,priority,matched_raw_title,match_score,new_media_image_url,new_media_destination_url,new_media_website,new_media_source_note,reviewer_status,reviewer_note
LOC-155,Curug Panganten,Wisata Alam,HIGH,Curug Panganten Kembar,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4GkQmPq3PlKBJkRXGj_M5v6bTHJEAbXWHGVmQVSbb_znM-kQ0MH5GDm1uE9HVm87HCUPJCF3ZKZSTMTe291FErh6k7cutn-HnPIInTiy6RbU2ksq1hzpVw3G14yRpQrVSsBRW=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Curug%20Panganten%20Kembar&query_place_id=ChIJ-eDDf8mVaC4RR1iMf43Xlks,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-177,Wahoo Waterworld,Wahana Air,HIGH,Wahoo Waterworld Bandung,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJCk-nEIqk9X-8Q-n69HTA-BByYYQWsuT6WPiUU0vSGInxz7Asy50_Y2eo2vxg8Cl8CnvApTBhHUD5O82kKdpfh9T60TzWz2yzpCmqiKbvJTKm3Ycpd4ahoMyNJBKOz48DxvDb=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Wahoo%20Waterworld%20Bandung&query_place_id=ChIJS3iQYLz7aC4Rod5ZYaaPDdM,http://www.wahoowaterworld.co.id/booking,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-182,Pine Forest Camp Lembang,Tempat Camping,HIGH,Pine Forest Camp,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_3coAzydRGMANLnmL3tmXr2F5_fnkdu_EhHtvOdusk_PjqZP2bDeGK6Xqi4zDPVAz4FULSAPTXTSZqqbNacgbQ33YsP0aBkX6toxhlBbQ4Bp0qE4KXs7Y_JiNGxKK4nHcmriE=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Pine%20Forest%20Camp&query_place_id=ChIJ1XNNI0feaC4RUZizKWoMwB8,http://www.pineforestcamp.web.id/,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-187,Curug Layung,Wisata Alam,HIGH,Curug Layung & Camping Ground,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKtJ7hsI4sw9Fqa7JWQdeET2XfH4yYVUgdwGaaB89myxMuxzFXwQGjbFeTakaVv-Y5MtXYBFog-3_kYapn2XURJksOfXj8OyP1M5MW-xxfX5FvprsF6yfRWWI8LdBjfwOJAXa1BQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Curug%20Layung%20%26%20Camping%20Ground&query_place_id=ChIJDb_T8kLhaC4R51rzsM7ZZVc,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-228,Tanjung Duriat,Wisata Alam,HIGH,Wisata Tanjung Duriat,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5pMAnLxmNqR53EZZLV-b8EVBIgBhVbbKaWRlLmwd410bxdHBhNNeK19QLgTB1ix_rPLFXVx_itzEU7rc-buN8AqAm_qW1Uxbj9oyYvMiCYrtMlbV5FeaYykuXJUkBW8gQE-OnkhiRILg=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Wisata%20Tanjung%20Duriat&query_place_id=ChIJpRRtzvksby4RzACfguN8etM,https://www.tanjungduriat.com/,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-196,Curug Walanda Citatah,Wisata Alam,HIGH,Curug Walanda,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtmIOEolpi77W9akuLJ3xVd5hhlyzwKwu-tXmdiXGdgkVcbb2cxrWP4zACvG0GT-12uJsJidL3jc_Ekt0YtaRhsNiU0JBy5H5aG8lZm-7-vXpuSaORb99lSNQdzXEHU1ggNZ5s4g=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Curug%20Walanda&query_place_id=ChIJg8_ElDKoaS4R0-oy_NhXO3Y,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-215,Taman Pramuka Bandung,Taman Kota,HIGH,Taman Pramuka,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-_g6bN-qGabdrUhG4GH0NBpu0RcphcFh7R0M5OteKqPooHUMK2VlKbr47wOHllSJF1Favy_sS8dg-blNT3WPBLfcderBeRKrRzgj9x0WsjLF2kEt0uwMFD3OrBkmNEI_B25urHA=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Taman%20Pramuka&query_place_id=ChIJm9ICwcvnaC4Rm_a-5ecbrhg,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-222,Nuansa Riung Gunung,Wisata Alam,HIGH,Nuansa Riung gunung Pangalengan,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE772ZzRqlrTBir54UJvLpTdluIDM5F7cZ-z5qDDdvVrAXfoxUy6OV_YPzJCFkdb-0lPsvVL38ern0ua9B8DKZkXvkfzfhxME00HNB2Fywpflz3vKNqevo54F-s017L1LmcpjmUEg=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Nuansa%20Riung%20gunung%20Pangalengan&query_place_id=ChIJx53-02eTaC4RaQfan8jAKDQ,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-193,Sanghyang Poek,Wisata Alam,HIGH,Sanghyang Poek Bandung purba,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRr_i6qnamMTJXtUHwIYsqT_23KgU_3gpCF7WLbA9yH4rU22oNDMuE0Ki-LJnHtZ-PutvcLj422L-x3gH0_LpIlSvSJYWerGapW6rNlp3h4y4BJDpLx4h-_ITgIobdlhScU-Fvsw=w408-h510-k-no,https://www.google.com/maps/search/?api=1&query=Sanghyang%20Poek%20Bandung%20purba&query_place_id=ChIJ9dLIAiX5aC4RQOIRasoIyfc,,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-198,Tebing Gunung Hawu,Wisata Alam,HIGH,Gunung Hawu,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiLjJxEa4fOzgZCsrY8IV2HdJaPgYB9V4N3aTAX5LoSB9jYVFR-gdj3txoLtGbhTnoHlPHhfhTjPgE7IrygtFPz-Dz_Pzs-Et7BEh0-FGopbTIPsWMrOfbBhSPITXY_Qa7DsuC=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Gunung%20Hawu&query_place_id=ChIJQbdIvr78aC4RzFmg87Dlqko,https://gununghawublog.wordpress.com/,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
LOC-183,Imah Seniman Lembang,Penginapan Wisata,HIGH,Imah Seniman,1.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGj2IE-CMbwrP7jHEBTwNmOtW0LagifSghk43sx3pjKOoR0dG5rHckijC45IB64D_35E2FaXQrKMiG_ABOdh-YEnXrjZa-0j1Up-ozHBeojvhiGSlob0FQFXsm0Ug2JY7mgZ5FYNg-DqH0m=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Imah%20Seniman&query_place_id=ChIJYf6XqQ3haC4R0rUDm4H5v60,https://www.facebook.com/imahsenimanbandung,local_google_maps_extractor_2026-05-19,approved_candidate,Auto-candidate from local Google Maps extractor; verify before apply.
