location_id,location_name,category,display_status,priority,unverified_facility_flags,unverified_context_flags,verified_flags_to_set_true,flags_to_keep_false,evidence_url,reviewer_status,reviewer_note
LOC-001,23 Paskal Shopping Center,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-005,Amazing Artgames,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-007,Bandung Indah Plaza,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-008,Bandung Science Center,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-010,Braga Citywalk,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-011,Bukit Jamur Rancabolang Pasirjambu,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-012,Bukit Moko Bandung,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-013,Bukit Senyum,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-014,Bumi Perkemahan Ranca Upas Bandung,Tempat Camping,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-016,Chinatown Bandung,Tempat Budaya,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-017,Cihampelas Walk,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-018,Cimahi Mall,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|safety_verified,,,,todo,
LOC-019,Cimahi Techno Park,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-021,Curug Cipanas,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-022,Curug Gorobog,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-023,Curug Malela,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|coordinate_verified|safety_verified,,,,todo,
LOC-024,Curug Maribaya,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-025,Curug Pelangi,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-028,Danau Biru Situ Cilembang,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-029,Dusun Bambu,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,indoor_verified|safety_verified,,,,todo,
LOC-032,Gantolle Paralayang Singajaya Cihampelas,Wisata Petualangan,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-033,Gedung Merdeka,Tempat Sejarah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-034,Gedung Sate,Tempat Sejarah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-035,"Gereja Katedral Bandung, Santo Petrus",Tempat Ibadah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-038,Gn. Tangkuban Parahu,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-039,Guha Pawon,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-040,Gunung Bohong,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-041,Gunung Puntang,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-042,Gunung Putri Lembang,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|coordinate_verified,,,,todo,
LOC-045,Jendela Alam,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-047,Kampung Cireundeu,Desa Wisata,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-050,Kawah Putih,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-055,Maribaya Natural Hotspring Resort,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-056,Masjid Agung Bandung,Tempat Ibadah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-058,Masjid Jami' Al Baakhirah,Tempat Ibadah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-060,Museum Geologi Bandung,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-061,Museum Konferensi Asia Afrika,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-062,Museum Pos Indonesia,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-063,Museum Sri Baduga,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-064,Nimo Highland,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-065,Orchid Forest Cikole,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-067,Paris Van Java Resort Lifestyle Place,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-068,Pasar Cimindi,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|coordinate_verified|safety_verified,,,,todo,
LOC-071,Puncak Bukit Kujang Gunung Bohong,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-072,Puncak Eurad,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-073,Ranca Upas Ciwidey,Tempat Camping,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-074,Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,Tempat Kuliner,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-075,Sanghyang Heuleut,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-076,Sanghyang Kenit,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-077,Saung Angklung Udjo,Tempat Seni,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-078,Selasar Sunaryo Art Space,Tempat Seni,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-079,Situ Cileunca Pangalengan Bandung,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-080,Situ Cisanti,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-081,Situ Ciseupan Cibeber,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-082,Situ Patenggang Ciwidey Bandung,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-084,Sunrise Point Cukul,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-100,Tebing Karaton,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-102,Terminal Wisata Grafika Cikole,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,indoor_verified|safety_verified,,,,todo,
LOC-104,The Kings Shopping Centre,Tempat Belanja,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-105,The Lodge Maribaya,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-111,Venus Cimahi,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-112,Vihara Satya Budhi,Tempat Ibadah,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-113,Wayang Windu Panenjoan,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-115,Wisata Hutan Pinus Pal 16 Cikole Lembang,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|coordinate_verified|safety_verified,,,,todo,
LOC-120,Rumah Guguk,Wisata Satwa,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|safety_verified,,,,todo,
LOC-123,Museum Pendidikan Nasional UPI,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-124,Museum Barli,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-126,Lawangwangi Creative Space,Tempat Seni,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,child_friendly_verified|safety_verified,,,,todo,
LOC-128,Observatorium Bosscha,Tempat Belajar,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-129,Curug Dago,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-131,Cikole Jayagiri Resort,Penginapan Wisata,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-134,Bukit Bintang Bandung (Patahan Lembang),Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-136,Tepi Danau,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-137,Rumah Belanda,Tempat Budaya,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-138,Kebun Teh Sukawana,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|coordinate_verified|safety_verified,,,,todo,
LOC-139,Kawah Rengganis Ciwidey,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-140,Rengganis Suspension Bridge,Wisata Petualangan,active_candidate,HIGH,wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-142,Hejo Forest Ciwidey,Wisata Alam,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
LOC-143,Driam Riverside,Penginapan Wisata,active_candidate,HIGH,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified|open_24h_verified,night_verified|indoor_verified|child_friendly_verified|safety_verified,,,,todo,
