location_id,location_name,media_available,media_image_url,media_destination_url,media_website,media_source,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note
LOC-001,23 Paskal Shopping Center,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmnNbt2HObP8bIj8T5woz2_Gn4brOIG10tz3GJpIWh6ZgQIt7WBwx53tqe2CIplibjofUBDa5RONLBkTZR4J96dzdqzcI9Vo0WjbgR6_fFknEeTe-I4LVEnR10BNhRqem_aWKWYFCPppv8=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=23%20PASKAL%20Shopping%20Center&query_place_id=ChIJY5o-gCXnaC4Reo4OMevT_Ic,https://23paskal.id/,google_maps_extractor_2026_05_19,23 PASKAL Shopping Center,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-002,Alam Wisata Cimahi,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBukqrTnWIISJQsVMT1xA_l959VCV0ME4njBWfRviwqkeb-ZrpxjCqWI4F2ilKeAKUOTnImVJpBGGhclUHZGVcBAEnbu-1nVbHrWf0hB_TYsq0DmgUkfG2PL1OiQhFlO-AgSQ=w408-h273-k-no,https://www.google.com/maps/search/?api=1&query=Alam%20Wisata%20Cimahi&query_place_id=ChIJAbspL_PjaC4RGwfytELeq50,,google_maps_extractor_2026_05_19,Alam Wisata Cimahi,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-003,Alun-Alun Kota Bandung,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmlSKP7CsUFzyfybMkNCEvcp23MjtiITuvpxyK5NSXFZxvhpCQCWv4yOw_8pYuqzOjEL62rHLq1zk6s5Mor6us1Uj-uShSGYgpDwEL6sli4mH4WLXKqZyGd4qFsdIqwfNphGk3bQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Alun-alun%20Kota%20Bandung&query_place_id=ChIJMcIOvp3oaC4RZdAMyaoSdBc,,google_maps_extractor_2026_05_19,Alun-alun Kota Bandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-004,Alun-Alun Sumedang,False,,,,,Alun-Alun,0.6667,missing,missing,No reliable media match.
LOC-005,Amazing Artgames,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbvStL1vIqEnHrmIwBmjvnMMT-ADWetnpKSr5aoOa-F2CxJpvc-v8FrAOZsU-DH4-0A04uzI-aP3GQlKxqVSQF2tc1rxyQAo9UdCLha58UW5BC5bu_tOeRNSORcN6pOgWbKVw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Amazing%20Artgames&query_place_id=ChIJJxuuu7fmaC4RJ3PO4pMZDwU,https://www.instagram.com/amazingartgames/,google_maps_extractor_2026_05_19,Amazing Artgames,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-006,Bandung Carnival Land,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYPN-M5Ope6ytOmb6U4Esfcd6xWPIuHkV3R7R3_HX6avqlq8pyn5Mlpyhhu2WWyhjl7YTc-zWGezFzxjHuxGR83ddKDLTEhjEo6eHqahxuIIkMkIrkZty7LzxfjwQFWZ7Bdpc=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Bandung%20Carnival%20Land&query_place_id=ChIJV5Cb-IzmaC4RmueQMGTE3VE,,google_maps_extractor_2026_05_19,Bandung Carnival Land,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-007,Bandung Indah Plaza,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHP3jwG2JH1BfrHIQJSA7WRAYIDnSpFiEqBbvbc9a8j5lGTXiaOru0eJmacOY83j_SQjQtGtELuqU94Vs7u0aqo-DTcLdOVM-3rrGdsPU0DI1m29bAeW2T3fSJahpMUypbsD2_Ff3A_o3El=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Bandung%20Indah%20Plaza&query_place_id=ChIJc27DwTfmaC4RjYWcrnohU5I,https://lokasi.lippomalls.com/bandung-indah-plaza-shopping-mall-kec-bandung-wetan-bandung-557252/Home?utm_source=locator&utm_medium=googleplaces,google_maps_extractor_2026_05_19,Bandung Indah Plaza,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-008,Bandung Science Center,False,,,,,Science Centre Soreang (SCS),0.5833,missing,missing,No reliable media match.
LOC-009,Bendungan Jatigede,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiNZFMzykBAJkrWsmEyeMz6rOMuVBD3A-HeSNWqpBUAMNizSGa0WOCrxD_GMB78kS97e00TVoSyewPRA03GpBT68AZPBurWQnAzmRKkHlroLvGnUS_hlUHP5YMc58lq8QT9RBJLQ=w408-h270-k-no,https://www.google.com/maps/search/?api=1&query=Bendungan%20Jatigede&query_place_id=ChIJlYDVNQ8tby4R022zvEUEPcM,https://www.youtube.com/@jatigedechanel,google_maps_extractor_2026_05_19,Bendungan Jatigede,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-010,Braga Citywalk,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGB1-jddHamy2JkHn63VEMJacY_amvg-QiehDm4viah4QQ4RhoKeO3dKmaiDMN3gr2wL22cwBKCC_UblnFgvZ3676NppumLjNERP_-TcHKRatkFO-UdOkE34dkQe95dmuF4lYkMyQ=w408-h307-k-no,https://www.google.com/maps/search/?api=1&query=Braga%20CityWalk&query_place_id=ChIJKx94lRjmaC4R-sOzyqFC7P0,http://www.bragacitywalk.co.id/,google_maps_extractor_2026_05_19,Braga CityWalk,1.0,exact_normalized_title,accepted,Exact normalized title match.
