location_name,category,subcategory,display_status,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,final_core_labels,final_secondary_labels,final_avoid_labels,night_verified,qa_flag_reason,night_audit_action
23 Paskal Shopping Center,Tempat Belanja,Mall,active_candidate,10:00,22:00,10:00,22:00,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Bandung Carnival Land,Rekreasi Keluarga,Taman hiburan,active_candidate,11:00,22:00,11:00,23:00,Keluarga;Ramah Anak,Santai/Healing;Outdoor,Belanja;Malam,False,Malam label removed: not night_verified,remove
Bandung Indah Plaza,Tempat Belanja,Pusat belanja,active_candidate,10:00,22:00,10:00,22:00,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Braga Citywalk,Tempat Belanja,Citywalk,active_candidate,10:00,22:00,10:00,22:00,Belanja;Indoor;Gratis,Spot Foto;Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Bukit Moko Bandung,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Spot Foto;Santai/Healing,Outdoor;Malam,Belanja;Indoor;Religi,True,,keep
Bumi Perkemahan Ranca Upas Bandung,Tempat Camping,Camping ground,active_candidate,00:00,23:59,00:00,23:59,Alam;Petualangan;Outdoor,,Belanja;Malam,False,Malam label removed: not night_verified,remove
Cadas Pangeran Sumedang,Tempat Sejarah,Situs sejarah,exclude_scope,00:00,23:59,00:00,23:59,Sejarah;Edukasi;Gratis,Spot Foto;Budaya,Belanja;Kuliner;Petualangan;Malam,False,Malam label removed: not night_verified,remove
Cihampelas Walk,Tempat Belanja,Mall,active_candidate,10:00,22:00,10:00,22:00,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Curug Cipanas,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Outdoor,Santai/Healing;Spot Foto,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Curug Gorobog,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Santai/Healing;Spot Foto,Petualangan;Outdoor,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Curug Maribaya,Wisata Alam,Daya tarik alam,active_candidate,09:00,18:00,09:00,21:00,Alam;Santai/Healing;Spot Foto,Outdoor,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Dusun Bambu,Rekreasi Keluarga,Kawasan rekreasi keluarga,active_candidate,09:00,21:00,09:00,21:00,Keluarga;Ramah Anak;Alam,Kuliner;Malam;Outdoor,Belanja,True,,keep
Floating Market Lembang,Rekreasi Keluarga,Taman rekreasi tematik,active_candidate,09:00,18:00,08:00,21:00,Keluarga;Ramah Anak;Kuliner,,Malam,False,Malam label removed: not night_verified,remove
Gn. Tampomas,Rekreasi Keluarga,Kawasan rekreasi,exclude_scope,00:00,23:59,00:00,23:59,Keluarga;Ramah Anak;Alam,Sejarah;Outdoor,Belanja;Kuliner;Malam,False,Malam label removed: not night_verified,remove
Gunung Puntang,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Spot Foto;Outdoor,Santai/Healing;Sejarah,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Gunung Putri Lembang,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Spot Foto;Santai/Healing,Outdoor;Malam,Belanja;Indoor;Kuliner;Religi,True,,keep
Kampung Buyut Cipageran (Kabuci) Asih Putera,Desa Wisata,Kampung wisata,active_candidate,08:00,22:00,08:00,22:00,Budaya;Edukasi,Keluarga;Alam,Belanja;Malam,False,Malam label removed: not night_verified,remove
Kampung Toga Villa & Resto,Tempat Kuliner,Restoran wisata,exclude_scope,08:00,21:00,08:00,21:00,Kuliner;Santai/Healing,Malam,Belanja;Petualangan;Religi;Sejarah,True,,keep
Lembang Wonderland,Rekreasi Keluarga,Taman rekreasi tematik,active_candidate,10:00,19:00,10:00,20:00,Keluarga;Ramah Anak,Santai/Healing;Outdoor,Belanja;Malam,False,Malam label removed: not night_verified,remove
Masjid Agung Bandung,Tempat Ibadah,Tempat ibadah,active_candidate,05:00,22:00,05:00,22:00,Religi;Santai/Healing;Gratis,Budaya,Alam;Belanja;Kuliner;Petualangan;Malam,False,Malam label removed: not night_verified,remove
Masjid Agung Sumedang,Tempat Ibadah,Tempat ibadah,exclude_scope,04:00,22:00,04:00,22:00,Religi;Santai/Healing;Budaya,Sejarah;Gratis,Alam;Belanja;Kuliner;Petualangan;Malam,False,Malam label removed: not night_verified,remove
Masjid Jami' Al Baakhirah,Tempat Ibadah,Tempat ibadah,active_candidate,03:30,19:30,03:30,02:30,Religi;Santai/Healing;Gratis,Budaya,Alam;Belanja;Kuliner;Petualangan;Malam,False,Malam label removed: not night_verified,remove
Paris Van Java Resort Lifestyle Place,Tempat Belanja,Mall,active_candidate,10:00,22:00,10:00,23:00,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Pasar Cimindi,Tempat Belanja,Pusat belanja,active_candidate,00:00,23:59,00:00,23:59,Belanja;Indoor;Gratis,Malam,Alam;Petualangan;Religi;Sejarah,True,,keep
Pemandian Cipanas Cileungsing,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Outdoor,Santai/Healing;Spot Foto,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Puncak Eurad,Wisata Alam,Daya tarik alam,active_candidate,00:00,23:59,00:00,23:59,Alam;Spot Foto;Santai/Healing,Outdoor,Belanja;Indoor;Religi;Malam,False,Malam label removed: not night_verified,remove
Ranca Upas Ciwidey,Tempat Camping,Camping ground,active_candidate,00:00,23:59,00:00,23:59,Alam;Petualangan;Outdoor,Santai/Healing;Spot Foto,Belanja;Malam,False,Malam label removed: not night_verified,remove
