location_id,location_name,category,subcategory,status_google_maps,query_pencarian_jam,jam_buka,jam_tutup,sumber_url
LOC-029,Dusun Bambu,Rekreasi Keluarga,Kawasan rekreasi keluarga,Kosong (Tidak tercantum),jam buka Dusun Bambu bandung,,,
LOC-032,Gantolle Paralayang Singajaya Cihampelas,Wisata Petualangan,Aktivitas petualangan,Kosong (Tidak tercantum),jam buka Gantolle Paralayang Singajaya Cihampelas bandung,,,
LOC-036,Glamping Lakeside Rancabali,Tempat Camping,Glamping,Kosong (Tidak tercantum),jam buka Glamping Lakeside Rancabali bandung,,,
LOC-037,Gn. Tampomas,Rekreasi Keluarga,Kawasan rekreasi,Kosong (Tidak tercantum),jam buka Gn. Tampomas bandung,,,
LOC-038,Gn. Tangkuban Parahu,Rekreasi Keluarga,Kawasan rekreasi,Kosong (Tidak tercantum),jam buka Gn. Tangkuban Parahu bandung,,,
LOC-040,Gunung Bohong,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Gunung Bohong bandung,,,
LOC-042,Gunung Putri Lembang,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Gunung Putri Lembang bandung,,,
LOC-048,Kampung Karuhun Eco Green Park Sumedang,Rekreasi Keluarga,Eco park,Kosong (Tidak tercantum),jam buka Kampung Karuhun Eco Green Park Sumedang bandung,,,
LOC-049,Kampung Toga Villa & Resto,Tempat Kuliner,Restoran wisata,Kosong (Tidak tercantum),jam buka Kampung Toga Villa & Resto bandung,,,
LOC-041,Gunung Puntang,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Gunung Puntang bandung,,,
LOC-050,Kawah Putih,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Kawah Putih bandung,,,
LOC-082,Situ Patenggang Ciwidey Bandung,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Situ Patenggang Ciwidey Bandung bandung,,,
LOC-086,Taman Alun-Alun Kota Cimahi,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Taman Alun-Alun Kota Cimahi bandung,,,
LOC-081,Situ Ciseupan Cibeber,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Situ Ciseupan Cibeber bandung,,,
LOC-080,Situ Cisanti,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Situ Cisanti bandung,,,
LOC-083,Stone Garden Citatah,Wisata Alam,Taman batu,Kosong (Tidak tercantum),jam buka Stone Garden Citatah bandung,,,
LOC-096,Taman Lansia,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Taman Lansia bandung,,,
LOC-095,Taman Langit Pangalengan (Sunrise Point & Camping Ground),Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Taman Langit Pangalengan (Sunrise Point & Camping Ground) bandung,,,
LOC-098,Taman Musik,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Taman Musik bandung,,,
LOC-105,The Lodge Maribaya,Rekreasi Keluarga,Kawasan rekreasi alam,Kosong (Tidak tercantum),jam buka The Lodge Maribaya bandung,,,
LOC-110,Upside Down World Bandung,Rekreasi Keluarga,Wahana foto interaktif,Tutup Permanen,jam buka Upside Down World Bandung bandung,,,
LOC-111,Venus Cimahi,Rekreasi Keluarga,Tempat hiburan,Kosong (Tidak tercantum),jam buka Venus Cimahi bandung,,,
LOC-118,Forest Walk Babakan Siliwangi,Wisata Alam,Hutan kota,Kosong (Tidak tercantum),jam buka Forest Walk Babakan Siliwangi bandung,,,
LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,Kawasan rekreasi keluarga,Kosong (Tidak tercantum),jam buka Alam Wisata Cimahi bandung,,,
LOC-003,Alun-Alun Kota Bandung,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Alun-Alun Kota Bandung bandung,,,
LOC-005,Amazing Artgames,Rekreasi Keluarga,Wahana foto interaktif,Tutup Sementara,jam buka Amazing Artgames bandung,,,
LOC-014,Bumi Perkemahan Ranca Upas Bandung,Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Bumi Perkemahan Ranca Upas Bandung bandung,,,
LOC-004,Alun-Alun Sumedang,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Alun-Alun Sumedang bandung,,,
LOC-023,Curug Malela,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Malela bandung,,,
LOC-052,Kebun Binatang Bandung,Wisata Satwa,Wisata satwa,Tutup Sementara,jam buka Kebun Binatang Bandung bandung,,,
LOC-055,Maribaya Natural Hotspring Resort,Wisata Alam,Air panas alami,Kosong (Tidak tercantum),jam buka Maribaya Natural Hotspring Resort bandung,,,
LOC-020,Ciwidey Valley Resort,Penginapan Wisata,Resort wisata,Kosong (Tidak tercantum),jam buka Ciwidey Valley Resort bandung,,,
LOC-072,Puncak Eurad,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Puncak Eurad bandung,,,
LOC-127,Sarae Hills,Rekreasi Keluarga,Taman rekreasi tematik,Kosong (Tidak tercantum),jam buka Sarae Hills bandung,,,
LOC-128,Observatorium Bosscha,Tempat Belajar,Observatorium,Tutup Sementara,jam buka Observatorium Bosscha bandung,,,
LOC-131,Cikole Jayagiri Resort,Penginapan Wisata,Resort wisata,Kosong (Tidak tercantum),jam buka Cikole Jayagiri Resort bandung,,,
LOC-073,Ranca Upas Ciwidey,Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Ranca Upas Ciwidey bandung,,,
LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,Edukasi budaya dan alam,Kosong (Tidak tercantum),jam buka Padepokan Dayang Sumbi bandung,,,
LOC-129,Curug Dago,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Dago bandung,,,
LOC-130,Fairy Garden by The Lodge,Rekreasi Keluarga,Taman rekreasi tematik,Tutup Permanen,jam buka Fairy Garden by The Lodge bandung,,,
LOC-154,Kampung Singkur,Wisata Petualangan,Wisata sungai,Kosong (Tidak tercantum),jam buka Kampung Singkur bandung,,,
LOC-155,Curug Panganten,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Panganten bandung,,,
LOC-153,Perkebunan Teh Malabar,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Perkebunan Teh Malabar bandung,,,
LOC-158,Situ Ninah (Situ Datar),Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Situ Ninah (Situ Datar) bandung,,,
LOC-137,Rumah Belanda,Tempat Budaya,Rumah tematik budaya,Kosong (Tidak tercantum),jam buka Rumah Belanda bandung,,,
LOC-182,Pine Forest Camp Lembang,Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Pine Forest Camp Lembang bandung,,,
LOC-141,Taman Wisata Bougenville,Rekreasi Keluarga,Taman rekreasi alam,Kosong (Tidak tercantum),jam buka Taman Wisata Bougenville bandung,,,
LOC-183,Imah Seniman Lembang,Penginapan Wisata,Resort wisata,Kosong (Tidak tercantum),jam buka Imah Seniman Lembang bandung,,,
LOC-142,Hejo Forest Ciwidey,Wisata Alam,Hutan wisata,Kosong (Tidak tercantum),jam buka Hejo Forest Ciwidey bandung,,,
LOC-143,Driam Riverside,Penginapan Wisata,Resort wisata,Kosong (Tidak tercantum),jam buka Driam Riverside bandung,,,
LOC-185,Ciwangun Indah Camp,Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Ciwangun Indah Camp bandung,,,
LOC-178,De'Ranch Lembang,Wisata Satwa,Wisata satwa,Tutup Permanen,jam buka De'Ranch Lembang bandung,,,
LOC-166,Muara Rahong Hills,Wisata Alam,Perbukitan,Kosong (Tidak tercantum),jam buka Muara Rahong Hills bandung,,,
LOC-150,Southland Camp Ciwidey,Tempat Camping,Camping ground,Kosong (Tidak tercantum),jam buka Southland Camp Ciwidey bandung,,,
LOC-163,Kampung Adat Cikondang,Desa Wisata,Kampung adat,Kosong (Tidak tercantum),jam buka Kampung Adat Cikondang bandung,,,
LOC-146,Taman Love Soreang,Rekreasi Keluarga,Taman rekreasi keluarga,Kosong (Tidak tercantum),jam buka Taman Love Soreang bandung,,,
LOC-192,Curug Ngebul Gununghalu,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Ngebul Gununghalu bandung,,,
LOC-170,Tafso Barn,Tempat Kuliner,Restoran wisata,Tutup Permanen,jam buka Tafso Barn bandung,,,
LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,Restoran wisata,Kosong (Tidak tercantum),jam buka Cakrawala Nature Sparkling Restaurant bandung,,,
LOC-197,Curug Nyalangkadar,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Nyalangkadar bandung,,,
LOC-198,Tebing Gunung Hawu,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Tebing Gunung Hawu bandung,,,
LOC-201,Curug Batu Templek,Wisata Alam,Daya tarik alam,Kosong (Tidak tercantum),jam buka Curug Batu Templek bandung,,,
LOC-175,Taman Kupu-Kupu Cihanjuang,Wisata Satwa,Wisata satwa,Kosong (Tidak tercantum),jam buka Taman Kupu-Kupu Cihanjuang bandung,,,
LOC-215,Taman Pramuka Bandung,Taman Kota,Ruang publik kota,Kosong (Tidak tercantum),jam buka Taman Pramuka Bandung bandung,,,
