id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
1,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,CIWALK,JL. CIHAMPELAS NO. 160,"-6.892040010593098, 107.60505450446244",2021,-6.892040010593098,107.60505450446244
2,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,"-6.887284479328349, 107.59614923028673",2021,-6.887284479328349,107.59614923028673
3,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,"-6.891267778753975, 107.58534565200128",2021,-6.891267778753975,107.58534565200128
4,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,"-6.903687066118921, 107.59703469863425",2021,-6.903687066118921,107.59703469863425
5,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,ISTANA BEC,JL. PURNAWARMAN NO. 13-15,"-6.9064136285250814, 107.60853574494158",2021,-6.9064136285250814,107.60853574494158
6,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,"-6.913288882344184, 107.59438468720333",2021,-6.913288882344184,107.59438468720333
7,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,"-6.92199155090802, 107.60593431871882",2021,-6.92199155090802,107.60593431871882
8,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,BRAGA CITY WALK,JL. BRAGA NO. 99-101,"-6.9152060212036295, 107.60935141882891",2021,-6.9152060212036295,107.60935141882891
9,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,"-6.906461662542402, 107.6106710441752",2021,-6.906461662542402,107.6106710441752
10,32,JAWA BARAT,3273,KOTA BANDUNG,MALL/SUPERMALL/PLAZA,TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,"-6.923332484599419, 107.6365056658089",2021,-6.923332484599419,107.6365056658089
