location_name,category_official,address,latitude,longitude
BAKER STREET BAKERY,MAKANAN DAN MINUMAN,BAKER STREET - CITARUM BANDUNG WETAN KOTA BANDUNG,,
BANDUNG ZOO,HIBURAN DAN REKREASI,BANDUNG ZOO - 6 JL. KEBUN BINATANG LB. SILIWANGI,,
BATIK HASAN,KAWASAN WISATA,HASAN BATIK - NO.136 JL. CIGADUNG RAYA TIMUR CIGADUNG,,
BATIK KOMAR,KAWASAN WISATA,RUMAH BATIK KOMAR - 1 NO.5 JL. CIGADUNG RAYA TIMUR CIGADUNG,,
BMC (BANDOENGSCHE MELK CENTRALE),MAKANAN DAN MINUMAN,BMC (BANDOENGSCHE MELK CENTRALE) - NO.30 JL. ACEH BABAKAN CIAMIS,,
BOEMI MITOHA,MAKANAN DAN MINUMAN,RUMAH MAKAN BOEMI MITOHA - 15 JL. CILIWUNG CIHAPIT,,
C59,KAWASAN WISATA,C59 - 2 JL. MERAK SADANG SERANG,,
CENTRUM MILLION BALLS,HIBURAN DAN REKREASI,CENTRUM MILLION BALLS - 10 JL. BELITUNG MERDEKA,,
ECO BAMBU,HIBURAN DAN REKREASI,ECO BAMBU CIPAKU - LEDENG BANDUNG KOTA BANDUNG,,
GALERI RUHIYAT WOODEN PUPPET & MASK,DAYA TARIK WISATA,RUHIYAT GALLERY - CIKAWAO KEC. LENGKONG KOTA BANDUNG,,
GANG NIKMAT,MAKANAN DAN MINUMAN,GANG NIKMAT - NO.205 JALAN L. L. R.E. MARTADINATA CIHAPIT,,
HAPPY GO LUCKY,KAWASAN WISATA,HAPPY GO LUCKY - 14 JL. CILIWUNG CIHAPIT,,
JARDIN CAFE,MAKANAN DAN MINUMAN,JARDIN CAFE - NO.1A JL. CIMANUK CITARUM,,
JURNAL RISA COFFEE,MAKANAN DAN MINUMAN,JURNALRISA COFFEE - JL. BRAGA BRAGA KEC. SUMUR BANDUNG,,
KAMPUNG KOREA,MAKANAN DAN MINUMAN,JL. BANTEN NO. 7,-5.9938113,105.9834667
KAMPUNG KREATIF DAGO POJOK,KAWASAN WISATA,KAMPUNG WISATA AUGMENTEDREALITY DAGO POJOK TANGGULAN - 95 JL. DAGO POJOK DAGO,,
KOPI AROMA,MAKANAN DAN MINUMAN,AROMA COFFEE - NO.51 JL. BANCEUY BRAGA,,
LOCAL CUTENESS,DAYA TARIK WISATA,LOCAL CUTENESS - NO. 55 JL. ANGGREK CIHAPIT,,
LOVE UNICORN,MAKANAN DAN MINUMAN,LOVE UNIQORN UNICORN CAFE - NO.33 JL. BENGAWAN CIHAPIT,,
MATOA,DAYA TARIK WISATA,MATOA INDONESIA - 10-12 JL. SETRASARI KULON III SUKARASA,,
MINEN LEATHER,KAWASAN WISATA,MINENLEATHER - NO.8 JL. ALFA II CIGADUNG,,
MUSEUM GEDUNG SATE,DAYA TARIK WISATA,MUSEUM GEDUNG SATE - 22 JL. DIPONEGORO CITARUM,,
MUSEUM GEOLOGI,HIBURAN DAN REKREASI,BANDUNG GEOLOGICAL MUSEUM - 57 JL. DIPONEGORO CIHAUR GEULIS,,
MUSEUM KOTA BANDUNG,DAYA TARIK WISATA,MUSEUM KOTA BANDUNG - NO.47 JL. ACEH BABAKAN CIAMIS,,
MUSEUM POS INDONEISA,HIBURAN DAN REKREASI,MUSEUM POS INDONESIA - 73 JL. CILAKI CITARUM,,
MUSEUM SRI BADUGA,DAYA TARIK WISATA,MUSEUM SRI BADUGA - NO.185 JL. BKR PELINDUNG HEWAN,,
NU ART,KAWASAN WISATA,NU ART STUDIO - CIWARUGA PARONGPONG KABUPATEN BANDUNG BARAT,,
PALA NUSANTARA,DAYA TARIK WISATA,PALA NUSANTARA - NO.7 JL. LAMDA CIGADUNG,,
PANAMA PARK 825,HIBURAN DAN REKREASI,PANAMA PARK 825 - NO.825 JL. JEND. SUDIRMAN CIJERAH,,
PUSAT SAINS DAN TEKNOLOGI NUKLIR TERAPAN,DAYA TARIK WISATA,PSTNT BATAN - 71 JL. TAMANSARI LB. SILIWANGI,,
RASA CAFE & BAKERY,MAKANAN DAN MINUMAN,RASA BAKERY & CAFE JL. TAMBLONG DALAM NO.15 BRAGA SUMURBANDUNG BANDUNG CITY - WEST JAVA 40111 - INDONESIA,,
RUPA RUPI HANDICRAFT MARKET,DAYA TARIK WISATA,RUPARUPI HANDICRAFT MARKET - NO. 837-843 JALAN JENDRAL A. YANI PADASUKA,,
SARI - SARI,MAKANAN DAN MINUMAN,SARI SARI - ANEKA KUE JAJAN PASAR - NO.17 JL. SULTAN TIRTAYASA CITARUM,,
SAUNG ANGKLUNG UDJO,DAYA TARIK WISATA,SAUNG ANGKLUNG UDJO - 118 JL. PADASUKA PASIRLAYUNG,,
SEI SAPI MARASE,MAKANAN DAN MINUMAN,MARASE - NO. 15 JL. CIMANUK CITARUM,,
SHERLOCK COMMON SPACE,MAKANAN DAN MINUMAN,SHERLOCK COMMON SPACE - CIHAPIT BANDUNG WETAN BANDUNG CITY,,
SMASH & SHAKE,MAKANAN DAN MINUMAN,SMASH & SHAKE - NO.1 JL. SULANJANA TAMANSARI,,
STUDIO ROSID,KAWASAN WISATA,STUDIO ROSID - NO. 42 JL. CIGADUNG RAYA TENGAH BABAKAN JAMI,,
SUNDAY BOWL CEREAL CLUB,MAKANAN DAN MINUMAN,SUNDAY BOWL CEREAL CLUB - NO.8 JL. KAMUNING MERDEKA,,
TAMAN LALU LINTAS,HIBURAN DAN REKREASI,ADE IRMA SURYANI NASUTION TRAFFIC PARK - NO.1 JL. BELITUNG MERDEKA,,
TERAS SUNDA CIBIRU,HIBURAN DAN REKREASI,TERAS SUNDA CIBIRU - JL. RAYA CIPADUNG CIPADUNG WETAN KEC. PANYILEUKAN,,
THIS IS ME,HIBURAN DAN REKREASI,THIS IS ME WISATA SELFIE - NO.106 JL. CIHAMPELAS TAMANSARI,,
TJARANI CAFE,MAKANAN DAN MINUMAN,TJARANI CAFE - JL. BUNGUR CIPEDES SUKAJADI,,
TRANS STUDIO BANDUNG,HIBURAN DAN REKREASI,TRANS STUDIO BANDUNG - 289 JL. GATOT SUBROTO CIBANGKONG,,
