"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGV--nsDNEXvAnqJu5qDPL1uHRBFiikbNm8tXRLTyZwqhE7g-Aff13bjTx3hDjCQH_o3cQANsRFy1ee2-KR6fzsqc6XtelZBoalmuaUO8LfYqH3Ze64YL7iTvlSIkn5St4J7_IM=w408-h306-k-no","Kebun Binatang Bandung","4.2","22774","Jl. Tamansari No.6","Kota Bandung","Jawa Barat","ID","https://trv.lk/xpe?id=i9657610356336","","Kebun Binatang","https://www.google.com/maps/search/?api=1&query=Kebun%20Binatang%20Bandung&query_place_id=ChIJDXWgTVjmaC4RfxI0d8pYMHc"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtW-a94LytDga_7r0Ng1EtjAug1PDo56SIbOGFfXKUJVLjfG0Vhw8lza2d_AYXx_Tdyn-vgEyr9u4Er_VS2ykBCRtuIqKBJVJnQvIghK0f6-F_5AxnrATz4UpWGhvVLChtmRQWug=w408-h306-k-no","Kebun Begonia Lembang","4.4","12840","Jl. Maribaya No.120 A","Kabupaten Bandung Barat","Jawa Barat","ID",,"+62 811-234-983","Taman","https://www.google.com/maps/search/?api=1&query=Kebun%20Begonia%20Lembang&query_place_id=ChIJFTPWZ_PgaC4Rpjxz_DA1gqw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTb9NkF6g_MB_iYGqyIFteGfbja0gCyWBk5MJjx6jnbQKw6GrZndKg78Po82cQgq5LDMAd9n4taaDLgkbmlE0EsGX-VfQANOlxaw-c5zssuIla_1GwHvAm5CGeaaqM_FInhmcL-Q=w408-h272-k-no","Lembang Park & Zoo","4.7","26029","Jl. Kolonel Masturi No.171","Kabupaten Bandung Barat","Jawa Barat","ID","https://www.lembangparkzoo.co.id/","+62 22 27614091","Kebun Binatang","https://www.google.com/maps/search/?api=1&query=Lembang%20Park%20%26%20Zoo&query_place_id=ChIJc0Pt2KrhaC4R5v7HbJL8cxs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnqfd8Vj_bjKBw53V9MAOGM0_1PBZwxUDKFYlmwONkgEqJKfwzrYuWgs-4zwEwBwCGbyQLyqygfCaAP-G26w2hcLdymoui5IwfQeYz63Ek2g7HS4drqdVCmHG9ExoK3K0ijkmY=w408-h306-k-no","LEMBANG Wonderland","4.3","3171","Jl. Raya Lembang No.177","Kabupaten Bandung Barat","Jawa Barat","ID",,"+62 813-8888-0168","Taman bermain","https://www.google.com/maps/search/?api=1&query=LEMBANG%20Wonderland&query_place_id=ChIJo8DfYCnhaC4RwZWDkG319Kg"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmfaGcMO9JmQmtfhAuoqKlFbY2GA-SBdps0l7lcbJVvICJBwiFYGOEa01rJLzcGl-MG_z1DadKVw7zHkn19ctHcC9rQun3SLHVoaLCWzi4WVRomxb6Hvbft1QmAPSantUs5Sl3-Q=w408-h272-k-no","Masjid Agung Bandung","4.6","9241","Jl. Dalem Kaum No.14","Kota Bandung","Jawa Barat","ID",,"+62 22 4240275","Masjid","https://www.google.com/maps/search/?api=1&query=Masjid%20Agung%20Bandung&query_place_id=ChIJ1RIjvSXmaC4Rn7u8rwSSLPw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAELSQfzjPJ5X-7wiGGl4uU-E02Ei4l4ziUWmCbnQsey93f1Ai9ecCS4dUs60p828QzvaHZ23cCC1D-soFELxkhI30ow-I_Zm5qinMb572J0m7TkAyBLJGS26k0tC-AhYF2L4lE=w408-h408-k-no","MARIBAYA Natural Hotspring Resort","4.3","9211","Jl. Maribaya No.105/212","Kabupaten Bandung Barat","Jawa Barat","ID","https://maribayaresort.com/","+62 811-2228-022","Tujuan Wisata","https://www.google.com/maps/search/?api=1&query=MARIBAYA%20Natural%20Hotspring%20Resort&query_place_id=ChIJZ4ZeILvgaC4RawZjwY1yckY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsaSCgsxbdUyDDQrhRmm5PaEkcyG-FmqQXZC5pV1EGpGAQgfFybEdiTEbqMoH4PW2fG_SmUQuwabNx08tWUbsHrE0omfGTjgjTDTkk9k39P2Sfad1JHSZb_EvqW4pL1GgsO7O36g=w408-h306-k-no","Masjid Agung SUMEDANG","4.7","4794","4WQ9+XV4, Jl. P. Sugih","Kabupaten Sumedang","Jawa Barat","ID",,"","Masjid","https://www.google.com/maps/search/?api=1&query=Masjid%20Agung%20SUMEDANG&query_place_id=ChIJ_____wzRaC4ReRQcMa0_0Bk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPPdzKxiw3PZ4pIg0UsnWhMsa8d5UDdjCh0FDEtJMjb_YSXUA4CGKZdUFlOtrj_6-S_AKxvPkLm6xUrr-d-IzA-w774JUIzdhQLlathvy-LcQSeNdLWX3Lm7zW4HzXfzjdGTtkhw=w408-h280-k-no","Museum Geologi Bandung","4.7","18243","Jl. Diponegoro No.57","Kota Bandung","Jawa Barat","ID","https://museum.geologi.esdm.go.id/","+62 811-1111-9330","Museum Ilmu Pengetahuan Alam","https://www.google.com/maps/search/?api=1&query=Museum%20Geologi%20Bandung&query_place_id=ChIJveuvykzmaC4R9jRz_5tzU54"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWl06DZheOhTHFwocYBX6JkAQsVpXaiTVsF4py_W1tALJhd_ZnvuhtKyTnzTOcxDclLDoENjNmoomNtFUt8DqZnkx13dUQTIokIc371QZgUQUCLkGeNuIayq1REStFmTURxmY97g=w408-h306-k-no","Masjid Jami' Al Baakhirah","4.8","1092","Jl. Bp. Ampi No.1E, RT.02/RW.06","Kota Cimahi","Jawa Barat","ID","https://www.instagram.com/masjidalbaakhirahbaros?igsh=MXZ6eTNubzJ5dmV4ZA==&utm_source=qr","","Masjid","https://www.google.com/maps/search/?api=1&query=Masjid%20Jami'%20Al%20Baakhirah&query_place_id=ChIJTaNiObblaC4R81ETLxRqxoQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5DYFwv2QW2m-zAjIwBM3h5QeZ3UGz3k5LQ6dgna17ujPL_3V5H3UHvP6M0zkIkqVqrEYSS5IkuX4jezBV2IQCd9PmMvPfknYZqm1Jm3FADuzAuR85kAoQmf-zMLS6MLmPzwPNRGqqYDFW=w408-h306-k-no","Museum Konferensi Asia Afrika","4.7","11447","Jl. Asia Afrika No.65","Kota Bandung","Jawa Barat","ID","https://mkaa.kemlu.go.id/","+62 851-7343-1955","Museum Sejarah","https://www.google.com/maps/search/?api=1&query=Museum%20Konferensi%20Asia%20Afrika&query_place_id=ChIJT5aRFS_maC4RcqQgi-wwFu0"
