location_name,sebelumnya,sekarang,tambahan_didapat
curug nyalangkadar,1,1,0
Cadas Pangeran Sumedang,2,2,0
Kampung toga villa pancing,2,2,0
Dairyland Farm Theme Park Puncak,2,2,0
Southland Camp,4,4,0
Cikole Jayagiri Resort,4,4,0
Farm House Susu Lembang,6,6,0
Curug Ngebul Cianjur Selatan,6,6,0
TOKO GOBERZ AUDIO MOBIL 97,6,6,0
Punclut Puncak,7,7,0
Kawasan Konservasi Taman Buru G. Masigit Kareumbi,7,7,0
Kebun Teh Malabar,7,7,0
Taman Endog,7,7,0
Taman Alun-Alun Kota Cimahi,8,8,0
Monumen Perjuangan Rakyat Jawa Barat,8,8,0
Taman Sejarah Bandung,8,8,0
Taman Maluku,8,8,0
Rumah Adat Cikondang,9,9,0
Museum Mandala Wangsit Siliwangi,9,9,0
Museum Barli,9,9,0
Gunung Artapela,9,9,0
Curug Cinulang,9,9,0
Ciwangun Indah Camp,9,9,0
Wisata keindahan alam hutan cimanggu,9,9,0
Taman Vanda,9,9,0
wisata hutan pinus pal 16 cikole lembang,12,12,0
Curug Walanda,10,13,3
Kampung Wisata Pangjugjugan,13,13,0
Orchid Forest Cikole,13,13,0
Geger Bintang Matahari Gunung Putri,13,13,0
Coffee House Gunung Tilu,13,13,0
Curug Aseupan,13,13,0
Taman Love Soreang,14,13,-1
Monumen Bandung Lautan Api,14,14,0
Kampung Cireundeu,14,14,0
Tahura Gunung Kunci,14,14,0
Taman Rusa,14,14,0
Cikahuripan,17,17,0
Dago Bakery punclut,17,17,0
Hutan Mycelia Wahana Edukasi & Interaktif,17,17,0
Peta Park,12,17,5
Gunung Nini,17,17,0
Taman Lembah DEWATA,17,17,0
Tebing Karaton,17,17,0
Taman Dewi Sartika,17,17,0
Sanghyang Poek Bandung purba,18,18,0
Sudut Pandang Bandung,18,18,0
Pandiga Educreation Sports,18,18,0
Panama Park 825,18,18,0
Palayangan River,18,18,0
Gn. Hawu,18,18,0
Jendela Alam,18,18,0
Kolam Renang Karang Setra,19,18,-1
Curug Bugbrug,18,18,0
Rengganis Suspension Bridge,19,19,0
Tafso Barn,19,19,0
MUARA RAHONG HILL'S,19,19,0
Mata Air Cikandung,19,19,0
Cakrawala Resto,17,19,2
Museum Kota Bandung,19,19,0
Pine Forest Camp,12,20,8
Venus Cimahi,20,20,0
Hutan Kota Babakan Siliwangi Bandung,20,20,0
Curug Gorobog,17,20,3
Puncak Eurad,20,20,0
Masjid Raya Al-Jabbar,20,20,0
Curug Malela,20,20,0
Nimo Resort Ciwidey,21,21,0
The Lodge Maribaya,21,21,0
Bird Pavilion,21,21,0
Situ Datar Buana,21,21,0
Pemandian Air Panas Cibolang,22,22,0
Hejo Forest,22,22,0
Gantolle Paralayang Singajaya Cihampelas,23,23,0
Puncak Permata,23,23,0
The Nice Park Bandung,23,23,0
Puncak Mega (Gn Puntang),17,26,9
Taman Kartini,12,28,16
Gunung Puntang,30,30,0
Taman musik,31,31,0
Taman Wisata Bougenville,16,33,17
Cimahi Mall,9,35,26
Hutan Pinus Rahong,15,38,23
Taman Pramuka,10,38,28
Teras Sunda Cibiru,12,40,28
Taman Panatayuda,11,40,29
Museum Pendidikan Nasional Universitas Pendidikan Indonesia,10,40,30
Wisata Ilmu Sutera Bandung,10,41,31
Gedung Indonesia Menggugat,11,42,31
Pesona Nirwana Waterpark & Cottages / Resort,14,42,28
Tepi Danau,9,42,33
Fairy Garden Edutainment Park by The Lodge,14,43,29
Vihara Satya Budhi,43,43,0
Bukit senyum,10,43,33
Nu Art Studio,11,44,33
Cimahi Techno Park,10,45,35
Kampung Buyut Cipageran (Kabuci) Asih Putera,14,45,31
Inggit Garnasih Historic House,15,46,31
The Great Asia Africa,12,46,34
Palalangon Park,12,46,34
Curug Tilu Leuwi Opat,12,46,34
Alam Wisata Cimahi,12,47,35
Cicalengka Dreamland,11,48,37
Gunung Putri Lembang,12,48,36
Air Terjun Anom,17,48,31
Ecopark Curugtilu,13,48,35
MiniMania Lembang,11,48,37
Wahoo Waterworld Bandung,16,48,32
Guha Pawon,16,48,32
Puncak Bukit Kujang Gunung Bohong,13,49,36
Masjid Jami' Al Baakhirah,11,49,38
Terminal Wisata Grafika Cikole,14,49,35
CURUG BATU TEMPLEK CISANGGARUNG,14,50,36
Curug Cilengkrang,15,50,35
Curug Maribaya,10,50,40
Curug Panyandaan,11,50,39
Danau Biru Situ Cilembang,10,50,40
Bendungan Jatigede,15,51,36
Situ Ciseupan Cibeber,17,51,34
Taman Kupu-Kupu Cihanjuang,14,51,37
Curug Cipanas,14,51,37
Kampung Karuhun ECO Green Park Sumedang,12,52,40
Kampung Singkur,16,52,36
Wisata Air GAJAH DEPA,14,52,38
Kawah Wayang,16,53,37
Dago Dreampark,15,53,38
Sarae Hills,11,53,42
Imah Seniman,14,53,39
KAWAH CIBUNI Rengganis,12,54,42
Curug Dago,12,54,42
Wisata Kampoeng Ciherang,14,54,40
Wot Batu,10,54,44
D'Riam Riverside,15,54,39
Curug Ceret (Naringgul),15,54,39
Kampung Buricak Burinong,13,54,41
De' Ranch,15,55,40
Pemandian Cipanas Cileungsing,13,55,42
Wisata Batu Kuda,14,55,41
Nuansa Riung gunung Pangalengan,10,55,45
Barusen Hills,14,55,41
Stone Garden Citatah,16,55,39
Jans Park (Jatinangor National Park),14,55,41
