location_id,location_name,category,latitude,longitude,google_maps_search_query,url
LOC-029,Dusun Bambu,Rekreasi Keluarga,-6.789984,107.578646,"Dusun Bambu -6.789984,107.578646",https://www.google.com/maps/search/?api=1&query=Dusun%20Bambu%20-6.789984%2C107.578646
LOC-068,Pasar Cimindi,Tempat Belanja,-6.897185,107.558565,"Pasar Cimindi -6.897185,107.558565",https://www.google.com/maps/search/?api=1&query=Pasar%20Cimindi%20-6.897185%2C107.558565
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,-6.855200,107.611600,"Punclut Bandung (Puncak Ciumbuleuit) -6.855200,107.611600",https://www.google.com/maps/search/?api=1&query=Punclut%20Bandung%20%28Puncak%20Ciumbuleuit%29%20-6.855200%2C107.611600
LOC-134,Bukit Bintang Bandung (Patahan Lembang),Wisata Alam,-6.821934,107.662363,"Bukit Bintang Bandung (Patahan Lembang) -6.821934,107.662363",https://www.google.com/maps/search/?api=1&query=Bukit%20Bintang%20Bandung%20%28Patahan%20Lembang%29%20-6.821934%2C107.662363
LOC-152,Kebun Teh Rancabali,Wisata Alam,-7.111493,107.415219,"Kebun Teh Rancabali -7.111493,107.415219",https://www.google.com/maps/search/?api=1&query=Kebun%20Teh%20Rancabali%20-7.111493%2C107.415219
LOC-155,Curug Panganten,Wisata Alam,-6.843509,107.563939,"Curug Panganten -6.843509,107.563939",https://www.google.com/maps/search/?api=1&query=Curug%20Panganten%20-6.843509%2C107.563939
LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,-7.031500,107.720300,"Rumah Putih Cukul -7.031500,107.720300",https://www.google.com/maps/search/?api=1&query=Rumah%20Putih%20Cukul%20-7.031500%2C107.720300
LOC-174,Lereng Anteng Panoramic Coffee,Tempat Kuliner,-6.842878,107.622150,"Lereng Anteng Panoramic Coffee -6.842878,107.622150",https://www.google.com/maps/search/?api=1&query=Lereng%20Anteng%20Panoramic%20Coffee%20-6.842878%2C107.622150
LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,-6.901362,107.638726,"Padepokan Dayang Sumbi -6.901362,107.638726",https://www.google.com/maps/search/?api=1&query=Padepokan%20Dayang%20Sumbi%20-6.901362%2C107.638726
LOC-192,Curug Ngebul Gununghalu,Wisata Alam,-7.082535,107.282444,"Curug Ngebul Gununghalu -7.082535,107.282444",https://www.google.com/maps/search/?api=1&query=Curug%20Ngebul%20Gununghalu%20-7.082535%2C107.282444
LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,-6.901701,107.357266,"Sungai Cikahuripan Green Canyon Saguling -6.901701,107.357266",https://www.google.com/maps/search/?api=1&query=Sungai%20Cikahuripan%20Green%20Canyon%20Saguling%20-6.901701%2C107.357266
LOC-196,Curug Walanda Citatah,Wisata Alam,-6.651047,107.277045,"Curug Walanda Citatah -6.651047,107.277045",https://www.google.com/maps/search/?api=1&query=Curug%20Walanda%20Citatah%20-6.651047%2C107.277045
LOC-213,Taman Cibeunying,Taman Kota,-6.905218,107.624450,"Taman Cibeunying -6.905218,107.624450",https://www.google.com/maps/search/?api=1&query=Taman%20Cibeunying%20-6.905218%2C107.624450
LOC-220,Nimo Jungle Hot Spring,Wisata Alam,-7.179917,107.495792,"Nimo Jungle Hot Spring -7.179917,107.495792",https://www.google.com/maps/search/?api=1&query=Nimo%20Jungle%20Hot%20Spring%20-7.179917%2C107.495792
LOC-226,Gunung Nini Pangalengan,Wisata Alam,-7.221389,107.578333,"Gunung Nini Pangalengan -7.221389,107.578333",https://www.google.com/maps/search/?api=1&query=Gunung%20Nini%20Pangalengan%20-7.221389%2C107.578333
LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,-7.154167,107.371111,"Perkebunan Teh Rancabali -7.154167,107.371111",https://www.google.com/maps/search/?api=1&query=Perkebunan%20Teh%20Rancabali%20-7.154167%2C107.371111
