location_name,daerah_pencarian,jam_buka,jam_tutup,tags
23 Paskal Shopping Center,"23 Paskal Shopping Center, Bandung, Jawa Barat",,,
Alam Wisata Cimahi,"Alam Wisata Cimahi, Bandung, Jawa Barat",,,
Alun-Alun Kota Bandung,"Alun-Alun Kota Bandung, Bandung, Jawa Barat",,,
Alun-Alun Sumedang,"Alun-Alun Sumedang, Bandung, Jawa Barat",,,
Amazing Artgames,"Amazing Artgames, Bandung, Jawa Barat",,,
Bandung Carnival Land,"Bandung Carnival Land, Bandung, Jawa Barat",,,
Bandung Indah Plaza,"Bandung Indah Plaza, Bandung, Jawa Barat",,,
Bandung Science Center,"Bandung Science Center, Bandung, Jawa Barat",,,
Bendungan Jatigede,"Bendungan Jatigede, Bandung, Jawa Barat",,,
Braga Citywalk,"Braga Citywalk, Bandung, Jawa Barat",,,
Bukit Jamur Rancabolang Pasirjambu,"Bukit Jamur Rancabolang Pasirjambu, Bandung, Jawa Barat",,,
Bukit Moko Bandung,"Bukit Moko Bandung, Bandung, Jawa Barat",,,
Bukit Senyum,"Bukit Senyum, Bandung, Jawa Barat",,,
Bumi Perkemahan Ranca Upas Bandung,"Bumi Perkemahan Ranca Upas Bandung, Bandung, Jawa Barat",,,
Cadas Pangeran Sumedang,"Cadas Pangeran Sumedang, Bandung, Jawa Barat",,,
Chinatown Bandung,"Chinatown Bandung, Bandung, Jawa Barat",,,
Cihampelas Walk,"Cihampelas Walk, Bandung, Jawa Barat",,,
Cimahi Mall,"Cimahi Mall, Bandung, Jawa Barat",,,
Cimahi Techno Park,"Cimahi Techno Park, Bandung, Jawa Barat",,,
Ciwidey Valley Resort,"Ciwidey Valley Resort, Bandung, Jawa Barat",,,
Curug Cipanas,"Curug Cipanas, Bandung, Jawa Barat",,,
Curug Gorobog,"Curug Gorobog, Bandung, Jawa Barat",,,
Curug Malela,"Curug Malela, Bandung, Jawa Barat",,,
Curug Maribaya,"Curug Maribaya, Bandung, Jawa Barat",,,
Curug Pelangi,"Curug Pelangi, Bandung, Jawa Barat",,,
Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat, Bandung, Jawa Barat",,,
Dago Dreampark,"Dago Dreampark, Bandung, Jawa Barat",,,
Danau Biru Situ Cilembang,"Danau Biru Situ Cilembang, Bandung, Jawa Barat",,,
Dusun Bambu,"Dusun Bambu, Bandung, Jawa Barat",,,
Farm House Susu Lembang,"Farm House Susu Lembang, Bandung, Jawa Barat",,,
Floating Market Lembang,"Floating Market Lembang, Bandung, Jawa Barat",,,
Gantolle Paralayang Singajaya Cihampelas,"Gantolle Paralayang Singajaya Cihampelas, Bandung, Jawa Barat",,,
Gedung Merdeka,"Gedung Merdeka, Bandung, Jawa Barat",,,
Gedung Sate,"Gedung Sate, Bandung, Jawa Barat",,,
"Gereja Katedral Bandung, Santo Petrus","Gereja Katedral Bandung, Santo Petrus, Bandung, Jawa Barat",,,
Glamping Lakeside Rancabali,"Glamping Lakeside Rancabali, Bandung, Jawa Barat",,,
Gn. Tampomas,"Gn. Tampomas, Bandung, Jawa Barat",,,
Gn. Tangkuban Parahu,"Gn. Tangkuban Parahu, Bandung, Jawa Barat",,,
Guha Pawon,"Guha Pawon, Bandung, Jawa Barat",,,
Gunung Bohong,"Gunung Bohong, Bandung, Jawa Barat",,,
Gunung Puntang,"Gunung Puntang, Bandung, Jawa Barat",,,
Gunung Putri Lembang,"Gunung Putri Lembang, Bandung, Jawa Barat",,,
Happyfarm Ciwidey,"Happyfarm Ciwidey, Bandung, Jawa Barat",,,
Jans Park (Jatinangor National Park),"Jans Park (Jatinangor National Park), Bandung, Jawa Barat",,,
Jendela Alam,"Jendela Alam, Bandung, Jawa Barat",,,
Kampung Buyut Cipageran (Kabuci) Asih Putera,"Kampung Buyut Cipageran (Kabuci) Asih Putera, Bandung, Jawa Barat",,,
Kampung Cireundeu,"Kampung Cireundeu, Bandung, Jawa Barat",,,
Kampung Karuhun Eco Green Park Sumedang,"Kampung Karuhun Eco Green Park Sumedang, Bandung, Jawa Barat",,,
Kampung Toga Villa & Resto,"Kampung Toga Villa & Resto, Bandung, Jawa Barat",,,
Kawah Putih,"Kawah Putih, Bandung, Jawa Barat",,,
Kebun Begonia Lembang,"Kebun Begonia Lembang, Bandung, Jawa Barat",,,
Kebun Binatang Bandung,"Kebun Binatang Bandung, Bandung, Jawa Barat",,,
Lembang Park & Zoo,"Lembang Park & Zoo, Bandung, Jawa Barat",,,
Lembang Wonderland,"Lembang Wonderland, Bandung, Jawa Barat",,,
Maribaya Natural Hotspring Resort,"Maribaya Natural Hotspring Resort, Bandung, Jawa Barat",,,
Masjid Agung Bandung,"Masjid Agung Bandung, Bandung, Jawa Barat",,,
Masjid Agung Sumedang,"Masjid Agung Sumedang, Bandung, Jawa Barat",,,
Masjid Jami' Al Baakhirah,"Masjid Jami' Al Baakhirah, Bandung, Jawa Barat",,,
Mata Air Cikandung,"Mata Air Cikandung, Bandung, Jawa Barat",,,
Museum Geologi Bandung,"Museum Geologi Bandung, Bandung, Jawa Barat",,,
Museum Konferensi Asia Afrika,"Museum Konferensi Asia Afrika, Bandung, Jawa Barat",,,
Museum Pos Indonesia,"Museum Pos Indonesia, Bandung, Jawa Barat",,,
Museum Sri Baduga,"Museum Sri Baduga, Bandung, Jawa Barat",,,
Nimo Highland,"Nimo Highland, Bandung, Jawa Barat",,,
Orchid Forest Cikole,"Orchid Forest Cikole, Bandung, Jawa Barat",,,
Pandiga Educreation Sports,"Pandiga Educreation Sports, Bandung, Jawa Barat",,,
Paris Van Java Resort Lifestyle Place,"Paris Van Java Resort Lifestyle Place, Bandung, Jawa Barat",,,
Pasar Cimindi,"Pasar Cimindi, Bandung, Jawa Barat",,,
Pemandian Cipanas Cileungsing,"Pemandian Cipanas Cileungsing, Bandung, Jawa Barat",,,
Penangkaran Rusa Ranca Upas,"Penangkaran Rusa Ranca Upas, Bandung, Jawa Barat",,,
Puncak Bukit Kujang Gunung Bohong,"Puncak Bukit Kujang Gunung Bohong, Bandung, Jawa Barat",,,
Puncak Eurad,"Puncak Eurad, Bandung, Jawa Barat",,,
Ranca Upas Ciwidey,"Ranca Upas Ciwidey, Bandung, Jawa Barat",,,
Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,"Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey, Bandung, Jawa Barat",,,
Sanghyang Heuleut,"Sanghyang Heuleut, Bandung, Jawa Barat",,,
Sanghyang Kenit,"Sanghyang Kenit, Bandung, Jawa Barat",,,
Saung Angklung Udjo,"Saung Angklung Udjo, Bandung, Jawa Barat",,,
Selasar Sunaryo Art Space,"Selasar Sunaryo Art Space, Bandung, Jawa Barat",,,
Situ Cileunca Pangalengan Bandung,"Situ Cileunca Pangalengan Bandung, Bandung, Jawa Barat",,,
Situ Cisanti,"Situ Cisanti, Bandung, Jawa Barat",,,
Situ Ciseupan Cibeber,"Situ Ciseupan Cibeber, Bandung, Jawa Barat",,,
Situ Patenggang Ciwidey Bandung,"Situ Patenggang Ciwidey Bandung, Bandung, Jawa Barat",,,
Stone Garden Citatah,"Stone Garden Citatah, Bandung, Jawa Barat",,,
Sunrise Point Cukul,"Sunrise Point Cukul, Bandung, Jawa Barat",,,
Tahura Gunung Kunci,"Tahura Gunung Kunci, Bandung, Jawa Barat",,,
Taman Alun-Alun Kota Cimahi,"Taman Alun-Alun Kota Cimahi, Bandung, Jawa Barat",,,
Taman Ecowisata Cimenteng,"Taman Ecowisata Cimenteng, Bandung, Jawa Barat",,,
Taman Endog,"Taman Endog, Bandung, Jawa Barat",,,
Taman Film,"Taman Film, Bandung, Jawa Barat",,,
Taman Foto Bandung,"Taman Foto Bandung, Bandung, Jawa Barat",,,
Taman Hutan Raya Ir. H. Djuanda,"Taman Hutan Raya Ir. H. Djuanda, Bandung, Jawa Barat",,,
Taman Jomblo,"Taman Jomblo, Bandung, Jawa Barat",,,
Taman Kartini,"Taman Kartini, Bandung, Jawa Barat",,,
Taman Lalu Lintas Ade Irma Suryani Nasution,"Taman Lalu Lintas Ade Irma Suryani Nasution, Bandung, Jawa Barat",,,
Taman Langit Pangalengan (Sunrise Point & Camping Ground),"Taman Langit Pangalengan (Sunrise Point & Camping Ground), Bandung, Jawa Barat",,,
Taman Lansia,"Taman Lansia, Bandung, Jawa Barat",,,
Taman Lembah Dewata,"Taman Lembah Dewata, Bandung, Jawa Barat",,,
Taman Musik,"Taman Musik, Bandung, Jawa Barat",,,
Taman Superhero,"Taman Superhero, Bandung, Jawa Barat",,,
Tebing Karaton,"Tebing Karaton, Bandung, Jawa Barat",,,
Teras Cikapundung Bbws,"Teras Cikapundung Bbws, Bandung, Jawa Barat",,,
Terminal Wisata Grafika Cikole,"Terminal Wisata Grafika Cikole, Bandung, Jawa Barat",,,
The Great Asia Africa,"The Great Asia Africa, Bandung, Jawa Barat",,,
The Kings Shopping Centre,"The Kings Shopping Centre, Bandung, Jawa Barat",,,
The Lodge Maribaya,"The Lodge Maribaya, Bandung, Jawa Barat",,,
The Nice Park Bandung,"The Nice Park Bandung, Bandung, Jawa Barat",,,
Toga Hill,"Toga Hill, Bandung, Jawa Barat",,,
Trans Studio Bandung,"Trans Studio Bandung, Bandung, Jawa Barat",,,
Trans Studio Mall Bandung,"Trans Studio Mall Bandung, Bandung, Jawa Barat",,,
Upside Down World Bandung,"Upside Down World Bandung, Bandung, Jawa Barat",,,
Venus Cimahi,"Venus Cimahi, Bandung, Jawa Barat",,,
Vihara Satya Budhi,"Vihara Satya Budhi, Bandung, Jawa Barat",,,
Wayang Windu Panenjoan,"Wayang Windu Panenjoan, Bandung, Jawa Barat",,,
Wisata Air Gajah Depa,"Wisata Air Gajah Depa, Bandung, Jawa Barat",,,
Wisata Hutan Pinus Pal 16 Cikole Lembang,"Wisata Hutan Pinus Pal 16 Cikole Lembang, Bandung, Jawa Barat",,,
Wisata Kampoeng Ciherang,"Wisata Kampoeng Ciherang, Bandung, Jawa Barat",,,
Kiara Artha Park,"Kiara Artha Park, Bandung, Jawa Barat",,,
Forest Walk Babakan Siliwangi,"Forest Walk Babakan Siliwangi, Bandung, Jawa Barat",,,
Taman Dewi Sartika,"Taman Dewi Sartika, Bandung, Jawa Barat",,,
Rumah Guguk,"Rumah Guguk, Bandung, Jawa Barat",,,
NuArt Sculpture Park,"NuArt Sculpture Park, Bandung, Jawa Barat",,,
Peta Park,"Peta Park, Bandung, Jawa Barat",,,
Museum Pendidikan Nasional UPI,"Museum Pendidikan Nasional UPI, Bandung, Jawa Barat",,,
Museum Barli,"Museum Barli, Bandung, Jawa Barat",,,
Wot Batu,"Wot Batu, Bandung, Jawa Barat",,,
Lawangwangi Creative Space,"Lawangwangi Creative Space, Bandung, Jawa Barat",,,
Sarae Hills,"Sarae Hills, Bandung, Jawa Barat",,,
Observatorium Bosscha,"Observatorium Bosscha, Bandung, Jawa Barat",,,
Curug Dago,"Curug Dago, Bandung, Jawa Barat",,,
Fairy Garden by The Lodge,"Fairy Garden by The Lodge, Bandung, Jawa Barat",,,
Cikole Jayagiri Resort,"Cikole Jayagiri Resort, Bandung, Jawa Barat",,,
Bird & Bromelia Pavilion,"Bird & Bromelia Pavilion, Bandung, Jawa Barat",,,
Punclut Bandung (Puncak Ciumbuleuit),"Punclut Bandung (Puncak Ciumbuleuit), Bandung, Jawa Barat",,,
Bukit Bintang Bandung (Patahan Lembang),"Bukit Bintang Bandung (Patahan Lembang), Bandung, Jawa Barat",,,
Taman Main Mili-Mili & Hutan Mycelia,"Taman Main Mili-Mili & Hutan Mycelia, Bandung, Jawa Barat",,,
Tepi Danau,"Tepi Danau, Bandung, Jawa Barat",,,
Rumah Belanda,"Rumah Belanda, Bandung, Jawa Barat",,,
Kebun Teh Sukawana,"Kebun Teh Sukawana, Bandung, Jawa Barat",,,
Kawah Rengganis Ciwidey,"Kawah Rengganis Ciwidey, Bandung, Jawa Barat",,,
Rengganis Suspension Bridge,"Rengganis Suspension Bridge, Bandung, Jawa Barat",,,
Taman Wisata Bougenville,"Taman Wisata Bougenville, Bandung, Jawa Barat",,,
Hejo Forest Ciwidey,"Hejo Forest Ciwidey, Bandung, Jawa Barat",,,
