returned_title,location_id,target_location_name,decision,rows,text_rows,unique_review_ids,place_total_score,place_reviews_count,address,categoryName,url,note
Puncak Bintang,LOC-134,Bukit Bintang Bandung (Patahan Lembang),accept_after_light_check,30,7,30,4.6,756,"5M5G+7PQ, Unnamed Road, Cimenyan, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40197, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Puncak%20Bintang&query_place_id=ChIJ54-UYOffaC4RY1h8Qq5uNoU,Likely target place for Bukit Bintang; title differs but location/category are plausible.
Curug Penganten,LOC-155,Curug Panganten,accept_after_light_check,30,22,30,4.2,393,"5H78+P7V, Padaasih, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Curug%20Penganten&query_place_id=ChIJ04_-4-TjaC4RF-tpr6YvANs,Spelling variant Penganten/Panganten; likely same destination.
"Lereng Anteng, Dago Bakery",LOC-174,Lereng Anteng Panoramic Coffee,accept_after_light_check,30,17,30,4.5,45,"Jl. Pagermaneuh No.57, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Lereng%20Anteng%2C%20Dago%20Bakery&query_place_id=ChIJCeNTJIzhaC4RMkqS5-Nk4zs,Likely related place/brand; use only after confirming this is the intended listing.
Wisata Ilmu Sutera Bandung,LOC-176,Padepokan Dayang Sumbi,accept_after_light_check,30,13,30,4.3,216,"Jl. Arcamanik Sindanglaya KM 4, Kp. Pamoyanan, Mekarmanik, Cimenyan, Mekarmanik, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40196, Indonesia",Agen Tur Keliling Kota,https://www.google.com/maps/search/?api=1&query=Wisata%20Ilmu%20Sutera%20Bandung&query_place_id=ChIJJVjVUr3daC4RNif0ceHqtQw,Padepokan Dayang Sumbi is known as wisata ilmu sutera; likely same place.
Cikahuripan,LOC-195,Sungai Cikahuripan Green Canyon Saguling,accept_after_light_check,30,18,30,4.3,143,"39W6+HHW, Cianjur Saguling, Saguling, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Cikahuripan&query_place_id=ChIJMRXNHeb5aC4R3ZJCeZ0uVzA,Returned place is Cikahuripan; likely same destination but name is shorter.
Pasar Cimindi,LOC-068,Pasar Cimindi,accept_strong,30,2,30,4.1,4132,"Jl. Mahar Martanegara No.65, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40522, Indonesia",Pasar,https://www.google.com/maps/search/?api=1&query=Pasar%20Cimindi&query_place_id=ChIJ_ZYRy8jlaC4RPaMxHmIuSbE,Returned title exactly matches target.
Perkebunan Teh RANCABALI,LOC-234,Perkebunan Teh Rancabali,accept_strong,30,15,30,4.7,4592,"R9XJ+P9Q, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Perkebunan%20Teh%20RANCABALI&query_place_id=ChIJvwek54aLaC4RriJBwwiFnes,Returned title matches target with case variation.
Kp cipurut,LOC-162,Rumah Putih Cukul,needs_manual_check,30,13,30,4.5,365,"QG7J+PV4, Sukaluyu, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Kp%20cipurut&query_place_id=ChIJTWneqPaQaC4RA9aH8fd9dOw,"Returned generic village/area name, not exact Rumah Putih Cukul."
Curug Walanda,LOC-196,Curug Walanda Citatah,needs_manual_check,23,12,23,4.6,23,"Sukamukti, Kec. Maniis, Kabupaten Purwakarta, Jawa Barat 41166, Indonesia",Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Curug%20Walanda&query_place_id=ChIJg8_ElDKoaS4R0-oy_NhXO3Y,"Returned address is Purwakarta, while target says Citatah. Do not use until confirmed."
Nimo Resort Ciwidey,LOC-220,Nimo Jungle Hot Spring,needs_manual_check,30,21,30,4.6,51,"Barutunggu Puncling, Lebakmuncang, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",Hotel,https://www.google.com/maps/search/?api=1&query=Nimo%20Resort%20Ciwidey&query_place_id=ChIJsxWc9MCNaC4RdqBPh8JHHJ8,"Returned Nimo Resort Ciwidey, not exact Nimo Jungle Hot Spring."
