child_penginapan_id,child_name,child_property_type,parent_penginapan_id,parent_name,relation_status,is_main_ranking_candidate,latitude,longitude,overall_rating,reviews,price_lowest,data_quality_score,data_quality_label,link,primary_image_url,notes
LODGE-00022,OYO 3394 Apm Residence Syariah - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-6.8705,107.0593,,,,0.6,medium,https://www.bluepillow.com/search/67d167c3a21d9499fe92b4c9?dest=nuit&cat=House&lat=-6.87053&lng=107.05928&language=en,https://static.cupid.travel/hotels/ex_c49c07d7_z.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00065,Hotel O Cibeureum Residence - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-6.9106,107.5689,2.75,2,194180,0.95,high,https://www.bluepillow.com/search/5df4f573e24da45b685d1b1e?dest=bkng&cat=apartment&lat=-6.91065&lng=107.56886&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/666457266.jpg?k=c973156b37db93612c281186ac1a55f162864f4ab33764f9309725545d3c52ea&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00087,Budi House Food Station - Deluxe Twin Room,room_level_listing,,,child_without_final_parent,False,-6.8908,107.559,1.85,3,302236,0.9,high,https://www.bluepillow.com/search/594386f87c00cb0e6433d6b2/165819015?dest=bkng&cat=House&lat=-6.89076&lng=107.55896&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/253721259.jpg?k=dc3607e418c008315932bf4eacc4efda87ef112fe8b0f76fe138767c20dc9232&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00088,Budi House Food Station - Standard Double Room,room_level_listing,,,child_without_final_parent,False,-6.8908,107.559,1.85,3,356798,0.9,high,https://www.bluepillow.com/search/594386f87c00cb0e6433d6b2/165819017?dest=bkng&cat=House&lat=-6.89076&lng=107.55896&language=en,https://static.cupid.travel/hotels/ex_d396a364_z.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00120,Sans Stay Skyland Pasteur Bandung - Deluxe Double Room,room_level_listing,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,accepted_parent,False,-6.8829,107.5794,,,188740,0.85,high,https://www.bluepillow.com/search/6949716c5c042e01bacc4f88?dest=bkng&cat=House&lat=-6.88285&lng=107.57943&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/690437786.jpg?k=723910f467a6dc6ea37a1ecd5249bf6bf5bf1708f6b8017f64cb9e910967cb7f&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00121,Sans Stay Skyland Pasteur Bandung - Standard Double Room,room_level_listing,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,accepted_parent,False,-6.8829,107.5794,,,190531,0.85,high,https://www.bluepillow.com/search/6949716c5c042e01bacc4f88/1205983103?dest=bkng&cat=House&lat=-6.88285&lng=107.57943&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/690437786.jpg?k=723910f467a6dc6ea37a1ecd5249bf6bf5bf1708f6b8017f64cb9e910967cb7f&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00150,Budi House Food Station - Superior Double Room,room_level_listing,,,child_without_final_parent,False,-6.8908,107.559,1.85,6,283335,0.8,high,,https://static.cupid.travel/hotels/ex_d396a364_z.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00206,OYO 2088 Grha Blue Sky Syariah - Standard Double Room,room_level_listing,LODGE-00082,Grha Blue Sky,accepted_parent,False,-6.8843,107.5781,,,106094,0.75,high,https://www.bluepillow.com/search/67d16617a21d9499fe8fc21e?dest=nuit&cat=apartment&lat=-6.8843&lng=107.57808&language=en,https://static.cupid.travel/hotels/ex_fb24067c_z.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00239,Little Blue House - Queen Room,room_level_listing,,,child_without_final_parent,False,-6.8452,107.5457,,,,0.7,medium,https://www.bluepillow.com/search/6626441a4338d48a8fc7c054?dest=bkng&cat=House&lat=-6.84516&lng=107.54574&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/530817533.jpg?k=6372d159fbf1a9ad3569d2ae96579fee5f971b9fa1b229508bd38ad5bd973a49&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00257,ZEN Rooms Cibogo Pasteur,room_level_listing,,,child_without_final_parent,False,-6.889233,107.579627,4.1,21,,0.68,medium,https://www.zenrooms.com/id/hotel/8/zen-rooms-cibogo-pasteur-bandung-938?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1NnD7lmi_hSJEJZe6As7SFDnfDs3Nt2lmufV2N-VcTNN1z7eC7UVlQbGtm-jCg526nn2vUWpt3j6Jm8R4MLCov0luL0DgW7DfLmN2qgW1LyQ_OdGk18O3n6r7FAPjLJ22R5ml=s10000,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
