relation_id,manual_decision,decision_source,is_final_relation,child_penginapan_id,child_name,child_property_type,parent_penginapan_id,parent_name,parent_property_type,relation_type,confidence_score,confidence_label,match_basis,evidence,notes
PCRF-20260605-0001,accept,manual_review_google_check_2026_06_05,True,LODGE-00120,Sans Stay Skyland Pasteur Bandung - Deluxe Double Room,room_level_listing,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,hotel,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0002,accept,manual_review_google_check_2026_06_05,True,LODGE-00121,Sans Stay Skyland Pasteur Bandung - Standard Double Room,room_level_listing,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,hotel,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0003,accept,manual_review_google_check_2026_06_05,True,LODGE-00206,OYO 2088 Grha Blue Sky Syariah - Standard Double Room,room_level_listing,LODGE-00082,Grha Blue Sky,hotel,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0004,accept,manual_review_google_check_2026_06_05,True,LODGE-00546,Vila Kopi Ciwidey - Family Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0005,accept,manual_review_google_check_2026_06_05,True,LODGE-00596,Vila Kopi Ciwidey - Family Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0006,accept,manual_review_google_check_2026_06_05,True,LODGE-00597,Vila Kopi Ciwidey - King Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0007,accept,manual_review_google_check_2026_06_05,True,LODGE-00873,Bantal Guling Trans - Standard Double Room with Fan,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,room_of,0.66,medium,near_coordinate_and_medium_name_overlap,Koordinat dekat dan overlap nama sedang.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0008,accept,manual_review_google_check_2026_06_05,True,LODGE-00874,Bantal Guling Trans - Standard Family Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0009,accept,manual_review_google_check_2026_06_05,True,LODGE-00875,Bantal Guling Trans - Superior Family Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0010,accept,manual_review_google_check_2026_06_05,True,LODGE-01113,Bantal Guling Trans - Family Triple Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0011,accept,manual_review_google_check_2026_06_05,True,LODGE-00998,RedDoorz Syariah near BTC Fashion Mall - Standard Double Room,room_level_listing,LODGE-00997,RedDoorz Syariah near BTC Fashion Mall,hotel,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0012,accept,manual_review_google_check_2026_06_05,True,LODGE-01174,RedDoorz Plus near Asia Afrika 3 - Deluxe Room,room_level_listing,LODGE-01306,RedDoorz Plus near Asia Afrika 3,hotel,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
PCRF-20260605-0013,accept,manual_review_google_check_2026_06_05,True,LODGE-01544,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz - Standard Twin Room,room_level_listing,LODGE-01388,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz,hotel,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,Nama panjang dipahami sebagai nama properti + tipe kamar OTA.
