location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,needs_manual_review,review_reason,label_reason,label_scores_json,label_source,review_status,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,final_primary_intent,final_core_labels,final_secondary_labels,final_avoid_labels,curation_action,display_status,is_active_verified,manual_review_confidence,curation_note,final_label_source,price_verified,night_verified,indoor_verified,child_friendly_verified,qa_flag_reason,parking_verified,wheelchair_accessible_verified,toilet_verified,mushola_verified,pet_friendly_verified,open_24h_verified,crowd_level,shopping_subtype,coordinate_verified,distance_from_alun_alun_km,coordinate_audit_reason,safety_verified,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available,media_available,media_image_url,media_destination_url,media_website,media_source,media_place_id,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note,kota_kabupaten,kecamatan
LODGE-00007,Villa Soli Deo Gloria,Santai,,,,,-6.6295,107.5543,1017687.0,,,,,Penginapan berjenis Villa bernama Villa Soli Deo Gloria berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Dapur; Kolam renang luar; Teras; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis.,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787792/muterbandung/penginapan/LODGE-00007_main.jpg,https://www.expedia.com/Hotel.h83347926.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,,,,,,,,,Unknown,Unknown
LODGE-00008,Villa Tepi Bukit,Santai,,,,,-6.7639,107.0594,2417535.0,,,,,Penginapan berjenis Villa bernama Villa Tepi Bukit berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Dapur; TV Kabel; Parkir gratis.,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787819/muterbandung/penginapan/LODGE-00008_main.jpg,https://www.bluepillow.com/search/655205031811a9820ec31084?dest=ago&cat=House&lat=-6.76392&lng=107.05941&language=en,,,,,,,,,Unknown,Unknown
LODGE-00010,Wildan Guesthouse,Santai,,4.835833789872341,47.0,Positif,-6.8017,107.0619,1379101.0,,,,,Penginapan berjenis Guest_House bernama Wildan Guesthouse berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Gym; Dapur; Parkir gratis; Wi-Fi gratis.,,Guest_House,,,,,,,,,,,4.6,17.0,0.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787833/muterbandung/penginapan/LODGE-00010_main.jpg,https://www.agoda.com/wildan-guesthouse/hotel/puncak-id.html,,,,,,,,,Unknown,Unknown
LODGE-00015,Lavin Soka Homestay - Tent,Santai,,,,,-6.7204,107.3809,,,,,,Penginapan berjenis Guest_House bernama Lavin Soka Homestay - Tent berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis.,,Guest_House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787844/muterbandung/penginapan/LODGE-00015_main.jpg,https://www.bluepillow.com/search/68e3dd51f93025efadacb0e4?dest=nuit&cat=House&lat=-6.7204&lng=107.38087&language=en,,,,,,,,,Unknown,Unknown
LODGE-00037,Homestay Budihouse,Santai,,4.415465425699949,576.0,Positif,-6.8908,107.5589,193998.0,,,,,Penginapan berjenis Guest_House bernama Homestay Budihouse berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Kid-friendly; Smoke-free property.,,Guest_House,,,,,,,,,,,4.1,13.0,2.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781803312/muterbandung/penginapan/LODGE-00037_main_forced.png,http://www.budihouse.id/,,,,,,,,,Unknown,Unknown
LODGE-00038,Hotel Cassadua,Santai,,,939.0,,-6.8898,107.5783,170597.0,,,,,Penginapan berjenis Hotel bernama Hotel Cassadua berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Free Wi-Fi; Free parking; Air conditioning; Full-service laundry; Kid-friendly.,,Hotel,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787853/muterbandung/penginapan/LODGE-00038_main.jpg,https://www.oyorooms.com/h/103521?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG204&latitude=-6.88979&longitude=107.5782&locale=id,,,,,,,,,Unknown,Unknown
LODGE-00039,Javaretro Hotel & Suite,Santai,,,463.0,,-6.8885,107.5773,391184.0,,,,,Penginapan berjenis Hotel bernama Javaretro Hotel & Suite berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry; Kid-friendly.,,Hotel,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787869/muterbandung/penginapan/LODGE-00039_main.jpg,http://www.javaretrohotel.com/,,,,,,,,,Unknown,Unknown
LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,Santai,,,6.0,,-6.8695,107.4571,1390000.0,,,,,Penginapan berjenis Villa bernama Naomi Home Villa Bandung near Wahoo & Whoosh berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Dapur; Microwave; Bebas asap rokok; Mesin cuci.,,Villa,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787890/muterbandung/penginapan/LODGE-00042_main.jpg,https://www.booking.com/hotel/id/naomi-home-near-wahoo-amp-whoosh.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-11214317&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-11214317_grp-1_gendate-20260524,,,,,,,,,Unknown,Unknown
LODGE-00044,RedDoorz @ Amellia Pasteur Bandung,Santai,,,259.0,,-6.8857,107.5785,134098.0,,,,,Penginapan berjenis Hotel bernama RedDoorz @ Amellia Pasteur Bandung berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kid-friendly.,,Hotel,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787892/muterbandung/penginapan/LODGE-00044_main.jpg,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/sukajadi/sukawarna/reddoorz-near-setrasari-mall-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,,,,,,,,,Unknown,Unknown
LODGE-00045,RedDoorz near Setrasari mall 4,Santai,,,161.0,,-6.8808,107.5792,130091.0,,,,,Penginapan berjenis Hotel bernama RedDoorz near Setrasari mall 4 berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Wi-Fi; Free parking; Air conditioning; Kid-friendly.,,Hotel,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787907/muterbandung/penginapan/LODGE-00045_main.jpg,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/surya-sumantri/ji.-sutami/reddoorz-near-setrasari-mall-4?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,,,,,,,,,Unknown,Unknown
