landmark_name,aliases,latitude,longitude,landmark_type
Stasiun Bandung,stasiun bandung;stasiun hall;station bandung,-6.914864,107.602563,transport
Gedung Sate,gedung sate,-6.902481,107.618811,landmark
Alun-Alun Bandung,alun-alun bandung;alun alun bandung;alun-alun kota bandung;alun alun kota bandung,-6.921765,107.607069,landmark
Braga,braga;jalan braga;jl braga,-6.916842,107.609713,area
Lembang,lembang;pusat lembang,-6.811900,107.617700,area
Dago,dago;kawasan dago,-6.883000,107.613000,area
Ciwidey,ciwidey;kawasan ciwidey,-7.100600,107.446900,area
Pangalengan,pangalengan;kawasan pangalengan,-7.181000,107.572900,area
Jatinangor,jatinangor;kawasan jatinangor;jatinangor national park,-6.918795,107.769342,area
Bandung Utara,bandung utara,-6.8333,107.6167,area
Bandung Selatan,bandung selatan,-7.0333,107.5333,area
Bandung Timur,bandung timur,-6.9167,107.7167,area
Bandung Barat,bandung barat;kbb,-6.8500,107.4500,area
