location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,needs_manual_review,review_reason,label_reason,label_scores_json,label_source,review_status,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,final_primary_intent,final_core_labels,final_secondary_labels,final_avoid_labels,curation_action,display_status,is_active_verified,manual_review_confidence,curation_note,final_label_source,price_verified,night_verified,indoor_verified,child_friendly_verified,qa_flag_reason,parking_verified,wheelchair_accessible_verified,toilet_verified,mushola_verified,pet_friendly_verified,open_24h_verified,crowd_level,shopping_subtype,coordinate_verified,distance_from_alun_alun_km,coordinate_audit_reason,safety_verified,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available,media_available,media_image_url,media_destination_url,media_website,media_source,media_place_id,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note,kota_kabupaten,kecamatan
LODGE-00007,Villa Soli Deo Gloria,Santai,,,,,-6.6295,107.5543,1017687.0,,,,,Penginapan berjenis Villa bernama Villa Soli Deo Gloria berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Dapur; Kolam renang luar; Teras; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis.,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787792/muterbandung/penginapan/LODGE-00007_main.jpg,,,,https://placehold.co/800x600/png?text=Villa%20Soli%20Deo%20Gloria,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00008,Villa Tepi Bukit,Santai,,,,,-6.7639,107.0594,2417535.0,,,,,Penginapan berjenis Villa bernama Villa Tepi Bukit berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Dapur; TV Kabel; Parkir gratis.,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787819/muterbandung/penginapan/LODGE-00008_main.jpg,,,,https://placehold.co/800x600/png?text=Villa%20Tepi%20Bukit,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00010,Wildan Guesthouse,Santai,,4.835833789872341,47.0,Positif,-6.8017,107.0619,1379101.0,,,,,Penginapan berjenis Guest_House bernama Wildan Guesthouse berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Gym; Dapur; Parkir gratis; Wi-Fi gratis.,,Guest_House,,,,,,,,,,,4.6,17.0,0.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787833/muterbandung/penginapan/LODGE-00010_main.jpg,,,,https://placehold.co/800x600/png?text=Wildan%20Guesthouse,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00015,Lavin Soka Homestay - Tent,Santai,,,,,-6.7204,107.3809,,,,,,Penginapan berjenis Guest_House bernama Lavin Soka Homestay - Tent berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis.,,Guest_House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787844/muterbandung/penginapan/LODGE-00015_main.jpg,,,,https://placehold.co/800x600/png?text=Lavin%20Soka%20Homestay%20-%20Tent,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00037,Homestay Budihouse,Santai,,4.415465425699949,576.0,Positif,-6.8908,107.5589,193998.0,,,,,Penginapan berjenis Guest_House bernama Homestay Budihouse berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Kid-friendly; Smoke-free property.,,Guest_House,,,,,,,,,,,4.1,13.0,2.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,,,,,https://placehold.co/800x600/png?text=Homestay%20Budihouse,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00038,Hotel Cassadua,Santai,,,939.0,,-6.8898,107.5783,170597.0,,,,,Penginapan berjenis Hotel bernama Hotel Cassadua berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Free Wi-Fi; Free parking; Air conditioning; Full-service laundry; Kid-friendly.,,Hotel,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787853/muterbandung/penginapan/LODGE-00038_main.jpg,,,,https://placehold.co/800x600/png?text=Hotel%20Cassadua,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00039,Javaretro Hotel & Suite,Santai,,,463.0,,-6.8885,107.5773,391184.0,,,,,Penginapan berjenis Hotel bernama Javaretro Hotel & Suite berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry; Kid-friendly.,,Hotel,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787869/muterbandung/penginapan/LODGE-00039_main.jpg,,,,https://placehold.co/800x600/png?text=Javaretro%20Hotel%20%26%20Suite,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,Santai,,,6.0,,-6.8695,107.4571,1390000.0,,,,,Penginapan berjenis Villa bernama Naomi Home Villa Bandung near Wahoo & Whoosh berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Dapur; Microwave; Bebas asap rokok; Mesin cuci.,,Villa,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787890/muterbandung/penginapan/LODGE-00042_main.jpg,,,,https://placehold.co/800x600/png?text=Naomi%20Home%20Villa%20Bandung%20near%20Wahoo%20%26%20Whoosh,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00044,RedDoorz @ Amellia Pasteur Bandung,Santai,,,259.0,,-6.8857,107.5785,134098.0,,,,,Penginapan berjenis Hotel bernama RedDoorz @ Amellia Pasteur Bandung berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kid-friendly.,,Hotel,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787892/muterbandung/penginapan/LODGE-00044_main.jpg,,,,https://placehold.co/800x600/png?text=RedDoorz%20%40%20Amellia%20Pasteur%20Bandung,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00045,RedDoorz near Setrasari mall 4,Santai,,,161.0,,-6.8808,107.5792,130091.0,,,,,Penginapan berjenis Hotel bernama RedDoorz near Setrasari mall 4 berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Wi-Fi; Free parking; Air conditioning; Kid-friendly.,,Hotel,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787907/muterbandung/penginapan/LODGE-00045_main.jpg,,,,https://placehold.co/800x600/png?text=RedDoorz%20near%20Setrasari%20mall%204,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
