"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Aktivitas di sekitar","reviewContext/Area untuk berjalan kaki","reviewContext/Detail penting","reviewContext/Gaya yang diminta","reviewContext/Grup perjalanan","reviewContext/Harga","reviewContext/Jenis perjalanan","reviewContext/Kamar","reviewContext/Keamanan","reviewContext/Layanan","reviewContext/Makanan & minuman","reviewContext/Positif","reviewContext/Sorotan hotel","reviewContext/Tarif per orang","reviewContext/Tingkat kebisingan","reviewContext/Ukuran grup","reviewContext/Waktu tunggu","reviewDetailedRating/Kamar","reviewDetailedRating/Layanan","reviewDetailedRating/Lokasi","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Syifa Syila","Jatisari, Kecamatan Buahbatu","id","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"seminggu lalu","2026-05-28T02:56:39.156Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25kWFltTTFiRFZOTW05QlpFOU5VM1pLZFRsVFVtYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kWFltTTFiRFZOTW05QlpFOU5VM1pLZFRsVFVtYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOndXYmM1bDVNMm9BZE9NU3ZKdTlTUmc%7C%7C?hl=id","109403047895067645383","1","https://lh3.googleusercontent.com/a/ACg8ocKpMjV0Cnufv87GqNlJxKWIrNQyN-hQBNFGQx6o_R4lJS0ltg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109403047895067645383?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","5","Jawa Barat","Jl. Soekarno-Hatta No.689","false","Karena 1 harinya mencapai 6 juta
Wajar kan 3 jam 100 ribu
Suasananya juga asik sih banyak presto yang masakan nya tuh em enak banget
Kalo kalian pengen ke sini kunjungi
Resto poexi di situ banyak jenis makanan pokoknya enak, seru deh di situ",,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","true","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","yusti yusti","Jatisari, Kecamatan Buahbatu",,"false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"seminggu lalu","2026-05-28T01:01:33.415Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pKcVJYUnhURzFpZVd4UGIyWjBYemxzVjI5a2JYYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKcVJYUnhURzFpZVd4UGIyWjBYemxzVjI5a2JYYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOjJqRXRxTG1ieWxPb2Z0XzlsV29kbXc%7C%7C?hl=id","111988283965361091016","397","https://lh3.googleusercontent.com/a-/ALV-UjXXYvVl3SBzPlCnmv-hqDfVGG_DdTduSE3om8RZvbpkLD5xGYn8dw=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/111988283965361091016?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","4","Jawa Barat","Jl. Soekarno-Hatta No.689","false",,,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Arif Prasetyo","Jatisari, Kecamatan Buahbatu","id","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"3 minggu lalu","2026-05-11T17:46:48.177Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2psdFZGSXhaMHB4TlU0eFVGVkhiREZRUWsxUmJVRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psdFZGSXhaMHB4TlU0eFVGVkhiREZRUWsxUmJVRRAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOjltVFIxZ0pxNU4xUFVHbDFQQk1RbUE%7C%7C?hl=id","108170510404272646982","4","https://lh3.googleusercontent.com/a/ACg8ocIfl_bBYluz4a1V2y6HQS5E4GaNeTeUbSfpLjX72I-UzYla=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108170510404272646982?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","1","Jawa Barat","Jl. Soekarno-Hatta No.689","false","Satpam nya tukang malak saya dari loby mau ke room masa di palak 100rb apalagi satpam yang muda rese nya minta ampun !",,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","true","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Ann Ida","Jatisari, Kecamatan Buahbatu","id","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-05-03T01:04:20.671Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21SdFREYzNhaTFVUjE5aFRXRmFhbVkzUlROVlRsRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn3arErabaLpDtqwwo_1xCwnDjLHBgFvO1g1TqVU3y9XMzuyCLBNF6lW_70JqtFfaiKclagT5E7Llvvdq95SjwHJFwOQ1hbFZrGor4Svd926B7yWo2LYQ1PoIH1x6KAALGbOT72ELdEiGMoV=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1rEjZ06XuhUNoIVdMF0BKKdqUHCiuXPasZqkxdwsJATgLqTZ9DZoosKI8A6a4OAMqk3G0D5_B0oOSTH-uFJCULIcfv9g2n4YhTkh31ff460WJrnJ_nb5y_77wd5mfKyeANvBFeqNvb6sf1=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0DI3LAt9oD50kBLt4i0SUKiDI1yAEBqXNzc1ADakx7K-4QsYtH-WbJiTp2XGX7Q9vSZwPQn7drWLGd4t18Bv3cdlNVvyGEPO-iIM7W04LDGGgg4WFUSd1xZ4JqTVJO5Ws5WnLgF_ddweE=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2BBOVJ40npIZYpoBnBEtZq65JsYRSPcw0AGmVXEOW7-A6iFBNvTD6fk7O8mVFA21QVg5inOj9pyBiejbb71OHjxanc1lJFrzbwBDlNvY5Z2kYyo84k-QRLYxRtDmlgOfKDaZAfx1yfOYNs=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0YedSyW7_pg8jFiW3mbDtYxCdS_QUIdYWNJapjFuk7E0riO117srcoHUmQVOyHhFRppOA6zu4lDBVVK9euJXbkXhGs8XDWtZIqHXKVwzmiPFif91HDvzKRdZYiiVEuZ9YjoSWzXA1QyvHu=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0ibZypDfCvbxrRcwH3x34CDTsd8meBVBAM8OOJ5NzWQbjh_8YAr8ZOhh6AJis2eXBcU1ejrjYQcaVU5QSW6xaRgZDdlpcd4nk6WzadnRGJ7f3iAg60J7Y9hbXnQghAJHWcxLI6iCeBMpbD=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3wsliOxQU4Gj3XsRaHQ1eCIYbSLOe0X5i8QY7NRlSnYAEoH-Dq0Qc_KK3GAFwnsMupWLJAqCVLoz1MrCSaXdlVL5NG2cQHRgfHFYvwCrvr_hKjenDSG_BijoCtc-okzWzdIeKHiteKGjJB=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SdFREYzNhaTFVUjE5aFRXRmFhbVkzUlROVlRsRRAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOmRtTDc3ai1UR19hTWFaamY3RTNVTlE%7C%7C?hl=id","103218147057310017738","83","https://lh3.googleusercontent.com/a/ACg8ocILGjvqucoRK2i8T0Hha7mbFX47rhiXv3vvJd6KaJdfBJaUa98=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/103218147057310017738?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","4","Jawa Barat","Jl. Soekarno-Hatta No.689","false","Coba cari pengalaman disini mumpung liburan...dpt dr salman property,Krn long week end dpt hrg high dan dadak bgt booking dihr itu jg... apartment yg hidup bgt ramai dan pinggir jln by pass Soekarno Hatta yg g ada sepinya...kmn2 dkt,parkir dihitung per jam utk mobil 3k/jam sy dpt kamar lantai 6 didlmnya trdpt kompor alat masak galon kulkas AC TV smart yg byk channel utk kamar Alhamdulillah nyaman...cm yg kurang di kmr mandi shower nya g fungsi dan water heater tdk fungsi jg...smg next ada perbaikan...kamar wangi dan bersih...o ya apartment ini pun dilengkapi dgn kolam renang outdoor yg lmyn luas yah jd bs berenang sepuasnya selama stay disini jgn lupa jg mesjidnya recommended bgt sy suka berada didlm masjid Al Mansyur ini ibadah lbh khusuk dan lmyn bsr jg...",,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Dzaki Hyruzen","Jatisari, Kecamatan Buahbatu","id","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-05-03T00:01:17.002Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2psU05YZHFhRmsyWWt4d2JrcEpaV1JJV1U5c1NXYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psU05YZHFhRmsyWWt4d2JrcEpaV1JJV1U5c1NXYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOjlSNXdqaFk2YkxwbkpJZWRIWU9sSWc%7C%7C?hl=id","111016650880698114144","2","https://lh3.googleusercontent.com/a-/ALV-UjW31CigwY1xCSODiyAtQwpKxhKZWLjnES4N3eH96SQkOPmDm44X=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111016650880698114144?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","1","Jawa Barat","Jl. Soekarno-Hatta No.689","false","bagi saya apartemen nya mungkin memang woth it untuk segi tempat dan kawasan.Saya kesel dengan area parkir mungkin memang jika helm di tinggal di motor hilang jadi tanggung jawab kita, sedangkan ketika saya minta reply cctv katanya gabisa di rewind. Seenggaknya untuk cctv masih bisa membantu karna posisi helm itu jelas tersorot cctv apa karna mereka membodo amat kan kejadian kejadian kaya gini?
petugas parkir nya ada lebih dari satu orang tapi dari itu tidak asa satupun yang berani buat nge cek atau pun mantau posisi karna saya check in tanggal 2 mei pukul 20.29 smpe saya check out jam 12 tanggal 3 mei itu sudah tidak ada. Saya tidak menyalahkan pihak apartement atau pihak pihak yang lainnya tapi ini menyangkut kerja tugas seorang petugas parkir basemant apart, coba sedikit di ketat kan area parkir nya terima kasih.",,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","true","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","abu jahal","Jatisari, Kecamatan Buahbatu","id","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-04-28T03:03:20.811Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT210cU5FUTBibTB3YUZvNU5FWlFaVkpEZEZNMFJHYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210cU5FUTBibTB3YUZvNU5FWlFaVkpEZEZNMFJHYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOmtqNEQ0bm0waFo5NEZQZVJDdFM0RGc%7C%7C?hl=id","111933694929770980286","13","https://lh3.googleusercontent.com/a-/ALV-UjUzBz3bPuUallUNWSiVJLbH_0ivdlYAdUzY-5Qnscm3UqW8WA=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/111933694929770980286?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","4","Jawa Barat","Jl. Soekarno-Hatta No.689","false","apartemen ekonomis tp agak kumuh dikit. lumayan kalo cuma untuk bobo doang. suasana agak tenang, ga berisik jadi bisa istirahat tenang.",,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","true","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","雨Nae","Jatisari, Kecamatan Buahbatu",,"false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-04-26T02:05:55.616Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21sQ01VOHRiVEI0TTJwQldEZDJjR0ZtY1d0U1NtYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sQ01VOHRiVEI0TTJwQldEZDJjR0ZtY1d0U1NtYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOmlCMU8tbTB4M2pBWDd2cGFmcWtSSmc%7C%7C?hl=id","106734704784556069305","23","https://lh3.googleusercontent.com/a-/ALV-UjWPnbSGMTAEyFaozYgrPAb5cOmCVac5qhPv25Fs4ek7kTCOot3n=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/106734704784556069305?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","1","Jawa Barat","Jl. Soekarno-Hatta No.689","false",,,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Sandi Mirajullmi","Jatisari, Kecamatan Buahbatu",,"false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-04-15T07:58:50.034Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xvemVITjJSWEI1Y1cxd2NGRmxRbmhWZVV4eVlXYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xvemVITjJSWEI1Y1cxd2NGRmxRbmhWZVV4eVlXYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOlozeHN2RXB5cW1wcFFlQnhVeUxyYWc%7C%7C?hl=id","105024398761087070112","0","https://lh3.googleusercontent.com/a-/ALV-UjXWZjIwUjtBPX795Vs-XIgXqTqzlrSwIwiWPDrlF2tBngSCI7B7=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105024398761087070112?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","5","Jawa Barat","Jl. Soekarno-Hatta No.689","false",,,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Hardy Soedarwo","Jatisari, Kecamatan Buahbatu","en","false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"sebulan lalu","2026-04-15T05:55:09.804Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xoeVNubDJRa3QwVERSamJHWnRaazlvWVV4amExRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoeVNubDJRa3QwVERSamJHWnRaazlvWVV4amExRRAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOlhySnl2Qkt0TDRjbGZtZk9oYUxja1E%7C%7C?hl=id","101338472410690666609","5","https://lh3.googleusercontent.com/a-/ALV-UjXBKEMiqfciN9P1YyGPrGbo0qYG3Zn1sIBvJJXSQLn_RoAtZEQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101338472410690666609?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","3","Jawa Barat","Jl. Soekarno-Hatta No.689","false","The condition of the lobby is a bit dirty.  Only one elevator works.  Token for lift, not working.  Corridor cleanliness is clean.","Kondisi lobi agak kotor. Hanya satu lift yang berfungsi. Token lift tidak berfungsi. Kebersihan koridor cukup baik.","The Suites @Metro.","3.4","id","https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
"Jl. Soekarno-Hatta No.689, Jatisari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Apartemen sewa liburan",,,,,,,"Apartemen sewa liburan","5064755335284402740","Kota Bandung","ID","0x2e68e9462408c6c1:0x4649a024a9e42a34",,"http://pix8.agoda.net/property/28673611/0/2d5404c1c61eb43f6833c7e691bbcf5a.jpeg?ce=3","false","false","/g/11ht5nf1zd","id","0","-6.9394393","107.6583886","Yatini Atin","Jatisari, Kecamatan Buahbatu",,"false","ChIJwcYIJEbpaC4RNCrkqSSgSUY","40286",,"2 bulan lalu","2026-03-20T17:19:13.916Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21oSVJGSm9lVmRVZFMxcU1WcFFhVVJZVG1GWVdIYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oSVJGSm9lVmRVZFMxcU1WcFFhVVJZVG1GWVdIYxAB!2m1!1s0x0:0x4649a024a9e42a34!3m1!1s2@1:CAIQACodChtycF9oOmhIRFJoeVdUdS1qMVpQaURYTmFYWHc%7C%7C?hl=id","107533000277271524364","1","https://lh3.googleusercontent.com/a/ACg8ocJ-J8J-YofGa_AC8lpH_v7hrCxOO3wSe5a0drdN_W8wGVRSfQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107533000277271524364?hl=id","74","2026-06-06T05:25:27.711Z","Strategic and Nice Studio Apartment at Suites @Metro By Travelio -6.9379,107.6592","5","Jawa Barat","Jl. Soekarno-Hatta No.689","false",,,"The Suites @Metro.","3.4",,"https://www.google.com/maps/search/?api=1&query=The%20Suites%20%40Metro.&query_place_id=ChIJwcYIJEbpaC4RNCrkqSSgSUY",
