"address","categories/0","categories/1","categories/2","categories/3","categories/4","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Aktivitas di sekitar","reviewContext/Area untuk berjalan kaki","reviewContext/Detail penting","reviewContext/Grup perjalanan","reviewContext/Jenis perjalanan","reviewContext/Kamar","reviewContext/Keamanan","reviewContext/Makanan & minuman","reviewContext/Sorotan hotel","reviewDetailedRating/Kamar","reviewDetailedRating/Layanan","reviewDetailedRating/Lokasi","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Putu Triariningsih","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","3 hari lalu","2026-06-03T03:43:59.569Z",,,,,,,"Keluarga","Liburan",,,,"Harga terbaik","5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2pjNGRWOTViM3A0WTJ4V1lteHpjWEJKVTJkd1FtYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pjNGRWOTViM3A0WTJ4V1lteHpjWEJKVTJkd1FtYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOjc4dV95b3p4Y2xWYmxzcXBJU2dwQmc%7C%7C?hl=id","113310608360129091500","14","https://lh3.googleusercontent.com/a-/ALV-UjWqVuvUCurdklLiLNErTRqeaWDENY45Ty2PIdntRWKRKhDJVpstvA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113310608360129091500?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false","Kamarnya nyaman, kebersihan terjaga, makanan enak dan staf yang selalu siap siaga membantu dengan senyuman. Lokasinya tepat di depan stasiun Bandung. Sangat direkomendasikan dan pasti akan kembali lagi 😊",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Jelita Jelita","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","4 hari lalu","2026-06-02T04:58:56.511Z",,,,,,,,"Liburan",,,,,"1","1",,"Ci9DQUlRQUNvZENodHljRjlvT2xkMmNrMW9PRFoxY1RObFpubG9ZV3RLTVZocWRWRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkMmNrMW9PRFoxY1RObFpubG9ZV3RLTVZocWRWRRAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOld2ck1oODZ1cTNlZnloYWtKMVhqdVE%7C%7C?hl=id","112452731417992044643","3","https://lh3.googleusercontent.com/a/ACg8ocKiBcBEldOd01CQq7mxL1KT_z7WqpcVBQSYNpqcqBVyG0agvQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112452731417992044643?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","1","Jawa Barat","Jl. Kebon Kawung No.16","false","Kamar yg kotor , kamar mandi kotor
Saya minta jawaban kenapa di jual kamar ke pengunjung , bila kotor / maintenance belum siap
Tidak ada respon dr pihak manajemen

Wasalam deh",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Ligar undergod","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","5 hari lalu","2026-06-01T04:34:48.502Z",,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2t0Wldrd3hVbWRXYW1oRGNGOUpZbFpKWkhZMFFsRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0Wldrd3hVbWRXYW1oRGNGOUpZbFpKWkhZMFFsRRAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOktZWkwxUmdWamhDcF9JYlZJZHY0QlE%7C%7C?hl=id","101659911457582884539","5","https://lh3.googleusercontent.com/a-/ALV-UjW9hh07uXU1df9mCxgBR8Pm5FAS4kr2O4xcGd_v1rF7IlBARdbh=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101659911457582884539?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false","Mantapo",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","true","/g/11b73wvw46","id","0","-6.9123731","107.6027986","R A","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","2 minggu lalu","2026-05-21T13:31:43.763Z",,,,,,,"Tunggal","Liburan",,,,"Mewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak, Harga terbaik","5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2xRek9XaFZObE10Um1ad09VdEdaVVI1WDFBNGVYYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xRek9XaFZObE10Um1ad09VdEdaVVI1WDFBNGVYYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOlQzOWhVNlMtRmZwOUtGZUR5X1A4eXc%7C%7C?hl=id","100301106280507464670","34","https://lh3.googleusercontent.com/a-/ALV-UjVpbFJL3P3SeUB0HQUvqFtccQvW75d7k7gjMjW4nFbVtn7dAz9G=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/100301106280507464670?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false","pliss mau nginep disini lagi kalau kebandung. sebrang stasiun bandung, deket kemana mana, kulineran juga banyak sekali
hotelnya sangat nyaman, bersih, dan pelayanannya baik. cuma gabisa check in awal kalau pas liburan karna kamarnya “mungkin” lagi dibersihkan.",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Tyas","Pasir Kaliki, Kecamatan Cicendo",,"false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","2 minggu lalu","2026-05-19T09:04:25.386Z",,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21SNmJVcHlSakJVYkhOcWEwOWlaVGQxU1ZkblMyYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn1TlpfC9QkqDhNlNJ9XQ0GexRMY-RloZyEcergCIO1BMpAYfPdLQzC1uQi0RpdujWpMyezE_sEpwRt-WuxeWwwb6xFUc0qtPFgnHUGimthvoRUdYCx1-8aqrBTDT5yjFMTtr7dBktvC2aiF=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn01DEqwg4LD98IRNVm57jVJEpQ28U9tqZHRoOlRf72xqnqsSesIMD2R8LyYL5mNn43fHi3JFqidZAJFx_3J3kEghYi_ErHRIjb1w8n2Oerr66Q24PUFqvOfFtu4dLkhine3fuwkaUz9qsY=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SNmJVcHlSakJVYkhOcWEwOWlaVGQxU1ZkblMyYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOmR6bUpyRjBUbHNqa09iZTd1SVdnS2c%7C%7C?hl=id","113951899871328410163","6","https://lh3.googleusercontent.com/a-/ALV-UjWMkntBFsapzR23X9U9HIFGpbcxd4WbaP7nwXNCBXqw6W7rp2C_Tw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113951899871328410163?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false",,,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","true","/g/11b73wvw46","id","0","-6.9123731","107.6027986","lisa inawati","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","2 minggu lalu","2026-05-17T08:02:25.104Z",,,,,,,,,,,,"Harga terbaik","5","4","5","Ci9DQUlRQUNvZENodHljRjlvT21sR2RIbEdTbGhXVEhReFVqTmhiRkpwWmtGaVoyYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0h0drcweosBM0TbwwgARyUWBhof7yZfKAsMwVok4SXrDDgN1o5E6X_7oRfLYXXYpO79G--VulmKl6ZjOgFYoSRBIurbNxruMmolQAZJaTmZHpBNIVZA9l2B5VUzVs0Evt7dLdcOYgaCKsG=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sR2RIbEdTbGhXVEhReFVqTmhiRkpwWmtGaVoyYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOmlGdHlGSlhWTHQxUjNhbFJpZkFiZ2c%7C%7C?hl=id","102598008122714334176","128","https://lh3.googleusercontent.com/a-/ALV-UjUi7FEcHkyb-coHePFKXioQmJy0q7By6KGmfnAnERb4knbsmTFKAg=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/102598008122714334176?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","4","Jawa Barat","Jl. Kebon Kawung No.16","false","Lokasi sangat strategis. Benar-benar persis di sebrang pintu utara stasiun Bandung.
Kamar lumayan nyaman, tidak ada keluhan apapun selama semalam menginap disana. Ac dingin, air panas menyala dan pembuangan air juga lancar.
Tidak pesan sarapan, tapi untuk pesan makanan online sangat mudah dan banyak jenis yg bisa dipesan",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","pramudya shanjaya","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","3 minggu lalu","2026-05-13T23:46:33.406Z",,,,,,,"Keluarga","Liburan",,,,"Harga terbaik","4","3","4","Ci9DQUlRQUNvZENodHljRjlvT2pOTGFrTndPWFpDVG01RFRteHRURFpuVm5RMlVsRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOTGFrTndPWFpDVG01RFRteHRURFpuVm5RMlVsRRAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOjNLakNwOXZCTm5DTmxtTDZnVnQ2UlE%7C%7C?hl=id","102002563892248755737","2","https://lh3.googleusercontent.com/a-/ALV-UjWJr07BzzazCqPed0_ZGMp4lav5lRdvrRmLZrGjnN2yQ4EgECjczQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102002563892248755737?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","4","Jawa Barat","Jl. Kebon Kawung No.16","false","Mandi g ada sabun",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Cahyaning Rahayu","Pasir Kaliki, Kecamatan Cicendo","id","false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","3 minggu lalu","2026-05-13T14:03:30.228Z",,,,,,,,,,,,,"5","4","5","Ci9DQUlRQUNvZENodHljRjlvT25Kbk0xa3hhREZ2UldseFpEUmhaMlJCUlMweFYyYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Kbk0xa3hhREZ2UldseFpEUmhaMlJCUlMweFYyYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOnJnM1kxaDFvRWlxZDRhZ2RBRS0xV2c%7C%7C?hl=id","100401487636890731900","2","https://lh3.googleusercontent.com/a-/ALV-UjXktMERWqetTRhnVmLZqiM2agqH-9NFMYhQ4OUA15dFWbind9g=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100401487636890731900?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","4","Jawa Barat","Jl. Kebon Kawung No.16","false","Kartu akses hanya bisa 1 lantai.rasanya sulit sekali jika saat rombongan dpt kamar yg beda lantai",,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Andy Triana Sip","Pasir Kaliki, Kecamatan Cicendo",,"false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","3 minggu lalu","2026-05-11T23:45:03.963Z",,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21kQ1NHeEhRbXhMY1hkV2FXNVNWVzloVTFSS1dsRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kQ1NHeEhRbXhMY1hkV2FXNVNWVzloVTFSS1dsRRAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOmdCSGxHQmxLcXdWaW5SVW9hU1RKWlE%7C%7C?hl=id","104808390496047641043","2","https://lh3.googleusercontent.com/a-/ALV-UjVttgKYjNG80vRmv0a90bozTUFKHwxbQlL9z24yuyhC80j9a1c=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104808390496047641043?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false",,,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
"Jl. Kebon Kawung No.16, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","Hotel",,,,,"Hotel","14392503641037667697","Kota Bandung","ID","0x2e68e63ebb2d3463:0xc7bc71ce8890fd71","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaTV9PC27PDP5y7pXyPfJnFsgZgGpReTjMqoJJd1ntDfrQxp5HiChp827ITGJlZVdm4UtRmvYwARR0X27Zoo6yaculXvGulXfMnWUbg_lJcJ8w-KHaaMl0Kv0aMK2aeTHrJQZP-cW_ijoc=w408-h392-k-no","false","false","/g/11b73wvw46","id","0","-6.9123731","107.6027986","Aditya","Pasir Kaliki, Kecamatan Cicendo",,"false","ChIJYzQtuz7maC4Rcf2QiM5xvMc","40171","US$15","3 minggu lalu","2026-05-11T12:13:36.768Z",,,,,,,"Tunggal","Liburan",,,,"Harga terbaik","5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2pGUGRWazVUa1JKZUU4dGNHdGZjRWRoU1c5WU4zYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGUGRWazVUa1JKZUU4dGNHdGZjRWRoU1c5WU4zYxAB!2m1!1s0x0:0xc7bc71ce8890fd71!3m1!1s2@1:CAIQACodChtycF9oOjFPdVk5TkRJeE8tcGtfcEdhSW9YN3c%7C%7C?hl=id","112845605677509004558","1","https://lh3.googleusercontent.com/a-/ALV-UjVobs3J67TytEX1-UHJpWVFGUftST3AJBy-Cwru9vA9qzXOBLU=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112845605677509004558?hl=id","4358","2026-06-06T05:43:49.890Z","Grand Sovia Hotel -6.9124,107.6028","5","Jawa Barat","Jl. Kebon Kawung No.16","false",,,"Grand Sovia Hotel","4.2",,"https://www.google.com/maps/search/?api=1&query=Grand%20Sovia%20Hotel&query_place_id=ChIJYzQtuz7maC4Rcf2QiM5xvMc",
