"address","categories/0","categories/1","categories/2","categories/3","categories/4","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Aktivitas di sekitar","reviewContext/Area piknik","reviewContext/Area untuk berjalan kaki","reviewContext/Detail penting","reviewContext/Grup perjalanan","reviewContext/Jenis perjalanan","reviewContext/Kamar","reviewContext/Keamanan","reviewContext/Kesesuaian untuk anjing","reviewContext/Makanan & minuman","reviewContext/Sebaiknya buat reservasi","reviewContext/Sorotan hotel","reviewContext/Tarif per orang","reviewContext/Toilet","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewDetailedRating/Kamar","reviewDetailedRating/Layanan","reviewDetailedRating/Lokasi","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Asih Asih","Lebakmuncang, Kecamatan Ciwidey","id","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"1 jam lalu","2026-06-06T04:49:50.924Z",,,,,,,,"Keluarga","Liburan",,,,,,"Pemandangan yang indah, Cocok untuk anak-anak",,,,,"5","5","5",,,"Ci9DQUlRQUNvZENodHljRjlvT20xUU1EUkRjazAzYlVacmJYYzFOVVpDTVRkUGVHYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn1fHbAfVGrGkgwOGSe1ZLwfJUi3hOzXQkZZND6ovFgcxcJs7Z2vDZeAKvGOW33Yi8rutcEIm-46jI9-j9TyOOBwEFcgBQkZ2pM-eVsZN5_D5yMWgpeDLs9RPEoPKNQLlbPCHuSaSNZjMZxb=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0c4wZCe6pKd8Qm6NIjXrs0EPqxepH0-8UYASEnnYNnSMMWwznWa2H7EnvIgTQr2Y-3D9aBV3OAqs39uv6FYHno37uWQcZojEdXGyyiHDDlRhA0unx9wrriIA4uRzyeESMvDAbMCh-06jtF=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3mBdfpGtAuntFLSCCaq_cN72X718aQhL3zNrIdyACTQ7rjDJmJn8g_thjkUPNhUe204XIijS_IBC3rxJjTa5xvHyk4AITx_wztR9mhGS6uHKXCoJ3SPcUtNy2obrj1ejnjWgoKEFK4ZlbA=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2A1tSXaM7RnWLO06KLZv4ugVzFtCFPPPHAUhjVGlvIYiN7fVwRx0he5LwGpVYsCNxrsAUs9gDEqOEMgAtJ0QiCPETNcKVdl90CRW-KpTj5L5kyGeeyHcibG7tYvrI_-6iMEHn7LrkjuNM=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3Tfw4v4_cjCFZmIFAVRKk504iRgIFgfzOxDmAePujXuFKkzW1eRYCFeH_ARqoypriq1YZM8f_5K2oGPtTXP2hCfMLsIHMsHGSyhwsjooxuSfON9UNdKf85dqA0iHn3W48tUGbacqw50Xmn=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2AkPjWeY8gWSybhHzUIx78T3MwbrlLsuxrS87Q8yi_1C1RmjZDiWgUgm7qFHGibPc41SYZ8p_m6TR89Tzjf2bCbaTLE6BN7zXlUMe9Yh7thG2zbl9ydenTRJQiCBo9CoGNw6vY5_T-oHV3=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xUU1EUkRjazAzYlVacmJYYzFOVVpDTVRkUGVHYxAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOm1QMDRDck03bUZrbXc1NUZCMTdPeGc%7C%7C?hl=id","116723057627015416473","28","https://lh3.googleusercontent.com/a/ACg8ocIce-RoENmmHfRkx8oh_-jrG4d5-she6FW_1o7jDN7wnmaPru_W=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/116723057627015416473?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false","Butuh perawatan. Cafe sudah tutup, sarapan dalam kotak",,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","false","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Ibnu Hajar","Lebakmuncang, Kecamatan Ciwidey",,"false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"4 hari lalu","2026-06-01T22:52:37.757Z",,,,,,,,"Pasangan","Liburan",,,,,,"Tenang",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pKMWVsOWtNekZXV0ZaMFl6WXRZM05aWVMxS04xRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKMWVsOWtNekZXV0ZaMFl6WXRZM05aWVMxS04xRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOjJ1el9kMzFWWFZ0YzYtY3NZYS1KN1E%7C%7C?hl=id","108568617440441230659","6","https://lh3.googleusercontent.com/a/ACg8ocI7ilWAs6ijt00lxpAD6_0HCRVbg2489pLsA6xkVkktqRuqug=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108568617440441230659?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","OWNER KOST","Lebakmuncang, Kecamatan Ciwidey","id","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"5 hari lalu","2026-06-01T03:37:07.763Z",,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2t0WVVEZExjVmhWVFc5RmFrVm5hM1U1ZGtsSldYYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0WVVEZExjVmhWVFc5RmFrVm5hM1U1ZGtsSldYYxAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOktYUDdLcVhVTW9FakVna3U5dklJWXc%7C%7C?hl=id","110616656508008287666","33","https://lh3.googleusercontent.com/a-/ALV-UjVz02E0FW-99mbGDy4B073wN0P2OXM0t2Wgc8Tkq8KZ2X6avBk=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/110616656508008287666?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false","Patuha Resort Pemilik, O ꖉ ᘖ I 𝟩 Ƽ Ƽ Ч ᘖ ꖉ O CHAT WHATSAP.
harap di screenshot nama kost,,alamat tempat saya agar tidak terlalu banyak chat.",,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Rengga Asmara","Lebakmuncang, Kecamatan Ciwidey",,"false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"2 minggu lalu","2026-05-22T13:00:59.760Z",,,,,,,,"Keluarga","Liburan",,,,,,,,,,,"5","4","3",,,"Ci9DQUlRQUNvZENodHljRjlvT2sxdGVVeE5ZbGh3Yld4ME5FY3dhR0ZvVkhwd2JFRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxdGVVeE5ZbGh3Yld4ME5FY3dhR0ZvVkhwd2JFRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOk1teUxNYlhwbWx0NEcwaGFoVHpwbEE%7C%7C?hl=id","108775936490993837195","3","https://lh3.googleusercontent.com/a-/ALV-UjXcpAsNTj_CV9vnyvU8H9eInR-h2bq98zbuPnchC4qjsJOPEeo=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/108775936490993837195?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","FAJAR MUHAMMAD SIDDIQ (JARE)","Lebakmuncang, Kecamatan Ciwidey","id","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"2 minggu lalu","2026-05-16T21:11:17.384Z",,,,,,,,,,,,,,,,,,,,"5","5","3",,,"Ci9DQUlRQUNvZENodHljRjlvT2tjeU1XUnliMmxKWjJsUFduWlpOMnd0TVUxemMzYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tjeU1XUnliMmxKWjJsUFduWlpOMnd0TVUxemMzYxAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOkcyMWRyb2lJZ2lPWnZZN2wtMU1zc3c%7C%7C?hl=id","107535969895830882558","24","https://lh3.googleusercontent.com/a-/ALV-UjVKk9PKFKOUtuV5OG-73yFLw7q2PNzY4oqVUKuoRNs77Q6xWMdI=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/107535969895830882558?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false","kamarnya keren. mantappp
hanya saja akses masuk dr pinggir jalan raya lumayan masuk jauh dan jalanannya belum mulus",,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","false","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Andary Agustin","Lebakmuncang, Kecamatan Ciwidey",,"false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"3 minggu lalu","2026-05-15T05:06:02.007Z",,,,,,,,"Keluarga","Liburan",,,,,,"Tenang",,,,,"5","5","5",,,"Ci9DQUlRQUNvZENodHljRjlvT25OUWRVdFphMjFTTkhkWWJuVndhWEpTZFhNNGJVRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OUWRVdFphMjFTTkhkWWJuVndhWEpTZFhNNGJVRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOnNQdUtZa21SNHdYbnVwaXJSdXM4bUE%7C%7C?hl=id","105624610265360779866","7","https://lh3.googleusercontent.com/a-/ALV-UjVF0JNbiBSTIAq00MiHv42YnCGrTl9JvTKpv1xuxqvODgCToCDN=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105624610265360779866?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","desi ayu triana","Lebakmuncang, Kecamatan Ciwidey","id","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"3 minggu lalu","2026-05-10T16:11:51.141Z",,,,"Kawah Putih dan Kebun Petik Strawberry",,,,"Teman","Bisnis","Ruangan kamarnya luas-luas bangetttt, ada meja dan lemari. Lantainya kayu, tapi sayang ada yg sedikit gompel. Kamar mandinya pake tangga turun gitu, lumayan bahaya sih kalo buru2 ke kamar mandi dan baru pertama kali ke sini. Pintu kamar mandinya agak ganggu vibes-nya yg rustic kayu2 gitu, karena tiba2 pintu kamar mandinya setengah warna putih. Wastafelnya bocor dan kerendahan, bikin kita terlalu nunduk, tapi bahaya juga kejedot rak kayu tatakan cermin kamar mandi. WC duduk, keliatan jadul, tapi alhamdulillah berfungsi dengan baik. Harga lumayan terjangkau.","aman, jarang ada pengunjung",,"Restorannya tutup, tapi bisa request ke resepsionis (malam sebelumnya) kalo butuh sarapan, meskipun butuh bungkus makanannya di jam 5.",,"Tenang, Harga terbaik",,,,,"4","5","5",,,"Ci9DQUlRQUNvZENodHljRjlvT2trd1ZpMXZiVjlxZDAxck5tbHFaRzlEYzNsa1MzYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2trd1ZpMXZiVjlxZDAxck5tbHFaRzlEYzNsa1MzYxAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOkkwVi1vbV9qd01rNmlqZG9Dc3lkS3c%7C%7C?hl=id","102785261508850407851","67","https://lh3.googleusercontent.com/a-/ALV-UjUgneMVRlYhZJCxab6iyRRF3FbpUojwBm2o4exX256YggPw5nIi=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/102785261508850407851?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","false","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Rana Basic Suryadiana","Lebakmuncang, Kecamatan Ciwidey",,"false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"3 minggu lalu","2026-05-10T14:08:10.190Z",,,,,,,,,,,,,,,,,,,,"5","5","5",,,"Ci9DQUlRQUNvZENodHljRjlvT2tack5sbFJlWGRDYkVsT2NYaFVUSFpMUW1SbVdVRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tack5sbFJlWGRDYkVsT2NYaFVUSFpMUW1SbVdVRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOkZrNllReXdCbElOcXhUTHZLQmRmWUE%7C%7C?hl=id","111293950097255031705","0","https://lh3.googleusercontent.com/a-/ALV-UjUJLW0axIDQUcxNqqPK3CBJbub_h6IjQCFJcHmmn0BF-0jSOEM=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111293950097255031705?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","false","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Pudi Setiawan","Lebakmuncang, Kecamatan Ciwidey","en","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"sebulan lalu","2026-05-02T14:05:15.962Z",,,,,,,"Large room, even an old hotel but clean, fast respon.","Keluarga","Liburan",,,,,,"Tenang",,,,,"5","5","5",,,"Ci9DQUlRQUNvZENodHljRjlvT2xFMlUwZDFaVFpYUW5KNlJIWk1lSGhzVVdrelFWRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn1--gkKRh6HNrghjdNx6vkieGjee0SX8YLCn7Pvo9Av75C24A-M07-U62skejeRhvlLOjPp_bbPeRzHUmFcfR_v-u7E14nwclYhu8Hbq-9DAT4Pjz5F181uKSPLmSeo1iv0dqFyItSu8bvB=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn00o_yuXgRSJ4TkRjrQH7_BhVsaXuxISjzqriMGvaNDWTSRh-7O_qIlVtfWSwqDs5yMVNMrNj0vRc-AFz2UDGPWo58xFj9mksSEvzVt_d12lmOwRj8DJDNLtKQyJ2f74DLQHocPbIg22pEH=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn12_kXY7iLDtUVGXviFYuUilaz5oGU6RWJYMSy836ghZ6ETyHqYo7FSW5aMaPyABG9kHWYmwDqv9pI0UDFnaITIhuQy9PS9R3jZ2YA9iNyzq9Kqg22AZhqIUCnoWpAwogk6tIh_7asbbFM=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3tXU5nkIiOo1jEQRWCoSdwKkMfAwMvto-XLlEwVgQmQRd3DkXZ5fGMN-hsefWwvM8mJ_GLUnbJ0q6c1zpESRjlZO-_XzeHh1TWf5qu0rKZiEHXkXgdx9McU9idp19HipCyjTa1VZ3KHtS_=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xFMlUwZDFaVFpYUW5KNlJIWk1lSGhzVVdrelFWRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOlE2U0d1ZTZXQnJ6RHZMeHhsUWkzQVE%7C%7C?hl=id","100030569953287215765","7","https://lh3.googleusercontent.com/a/ACg8ocJNGS91f6PZUZILJI3m27P71hmFCQTiYGTZ4l-PchWsEod4IQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100030569953287215765?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","5","Jawa Barat","Jl. Situ Patengan No.Km.8","false",,,"Patuha Resort","4.2","id","https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
"Jl. Situ Patengan No.Km.8, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Hotel Resor","Restoran",,,,"Hotel Resor","15308484878168337373","Kabupaten Bandung","ID","0x2e688ced9bf350bf:0xd472a9e38ca9abdd","Hotel bintang 3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXcbC0hr3sPRJB-1lRP2JFYNXHou_ntVOvhi-iNbv6P-3-HEyWS2ta5b_hBARImy4fUmE9Vr7QPYqaGuP-JIvFCwyxgdsAFDmP2GvtlfebhMPDsc-dBG2H-nytvLj7Tslk4fZaXQ=w416-h240-k-no","false","true","/g/11b6md2cq0","id","0","-7.1310668","107.4115569","Tasya wedia12","Lebakmuncang, Kecamatan Ciwidey","id","false","ChIJv1Dzm-2MaC4R3aupjOOpctQ","40973",,"sebulan lalu","2026-04-20T12:20:57.184Z",,,,,,,"Info kontak untuk booking kamar
𝘞𝘢 OꖉᗱI-ɥOIꖉ-ꖉ𖧁ᗱꖉ(𝑃𝑒𝑚𝑖𝑙𝑖𝑘)",,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xndE5HSnllRTF0WlZkaU5GWnVSRXB3VlVkSU0xRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xndE5HSnllRTF0WlZkaU5GWnVSRXB3VlVkSU0xRRAB!2m1!1s0x0:0xd472a9e38ca9abdd!3m1!1s2@1:CAIQACodChtycF9oOlgtNGJyeE1tZVdiNFZuREpwVUdIM1E%7C%7C?hl=id","113712639742810059987","90","https://lh3.googleusercontent.com/a-/ALV-UjWD4KwXObcBxo_irg788Npg296RR57SpmrFNPydeMk7Ic9N_k0=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/113712639742810059987?hl=id","1616","2026-06-06T06:37:16.962Z","Patuha Resort -7.1339,107.4091","3","Jawa Barat","Jl. Situ Patengan No.Km.8","false","Patuha Resort",,"Patuha Resort","4.2",,"https://www.google.com/maps/search/?api=1&query=Patuha%20Resort&query_place_id=ChIJv1Dzm-2MaC4R3aupjOOpctQ",
