"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Aktivitas di sekitar","reviewContext/Area piknik","reviewContext/Area untuk berjalan kaki","reviewContext/Detail penting","reviewContext/Grup perjalanan","reviewContext/Jenis perjalanan","reviewContext/Kamar","reviewContext/Keamanan","reviewContext/Kesesuaian untuk anjing","reviewContext/Makanan & minuman","reviewContext/Sebaiknya buat reservasi","reviewContext/Sorotan hotel","reviewContext/Taman Bermain","reviewContext/Toilet","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewDetailedRating/Kamar","reviewDetailedRating/Layanan","reviewDetailedRating/Lokasi","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","sri darliah","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","2 bulan lalu","2026-03-19T11:53:03.023Z",,"2026-03-20T05:55:05.000Z","Haturnuhun kak sudah menginap di Clamitan House❤️",,,,,"Keluarga","Liburan",,,,,,"Tenang",,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT25CTlRrWlZRWGhGZVhBeFJFbG1WbmxrV2pGa1NuYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CTlRrWlZRWGhGZVhBeFJFbG1WbmxrV2pGa1NuYxAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOnBNTkZVQXhFeXAxRElmVnlkWjFkSnc%7C%7C?hl=id","105109644936097298588","5","https://lh3.googleusercontent.com/a-/ALV-UjXkWLp55ahwX9f2x3a-wLUQ-m8VBBUtGxrux_-7VPx8sMHjfaeB=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105109644936097298588?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Penginapannya bersih, nyaman, lengkap 🫶🏻
Owner nya ramah 😊 bikin betah",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Tien Hea","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","2 bulan lalu","2026-03-19T10:10:06.615Z",,"2026-03-20T05:55:34.000Z","Haturnuhun sudah menginap di Clamitan House🩵",,,,,"Pasangan","Liburan",,,,,,"Tenang",,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2s1VGVURllWRE5uTUhWVlVFMDNVRlJYZW5GZlVsRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1VGVURllWRE5uTUhWVlVFMDNVRlJYZW5GZlVsRRAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOk5TeTFYVDNnMHVVUE03UFRXenFfUlE%7C%7C?hl=id","110818053912616214469","2","https://lh3.googleusercontent.com/a-/ALV-UjWZu_ZVte3fYkzSK8gjhZq6RqY2wfrAvF88vycMVHbypksSXh7t=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110818053912616214469?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Tempat nyaman, fasilitas komplit , privasi terjaga",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","true","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","tedi maung","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","2 bulan lalu","2026-03-19T06:51:50.760Z",,"2026-03-19T06:55:50.000Z","Haturnuhun ulasannya, senang bisa menjadi tuan rumah di perjalanan kakak🙏🏼",,,,,,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT25WUWRuRnJVa3BIVEdsU01FMW1UMGRFY0c1TWJYYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WUWRuRnJVa3BIVEdsU01FMW1UMGRFY0c1TWJYYxAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOnVQdnFrUkpHTGlSME1mT0dEcG5MbXc%7C%7C?hl=id","113486800544072786820","135","https://lh3.googleusercontent.com/a-/ALV-UjVTLWSJ2gQ0l7SoshBUVCkj-GBLK_vz86NzfsUUXyINFDapmR8=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/113486800544072786820?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Pengalaman menyenangkan nginep di sini, anak-anak suka. Tempat yang luas kamarnya ada dua, jadi lebih private.
High recommended ,
Kalo dinas ke kbp atau kbb. Wajib sih nginep disini, asri sama tenang banget",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Branz Btr","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","2 bulan lalu","2026-03-19T06:49:28.642Z",,"2026-03-19T06:56:36.000Z","Thanks kembali, haturnuhun kak sudah menginap di Clamitan House❤️",,,,,"Keluarga","Liburan",,,,,,"Mewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak, Harga terbaik, Berteknologi tinggi",,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2tOU1RDMURVMDFRT1hOU1YyTmZORkF6UnpSaVUzYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOU1RDMURVMDFRT1hOU1YyTmZORkF6UnpSaVUzYxAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOkNSTC1DU01QOXNSV2NfNFAzRzRiU3c%7C%7C?hl=id","114966959137066303332","1","https://lh3.googleusercontent.com/a/ACg8ocLE27R8NDNkrCAcmDiNr_YgnM5qOF0BJZN5ovjQkbqcszz3hw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114966959137066303332?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Memang cocok sih buat stay pas liburan keluarga di kbb kbp, se worth it itu.
Pelayanan ramah sama  disediain snack n minuman, opsi terbaik  biar kl beli g musti jauh"" ke warung

Thx u clamitan",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Pratista maria","Jayamekar, Kecamatan Padalarang",,"false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","4 bulan lalu","2026-01-28T12:21:48.879Z",,"2026-03-19T04:35:28.000Z","Haturnuhun bintangnya kak",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2poVGRqRlFRMDFEZGtnNGNGZENORzkwTVc1TFVuYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poVGRqRlFRMDFEZGtnNGNGZENORzkwTVc1TFVuYxAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOjhTdjFQQ01Ddkg4cFdCNG90MW5LUnc%7C%7C?hl=id","109997429631644652827","5","https://lh3.googleusercontent.com/a-/ALV-UjU8siNoil_1LGJy1lXewTiOvH8CpJmhqKz7V3pwuIiHgb2Mk3b-=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109997429631644652827?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false",,,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","true","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Zakie Mochamad A","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","6 bulan lalu","2025-11-18T14:22:29.532Z",,"2025-11-23T22:39:45.000Z","Haturnuhun sudah menginap kak❤️❤️❤️",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xOTmFYaGhWSE16WWpSb01IRjFhM2x3VlRVdFVGRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn2XvXjHOKjpjRePlea7xtbc0Mef6QrpDVjlhC5jrUWZmA6ledTNUzT7xKVD4obxW0UYMd3eokz6vMP_XxbmC2aQlG9CYUySRoivFcoTGoca0vgtiQ79kX4BJkWxNN1pBW_IomYJdoEVHh8y=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2Yng7YlYs5sjw9wWyW-f1kBUTCGnfn8hjZZqfTbRRLUiorL20ZrCAVfHMuTiS-3P5NN3sJug575SrKSHlgynxTCOG3zyou9Jar74S43Iq3t6lzHZoV5gzSVhqVbavUv4GdUlA-c9o7gdU=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2_kvRqm9DcJSdgusP8DfhPsOvL1mP3Bnd3aniwsTWcidpslodk016YuDjm7DPq1GFNhpB1eF9-T_vhXcYK7kqjNAX6lZu3I7X5uEoZplttgzUfL4nPvTaweKzGRt87JCG5HXNs4D59nuVO=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1XQAkalqFT-J7k6ZFDpFihXqhOSmA2B7d4WJTqRi01lTal4-Nu2f_JeHyOcZjvz48GxWIc_5pjHYnHwdNNFTEi7jTVlli9ruGCZOx8YF2vuqIbbf88yOcVJ6mo_UkWmJaH_rkrIohOWps=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3WV2CJXycnNzCohuP7YESwQntE7MW-3VZmEbgEwPyyJLPzBVPlg0NC6HYayzANW_eyALuv4cXf4sk9tP5Vc0uCtvJvNUN1kj2sFji8h52VxOhm3ILf9j6zuOVLNLZV9V6vu1aZhWYy6N9R=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn24Pdd-t_djBNWNfTT6EvjdKrxillZidCxPYfsNEua-8fI7IUmzPJ7PFV2NPc5n0Jxd0t6B_oGHdm0L63DkJRGJ18mgUP5uQdJsCkh7_UjWNdb8K0iTt4HW_tJOFjYK6RAu9NsRGZd9QSs=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1e1pA0vO6KNuYEL2amIIEsqyfE5FDGV2Nu1YeNclIBLtjA_-1FZocndvpatrFRRJ9YSvoloWjPgq7Y7G6KUpgwf5msDoe_8CfikJ4f-PSdI0k_Iup2WVmOiGD_jsvEqL--aJi_49j2Gk-H=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOTmFYaGhWSE16WWpSb01IRjFhM2x3VlRVdFVGRRAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOlNNaXhhVHMzYjRoMHF1a3lwVTUtUFE%7C%7C?hl=id","105439564701024086394","156","https://lh3.googleusercontent.com/a-/ALV-UjXQz8MzKe8SeNbjXmQ2UAB5VO0PTtz-CotPTy9E3fQdMJEB7hE=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/105439564701024086394?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Konsep nya unik, check in & check out mandiri, ada warung nya juga
Rumah nya juga nyaman, harga bagus
Cocok untuk menginap 4 orang
Peralatan juga lengkap kalau mau masak dll",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Noland Lagu","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","8 bulan lalu","2025-09-24T12:22:21.961Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21wRmVEQTFWVlpUU2pGRVdGUTVabVZFV1RKRWNsRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wRmVEQTFWVlpUU2pGRVdGUTVabVZFV1RKRWNsRRAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOmpFeDA1VVZTSjFEWFQ5ZmVEWTJEclE%7C%7C?hl=id","116989276923770179111","2","https://lh3.googleusercontent.com/a/ACg8ocKwzQptkj17G95nUAOAgzhtVxhQzJU0funhWBD8QYxTlnzI8w=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116989276923770179111?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Recomended",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","false","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","sandra Tujuh","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","9 bulan lalu","2025-08-19T03:22:37.291Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xvMmRrZHFRMHBaWlVaRldqSTJVMFF3YlhBNGJYYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xvMmRrZHFRMHBaWlVaRldqSTJVMFF3YlhBNGJYYxAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CAIQACodChtycF9oOlo2dkdqQ0pZZUZFWjI2U0QwbXA4bXc%7C%7C?hl=id","117730684720037049446","7","https://lh3.googleusercontent.com/a/ACg8ocLYHTHy6P-U6Put1xo6OOWRRpu-LZcUv_gvJldcodj5PxN3_A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117730684720037049446?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Bersih,nyaman,aman,deket ke wahoo waterworld,proses check in mudah,recommended siiiii 💙💙💙",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","true","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Firman Herdiansyah","Jayamekar, Kecamatan Padalarang",,"false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","setahun lalu","2025-05-25T14:24:19.736Z",,,,,,,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VObUs4WUxzbDltcE53EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VObUs4WUxzbDltcE53EAE!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CIHM0ogKENmK8YLsl9mpNw%7C%7C?hl=id","117761941894955872676","65","https://lh3.googleusercontent.com/a-/ALV-UjVaj64KSkwoMktUBkZZZeM2kIIngvWfeyW8da3mS03J2m6eFq41Xg=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/117761941894955872676?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false",,,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
"Gland padalarang residence, blok c-6, Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia","Vila",,,,,,,,,,"Vila","3749301080029046105","Kabupaten Bandung Barat","ID","0x2e68fd77a3e32ee3:0x34083177b71ea559","Vila","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECpEsR5kcuxBYl70qBEj4AIWDzlT7_QECgkNfm3IEjvXomwep5bnHsJYNOc3KzIi5QK9PK309fudzXcz15_QLyT3haUe-TIWbld1Mfg8TNiMmnlnN2ZRDwpFrB03humkz2l56Z=w408-h544-k-no","false","true","/g/11l5j4bptj","id","0","-6.8494721","107.4727789","Riki Bengkulu","Jayamekar, Kecamatan Padalarang","id","false","ChIJ4y7jo3f9aC4RWaUet3cxCDQ","40553","€35","setahun lalu","2025-04-29T13:44:17.798Z",,,,,,,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnTURveF9iZG9RRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURveF9iZG9RRRAB!2m1!1s0x0:0x34083177b71ea559!3m1!1s2@1:CIHM0ogKEICAgMDox_bdoQE%7C%7C?hl=id","113556340958828495163","3","https://lh3.googleusercontent.com/a-/ALV-UjXPu-l1LEPg1BjR9sQ9hNdiYKy8-9Q6LRkeQ-cU6qdT6Ldzwxw=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/113556340958828495163?hl=id","20","2026-06-06T06:43:55.656Z","Clamitan House - Villa -6.8495,107.4728","5","Jawa Barat","Gland padalarang residence, blok c-6","false","Tempatnya bagus,bersih,dan nyaman",,"Clamitan house","5",,"https://www.google.com/maps/search/?api=1&query=Clamitan%20house&query_place_id=ChIJ4y7jo3f9aC4RWaUet3cxCDQ",
